Index,Audio Path,Transcript Path
001,Archer-Daniels-Midland Co_20171031/CEO/001-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/001.txt
002,Archer-Daniels-Midland Co_20171031/CEO/002-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/002.txt
003,Archer-Daniels-Midland Co_20171031/CEO/003-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/003.txt
004,Archer-Daniels-Midland Co_20171031/CEO/004-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/004.txt
005,Archer-Daniels-Midland Co_20171031/CEO/005-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/005.txt
006,Archer-Daniels-Midland Co_20171031/CEO/006-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/006.txt
007,Archer-Daniels-Midland Co_20171031/CEO/007-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/007.txt
008,Archer-Daniels-Midland Co_20171031/CEO/008-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/008.txt
009,Archer-Daniels-Midland Co_20171031/CEO/009-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/009.txt
010,Archer-Daniels-Midland Co_20171031/CEO/010-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/010.txt
011,Archer-Daniels-Midland Co_20171031/CEO/011-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/011.txt
012,Archer-Daniels-Midland Co_20171031/CEO/012-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/012.txt
013,Archer-Daniels-Midland Co_20171031/CEO/013-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/013.txt
014,Archer-Daniels-Midland Co_20171031/CEO/014-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/014.txt
015,Archer-Daniels-Midland Co_20171031/CEO/015-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/015.txt
016,Archer-Daniels-Midland Co_20171031/CEO/016-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/016.txt
017,Archer-Daniels-Midland Co_20171031/CEO/017-RayG.Young.mp3,Archer-Daniels-Midland Co_20171031/sent_token/017.txt
