Index,Audio Path,Transcript Path
001,Citrix Systems_20170802/CEO/001-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/001.txt
002,Citrix Systems_20170802/CEO/002-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/002.txt
003,Citrix Systems_20170802/CEO/003-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/003.txt
004,Citrix Systems_20170802/CEO/004-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/004.txt
005,Citrix Systems_20170802/CEO/005-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/005.txt
006,Citrix Systems_20170802/CEO/006-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/006.txt
007,Citrix Systems_20170802/CEO/007-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/007.txt
008,Citrix Systems_20170802/CEO/008-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/008.txt
009,Citrix Systems_20170802/CEO/009-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/009.txt
010,Citrix Systems_20170802/CEO/010-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/010.txt
011,Citrix Systems_20170802/CEO/011-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/011.txt
012,Citrix Systems_20170802/CEO/012-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/012.txt
013,Citrix Systems_20170802/CEO/013-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/013.txt
014,Citrix Systems_20170802/CEO/014-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/014.txt
015,Citrix Systems_20170802/CEO/015-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/015.txt
016,Citrix Systems_20170802/CEO/016-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/016.txt
017,Citrix Systems_20170802/CEO/017-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/017.txt
018,Citrix Systems_20170802/CEO/018-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/018.txt
019,Citrix Systems_20170802/CEO/019-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/019.txt
020,Citrix Systems_20170802/CEO/020-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/020.txt
021,Citrix Systems_20170802/CEO/021-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/021.txt
022,Citrix Systems_20170802/CEO/022-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/022.txt
023,Citrix Systems_20170802/CEO/023-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/023.txt
024,Citrix Systems_20170802/CEO/024-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/024.txt
025,Citrix Systems_20170802/CEO/025-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/025.txt
026,Citrix Systems_20170802/CEO/026-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/026.txt
027,Citrix Systems_20170802/CEO/027-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/027.txt
028,Citrix Systems_20170802/CEO/028-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/028.txt
029,Citrix Systems_20170802/CEO/029-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/029.txt
030,Citrix Systems_20170802/CEO/030-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/030.txt
031,Citrix Systems_20170802/CEO/031-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/031.txt
032,Citrix Systems_20170802/CEO/032-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/032.txt
033,Citrix Systems_20170802/CEO/033-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/033.txt
034,Citrix Systems_20170802/CEO/034-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/034.txt
035,Citrix Systems_20170802/CEO/035-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/035.txt
036,Citrix Systems_20170802/CEO/036-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/036.txt
037,Citrix Systems_20170802/CEO/037-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/037.txt
038,Citrix Systems_20170802/CEO/038-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/038.txt
039,Citrix Systems_20170802/CEO/039-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/039.txt
040,Citrix Systems_20170802/CEO/040-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/040.txt
041,Citrix Systems_20170802/CEO/041-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/041.txt
042,Citrix Systems_20170802/CEO/042-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/042.txt
043,Citrix Systems_20170802/CEO/043-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/043.txt
044,Citrix Systems_20170802/CEO/044-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/044.txt
045,Citrix Systems_20170802/CEO/045-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/045.txt
046,Citrix Systems_20170802/CEO/046-DavidJamesHenshall.mp3,Citrix Systems_20170802/sent_token/046.txt
