Index,Audio Path,Transcript Path
001,Coca-Cola Company (The)_20170726/CEO/001-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/001.txt
002,Coca-Cola Company (The)_20170726/CEO/002-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/002.txt
003,Coca-Cola Company (The)_20170726/CEO/003-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/003.txt
004,Coca-Cola Company (The)_20170726/CEO/004-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/004.txt
005,Coca-Cola Company (The)_20170726/CEO/005-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/005.txt
006,Coca-Cola Company (The)_20170726/CEO/006-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/006.txt
007,Coca-Cola Company (The)_20170726/CEO/007-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/007.txt
008,Coca-Cola Company (The)_20170726/CEO/008-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/008.txt
009,Coca-Cola Company (The)_20170726/CEO/009-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/009.txt
010,Coca-Cola Company (The)_20170726/CEO/010-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/010.txt
011,Coca-Cola Company (The)_20170726/CEO/011-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/011.txt
012,Coca-Cola Company (The)_20170726/CEO/012-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/012.txt
013,Coca-Cola Company (The)_20170726/CEO/013-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/013.txt
014,Coca-Cola Company (The)_20170726/CEO/014-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/014.txt
015,Coca-Cola Company (The)_20170726/CEO/015-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/015.txt
016,Coca-Cola Company (The)_20170726/CEO/016-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/016.txt
017,Coca-Cola Company (The)_20170726/CEO/017-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/017.txt
018,Coca-Cola Company (The)_20170726/CEO/018-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/018.txt
019,Coca-Cola Company (The)_20170726/CEO/019-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/019.txt
020,Coca-Cola Company (The)_20170726/CEO/020-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/020.txt
021,Coca-Cola Company (The)_20170726/CEO/021-JamesQuincey.mp3,Coca-Cola Company (The)_20170726/sent_token/021.txt
