Index,Audio Path,Transcript Path
001,Cognizant Technology Solutions_20170803/CEO/001-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/001.txt
002,Cognizant Technology Solutions_20170803/CEO/002-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/002.txt
003,Cognizant Technology Solutions_20170803/CEO/003-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/003.txt
004,Cognizant Technology Solutions_20170803/CEO/004-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/004.txt
005,Cognizant Technology Solutions_20170803/CEO/005-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/005.txt
006,Cognizant Technology Solutions_20170803/CEO/006-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/006.txt
007,Cognizant Technology Solutions_20170803/CEO/007-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/007.txt
008,Cognizant Technology Solutions_20170803/CEO/008-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/008.txt
009,Cognizant Technology Solutions_20170803/CEO/009-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/009.txt
010,Cognizant Technology Solutions_20170803/CEO/010-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/010.txt
011,Cognizant Technology Solutions_20170803/CEO/011-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/011.txt
012,Cognizant Technology Solutions_20170803/CEO/012-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/012.txt
013,Cognizant Technology Solutions_20170803/CEO/013-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/013.txt
014,Cognizant Technology Solutions_20170803/CEO/014-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/014.txt
015,Cognizant Technology Solutions_20170803/CEO/015-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/015.txt
016,Cognizant Technology Solutions_20170803/CEO/016-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/016.txt
017,Cognizant Technology Solutions_20170803/CEO/017-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/017.txt
018,Cognizant Technology Solutions_20170803/CEO/018-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/018.txt
019,Cognizant Technology Solutions_20170803/CEO/019-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/019.txt
020,Cognizant Technology Solutions_20170803/CEO/020-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/020.txt
021,Cognizant Technology Solutions_20170803/CEO/021-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/021.txt
022,Cognizant Technology Solutions_20170803/CEO/022-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/022.txt
023,Cognizant Technology Solutions_20170803/CEO/023-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/023.txt
024,Cognizant Technology Solutions_20170803/CEO/024-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/024.txt
025,Cognizant Technology Solutions_20170803/CEO/025-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/025.txt
026,Cognizant Technology Solutions_20170803/CEO/026-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/026.txt
027,Cognizant Technology Solutions_20170803/CEO/027-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/027.txt
028,Cognizant Technology Solutions_20170803/CEO/028-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/028.txt
029,Cognizant Technology Solutions_20170803/CEO/029-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/029.txt
030,Cognizant Technology Solutions_20170803/CEO/030-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/030.txt
031,Cognizant Technology Solutions_20170803/CEO/031-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/031.txt
032,Cognizant Technology Solutions_20170803/CEO/032-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/032.txt
033,Cognizant Technology Solutions_20170803/CEO/033-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/033.txt
034,Cognizant Technology Solutions_20170803/CEO/034-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/034.txt
035,Cognizant Technology Solutions_20170803/CEO/035-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/035.txt
036,Cognizant Technology Solutions_20170803/CEO/036-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/036.txt
037,Cognizant Technology Solutions_20170803/CEO/037-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/037.txt
038,Cognizant Technology Solutions_20170803/CEO/038-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/038.txt
039,Cognizant Technology Solutions_20170803/CEO/039-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/039.txt
040,Cognizant Technology Solutions_20170803/CEO/040-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/040.txt
041,Cognizant Technology Solutions_20170803/CEO/041-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/041.txt
042,Cognizant Technology Solutions_20170803/CEO/042-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/042.txt
043,Cognizant Technology Solutions_20170803/CEO/043-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/043.txt
044,Cognizant Technology Solutions_20170803/CEO/044-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/044.txt
045,Cognizant Technology Solutions_20170803/CEO/045-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/045.txt
046,Cognizant Technology Solutions_20170803/CEO/046-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/046.txt
047,Cognizant Technology Solutions_20170803/CEO/047-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/047.txt
048,Cognizant Technology Solutions_20170803/CEO/048-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/048.txt
049,Cognizant Technology Solutions_20170803/CEO/049-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/049.txt
050,Cognizant Technology Solutions_20170803/CEO/050-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/050.txt
051,Cognizant Technology Solutions_20170803/CEO/051-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/051.txt
052,Cognizant Technology Solutions_20170803/CEO/052-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/052.txt
053,Cognizant Technology Solutions_20170803/CEO/053-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/053.txt
054,Cognizant Technology Solutions_20170803/CEO/054-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/054.txt
055,Cognizant Technology Solutions_20170803/CEO/055-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/055.txt
056,Cognizant Technology Solutions_20170803/CEO/056-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/056.txt
057,Cognizant Technology Solutions_20170803/CEO/057-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/057.txt
058,Cognizant Technology Solutions_20170803/CEO/058-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/058.txt
059,Cognizant Technology Solutions_20170803/CEO/059-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/059.txt
060,Cognizant Technology Solutions_20170803/CEO/060-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/060.txt
061,Cognizant Technology Solutions_20170803/CEO/061-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/061.txt
062,Cognizant Technology Solutions_20170803/CEO/062-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/062.txt
063,Cognizant Technology Solutions_20170803/CEO/063-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/063.txt
064,Cognizant Technology Solutions_20170803/CEO/064-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/064.txt
065,Cognizant Technology Solutions_20170803/CEO/065-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/065.txt
066,Cognizant Technology Solutions_20170803/CEO/066-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/066.txt
067,Cognizant Technology Solutions_20170803/CEO/067-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/067.txt
068,Cognizant Technology Solutions_20170803/CEO/068-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/068.txt
069,Cognizant Technology Solutions_20170803/CEO/069-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/069.txt
070,Cognizant Technology Solutions_20170803/CEO/070-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/070.txt
071,Cognizant Technology Solutions_20170803/CEO/071-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/071.txt
072,Cognizant Technology Solutions_20170803/CEO/072-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/072.txt
073,Cognizant Technology Solutions_20170803/CEO/073-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/073.txt
074,Cognizant Technology Solutions_20170803/CEO/074-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/074.txt
075,Cognizant Technology Solutions_20170803/CEO/075-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/075.txt
076,Cognizant Technology Solutions_20170803/CEO/076-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/076.txt
077,Cognizant Technology Solutions_20170803/CEO/077-RajeevMehta.mp3,Cognizant Technology Solutions_20170803/sent_token/077.txt
