Index,Audio Path,Transcript Path
001,Digital Realty Trust Inc_20170427/CEO/001-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/001.txt
002,Digital Realty Trust Inc_20170427/CEO/002-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/002.txt
003,Digital Realty Trust Inc_20170427/CEO/003-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/003.txt
004,Digital Realty Trust Inc_20170427/CEO/004-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/004.txt
005,Digital Realty Trust Inc_20170427/CEO/005-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/005.txt
006,Digital Realty Trust Inc_20170427/CEO/006-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/006.txt
007,Digital Realty Trust Inc_20170427/CEO/007-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/007.txt
008,Digital Realty Trust Inc_20170427/CEO/008-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/008.txt
009,Digital Realty Trust Inc_20170427/CEO/009-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/009.txt
010,Digital Realty Trust Inc_20170427/CEO/010-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/010.txt
011,Digital Realty Trust Inc_20170427/CEO/011-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/011.txt
012,Digital Realty Trust Inc_20170427/CEO/012-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/012.txt
013,Digital Realty Trust Inc_20170427/CEO/013-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/013.txt
014,Digital Realty Trust Inc_20170427/CEO/014-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/014.txt
015,Digital Realty Trust Inc_20170427/CEO/015-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/015.txt
016,Digital Realty Trust Inc_20170427/CEO/016-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/016.txt
017,Digital Realty Trust Inc_20170427/CEO/017-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/017.txt
018,Digital Realty Trust Inc_20170427/CEO/018-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/018.txt
019,Digital Realty Trust Inc_20170427/CEO/019-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/019.txt
020,Digital Realty Trust Inc_20170427/CEO/020-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/020.txt
021,Digital Realty Trust Inc_20170427/CEO/021-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/021.txt
022,Digital Realty Trust Inc_20170427/CEO/022-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/022.txt
023,Digital Realty Trust Inc_20170427/CEO/023-AndrewPower.mp3,Digital Realty Trust Inc_20170427/sent_token/023.txt
