Index,Audio Path,Transcript Path
001,Dominion Energy_20170504/CEO/001-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/001.txt
002,Dominion Energy_20170504/CEO/002-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/002.txt
003,Dominion Energy_20170504/CEO/003-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/003.txt
004,Dominion Energy_20170504/CEO/004-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/004.txt
005,Dominion Energy_20170504/CEO/005-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/005.txt
006,Dominion Energy_20170504/CEO/006-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/006.txt
007,Dominion Energy_20170504/CEO/007-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/007.txt
008,Dominion Energy_20170504/CEO/008-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/008.txt
009,Dominion Energy_20170504/CEO/009-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/009.txt
010,Dominion Energy_20170504/CEO/010-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/010.txt
011,Dominion Energy_20170504/CEO/011-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/011.txt
012,Dominion Energy_20170504/CEO/012-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/012.txt
013,Dominion Energy_20170504/CEO/013-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/013.txt
014,Dominion Energy_20170504/CEO/014-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/014.txt
015,Dominion Energy_20170504/CEO/015-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/015.txt
016,Dominion Energy_20170504/CEO/016-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/016.txt
017,Dominion Energy_20170504/CEO/017-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/017.txt
018,Dominion Energy_20170504/CEO/018-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/018.txt
019,Dominion Energy_20170504/CEO/019-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/019.txt
020,Dominion Energy_20170504/CEO/020-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/020.txt
021,Dominion Energy_20170504/CEO/021-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/021.txt
022,Dominion Energy_20170504/CEO/022-ThomasF.FarrellII.mp3,Dominion Energy_20170504/sent_token/022.txt
