Index,Audio Path,Transcript Path
001,"Facebook, Inc._20171101/CEO/001-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/001.txt"
002,"Facebook, Inc._20171101/CEO/002-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/002.txt"
003,"Facebook, Inc._20171101/CEO/003-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/003.txt"
004,"Facebook, Inc._20171101/CEO/004-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/004.txt"
005,"Facebook, Inc._20171101/CEO/005-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/005.txt"
006,"Facebook, Inc._20171101/CEO/006-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/006.txt"
007,"Facebook, Inc._20171101/CEO/007-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/007.txt"
008,"Facebook, Inc._20171101/CEO/008-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/008.txt"
009,"Facebook, Inc._20171101/CEO/009-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/009.txt"
010,"Facebook, Inc._20171101/CEO/010-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/010.txt"
011,"Facebook, Inc._20171101/CEO/011-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/011.txt"
012,"Facebook, Inc._20171101/CEO/012-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/012.txt"
013,"Facebook, Inc._20171101/CEO/013-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/013.txt"
014,"Facebook, Inc._20171101/CEO/014-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/014.txt"
015,"Facebook, Inc._20171101/CEO/015-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/015.txt"
016,"Facebook, Inc._20171101/CEO/016-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/016.txt"
017,"Facebook, Inc._20171101/CEO/017-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/017.txt"
018,"Facebook, Inc._20171101/CEO/018-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/018.txt"
019,"Facebook, Inc._20171101/CEO/019-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/019.txt"
020,"Facebook, Inc._20171101/CEO/020-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/020.txt"
021,"Facebook, Inc._20171101/CEO/021-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/021.txt"
022,"Facebook, Inc._20171101/CEO/022-MarkElliotZuckerberg.mp3","Facebook, Inc._20171101/sent_token/022.txt"
