Index,Audio Path,Transcript Path
001,Fidelity National Information Services_20170802/CEO/001-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/001.txt
002,Fidelity National Information Services_20170802/CEO/002-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/002.txt
003,Fidelity National Information Services_20170802/CEO/003-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/003.txt
004,Fidelity National Information Services_20170802/CEO/004-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/004.txt
005,Fidelity National Information Services_20170802/CEO/005-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/005.txt
006,Fidelity National Information Services_20170802/CEO/006-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/006.txt
007,Fidelity National Information Services_20170802/CEO/007-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/007.txt
008,Fidelity National Information Services_20170802/CEO/008-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/008.txt
009,Fidelity National Information Services_20170802/CEO/009-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/009.txt
010,Fidelity National Information Services_20170802/CEO/010-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/010.txt
011,Fidelity National Information Services_20170802/CEO/011-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/011.txt
012,Fidelity National Information Services_20170802/CEO/012-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/012.txt
013,Fidelity National Information Services_20170802/CEO/013-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/013.txt
014,Fidelity National Information Services_20170802/CEO/014-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/014.txt
015,Fidelity National Information Services_20170802/CEO/015-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/015.txt
016,Fidelity National Information Services_20170802/CEO/016-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/016.txt
017,Fidelity National Information Services_20170802/CEO/017-JamesW.Woodall.mp3,Fidelity National Information Services_20170802/sent_token/017.txt
