Index,Audio Path,Transcript Path
001,Genuine Parts_20170221/CEO/001-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/001.txt
002,Genuine Parts_20170221/CEO/002-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/002.txt
003,Genuine Parts_20170221/CEO/003-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/003.txt
004,Genuine Parts_20170221/CEO/004-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/004.txt
005,Genuine Parts_20170221/CEO/005-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/005.txt
006,Genuine Parts_20170221/CEO/006-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/006.txt
007,Genuine Parts_20170221/CEO/007-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/007.txt
008,Genuine Parts_20170221/CEO/008-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/008.txt
009,Genuine Parts_20170221/CEO/009-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/009.txt
010,Genuine Parts_20170221/CEO/010-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/010.txt
011,Genuine Parts_20170221/CEO/011-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/011.txt
012,Genuine Parts_20170221/CEO/012-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/012.txt
013,Genuine Parts_20170221/CEO/013-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/013.txt
014,Genuine Parts_20170221/CEO/014-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/014.txt
015,Genuine Parts_20170221/CEO/015-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/015.txt
016,Genuine Parts_20170221/CEO/016-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/016.txt
017,Genuine Parts_20170221/CEO/017-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/017.txt
018,Genuine Parts_20170221/CEO/018-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/018.txt
019,Genuine Parts_20170221/CEO/019-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/019.txt
020,Genuine Parts_20170221/CEO/020-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/020.txt
021,Genuine Parts_20170221/CEO/021-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/021.txt
022,Genuine Parts_20170221/CEO/022-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/022.txt
023,Genuine Parts_20170221/CEO/023-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/023.txt
024,Genuine Parts_20170221/CEO/024-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/024.txt
025,Genuine Parts_20170221/CEO/025-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/025.txt
026,Genuine Parts_20170221/CEO/026-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/026.txt
027,Genuine Parts_20170221/CEO/027-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/027.txt
028,Genuine Parts_20170221/CEO/028-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/028.txt
029,Genuine Parts_20170221/CEO/029-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/029.txt
030,Genuine Parts_20170221/CEO/030-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/030.txt
031,Genuine Parts_20170221/CEO/031-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/031.txt
032,Genuine Parts_20170221/CEO/032-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/032.txt
033,Genuine Parts_20170221/CEO/033-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/033.txt
034,Genuine Parts_20170221/CEO/034-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/034.txt
035,Genuine Parts_20170221/CEO/035-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/035.txt
036,Genuine Parts_20170221/CEO/036-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/036.txt
037,Genuine Parts_20170221/CEO/037-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/037.txt
038,Genuine Parts_20170221/CEO/038-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/038.txt
039,Genuine Parts_20170221/CEO/039-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/039.txt
040,Genuine Parts_20170221/CEO/040-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/040.txt
041,Genuine Parts_20170221/CEO/041-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/041.txt
042,Genuine Parts_20170221/CEO/042-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/042.txt
043,Genuine Parts_20170221/CEO/043-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/043.txt
044,Genuine Parts_20170221/CEO/044-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/044.txt
045,Genuine Parts_20170221/CEO/045-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/045.txt
046,Genuine Parts_20170221/CEO/046-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/046.txt
047,Genuine Parts_20170221/CEO/047-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/047.txt
048,Genuine Parts_20170221/CEO/048-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/048.txt
049,Genuine Parts_20170221/CEO/049-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/049.txt
050,Genuine Parts_20170221/CEO/050-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/050.txt
051,Genuine Parts_20170221/CEO/051-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/051.txt
052,Genuine Parts_20170221/CEO/052-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/052.txt
053,Genuine Parts_20170221/CEO/053-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/053.txt
054,Genuine Parts_20170221/CEO/054-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/054.txt
055,Genuine Parts_20170221/CEO/055-PaulD.Donahue.mp3,Genuine Parts_20170221/sent_token/055.txt
