Index,Audio Path,Transcript Path
001,Hanesbrands Inc_20170502/CEO/001-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/001.txt
002,Hanesbrands Inc_20170502/CEO/002-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/002.txt
003,Hanesbrands Inc_20170502/CEO/003-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/003.txt
004,Hanesbrands Inc_20170502/CEO/004-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/004.txt
005,Hanesbrands Inc_20170502/CEO/005-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/005.txt
006,Hanesbrands Inc_20170502/CEO/006-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/006.txt
007,Hanesbrands Inc_20170502/CEO/007-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/007.txt
008,Hanesbrands Inc_20170502/CEO/008-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/008.txt
009,Hanesbrands Inc_20170502/CEO/009-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/009.txt
010,Hanesbrands Inc_20170502/CEO/010-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/010.txt
011,Hanesbrands Inc_20170502/CEO/011-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/011.txt
012,Hanesbrands Inc_20170502/CEO/012-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/012.txt
013,Hanesbrands Inc_20170502/CEO/013-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/013.txt
014,Hanesbrands Inc_20170502/CEO/014-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/014.txt
015,Hanesbrands Inc_20170502/CEO/015-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/015.txt
016,Hanesbrands Inc_20170502/CEO/016-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/016.txt
017,Hanesbrands Inc_20170502/CEO/017-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/017.txt
018,Hanesbrands Inc_20170502/CEO/018-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/018.txt
019,Hanesbrands Inc_20170502/CEO/019-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/019.txt
020,Hanesbrands Inc_20170502/CEO/020-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/020.txt
021,Hanesbrands Inc_20170502/CEO/021-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/021.txt
022,Hanesbrands Inc_20170502/CEO/022-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/022.txt
023,Hanesbrands Inc_20170502/CEO/023-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/023.txt
024,Hanesbrands Inc_20170502/CEO/024-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/024.txt
025,Hanesbrands Inc_20170502/CEO/025-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/025.txt
026,Hanesbrands Inc_20170502/CEO/026-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/026.txt
027,Hanesbrands Inc_20170502/CEO/027-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/027.txt
028,Hanesbrands Inc_20170502/CEO/028-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/028.txt
029,Hanesbrands Inc_20170502/CEO/029-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/029.txt
030,Hanesbrands Inc_20170502/CEO/030-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/030.txt
031,Hanesbrands Inc_20170502/CEO/031-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/031.txt
032,Hanesbrands Inc_20170502/CEO/032-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/032.txt
033,Hanesbrands Inc_20170502/CEO/033-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/033.txt
034,Hanesbrands Inc_20170502/CEO/034-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/034.txt
035,Hanesbrands Inc_20170502/CEO/035-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/035.txt
036,Hanesbrands Inc_20170502/CEO/036-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/036.txt
037,Hanesbrands Inc_20170502/CEO/037-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/037.txt
038,Hanesbrands Inc_20170502/CEO/038-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/038.txt
039,Hanesbrands Inc_20170502/CEO/039-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/039.txt
040,Hanesbrands Inc_20170502/CEO/040-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/040.txt
041,Hanesbrands Inc_20170502/CEO/041-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/041.txt
042,Hanesbrands Inc_20170502/CEO/042-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/042.txt
043,Hanesbrands Inc_20170502/CEO/043-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/043.txt
044,Hanesbrands Inc_20170502/CEO/044-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/044.txt
045,Hanesbrands Inc_20170502/CEO/045-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/045.txt
046,Hanesbrands Inc_20170502/CEO/046-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/046.txt
047,Hanesbrands Inc_20170502/CEO/047-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/047.txt
048,Hanesbrands Inc_20170502/CEO/048-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/048.txt
049,Hanesbrands Inc_20170502/CEO/049-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/049.txt
050,Hanesbrands Inc_20170502/CEO/050-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/050.txt
051,Hanesbrands Inc_20170502/CEO/051-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/051.txt
052,Hanesbrands Inc_20170502/CEO/052-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/052.txt
053,Hanesbrands Inc_20170502/CEO/053-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/053.txt
054,Hanesbrands Inc_20170502/CEO/054-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/054.txt
055,Hanesbrands Inc_20170502/CEO/055-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/055.txt
056,Hanesbrands Inc_20170502/CEO/056-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/056.txt
057,Hanesbrands Inc_20170502/CEO/057-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/057.txt
058,Hanesbrands Inc_20170502/CEO/058-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/058.txt
059,Hanesbrands Inc_20170502/CEO/059-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/059.txt
060,Hanesbrands Inc_20170502/CEO/060-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/060.txt
061,Hanesbrands Inc_20170502/CEO/061-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/061.txt
062,Hanesbrands Inc_20170502/CEO/062-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/062.txt
063,Hanesbrands Inc_20170502/CEO/063-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/063.txt
064,Hanesbrands Inc_20170502/CEO/064-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/064.txt
065,Hanesbrands Inc_20170502/CEO/065-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/065.txt
066,Hanesbrands Inc_20170502/CEO/066-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/066.txt
067,Hanesbrands Inc_20170502/CEO/067-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/067.txt
068,Hanesbrands Inc_20170502/CEO/068-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/068.txt
069,Hanesbrands Inc_20170502/CEO/069-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/069.txt
070,Hanesbrands Inc_20170502/CEO/070-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/070.txt
071,Hanesbrands Inc_20170502/CEO/071-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/071.txt
072,Hanesbrands Inc_20170502/CEO/072-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/072.txt
073,Hanesbrands Inc_20170502/CEO/073-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/073.txt
074,Hanesbrands Inc_20170502/CEO/074-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/074.txt
075,Hanesbrands Inc_20170502/CEO/075-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/075.txt
076,Hanesbrands Inc_20170502/CEO/076-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/076.txt
077,Hanesbrands Inc_20170502/CEO/077-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/077.txt
078,Hanesbrands Inc_20170502/CEO/078-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/078.txt
079,Hanesbrands Inc_20170502/CEO/079-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/079.txt
080,Hanesbrands Inc_20170502/CEO/080-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/080.txt
081,Hanesbrands Inc_20170502/CEO/081-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/081.txt
082,Hanesbrands Inc_20170502/CEO/082-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/082.txt
083,Hanesbrands Inc_20170502/CEO/083-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/083.txt
084,Hanesbrands Inc_20170502/CEO/084-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/084.txt
085,Hanesbrands Inc_20170502/CEO/085-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/085.txt
086,Hanesbrands Inc_20170502/CEO/086-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/086.txt
087,Hanesbrands Inc_20170502/CEO/087-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/087.txt
088,Hanesbrands Inc_20170502/CEO/088-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/088.txt
089,Hanesbrands Inc_20170502/CEO/089-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/089.txt
090,Hanesbrands Inc_20170502/CEO/090-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/090.txt
091,Hanesbrands Inc_20170502/CEO/091-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/091.txt
092,Hanesbrands Inc_20170502/CEO/092-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/092.txt
093,Hanesbrands Inc_20170502/CEO/093-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/093.txt
094,Hanesbrands Inc_20170502/CEO/094-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/094.txt
095,Hanesbrands Inc_20170502/CEO/095-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/095.txt
096,Hanesbrands Inc_20170502/CEO/096-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/096.txt
097,Hanesbrands Inc_20170502/CEO/097-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/097.txt
098,Hanesbrands Inc_20170502/CEO/098-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/098.txt
099,Hanesbrands Inc_20170502/CEO/099-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/099.txt
100,Hanesbrands Inc_20170502/CEO/100-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/100.txt
101,Hanesbrands Inc_20170502/CEO/101-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/101.txt
102,Hanesbrands Inc_20170502/CEO/102-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/102.txt
103,Hanesbrands Inc_20170502/CEO/103-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/103.txt
104,Hanesbrands Inc_20170502/CEO/104-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/104.txt
105,Hanesbrands Inc_20170502/CEO/105-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/105.txt
106,Hanesbrands Inc_20170502/CEO/106-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/106.txt
107,Hanesbrands Inc_20170502/CEO/107-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/107.txt
108,Hanesbrands Inc_20170502/CEO/108-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/108.txt
109,Hanesbrands Inc_20170502/CEO/109-RichardD.Moss.mp3,Hanesbrands Inc_20170502/sent_token/109.txt
