Index,Audio Path,Transcript Path
001,Humana Inc._20170503/CEO/001-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/001.txt
002,Humana Inc._20170503/CEO/002-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/002.txt
003,Humana Inc._20170503/CEO/003-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/003.txt
004,Humana Inc._20170503/CEO/004-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/004.txt
005,Humana Inc._20170503/CEO/005-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/005.txt
006,Humana Inc._20170503/CEO/006-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/006.txt
007,Humana Inc._20170503/CEO/007-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/007.txt
008,Humana Inc._20170503/CEO/008-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/008.txt
009,Humana Inc._20170503/CEO/009-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/009.txt
010,Humana Inc._20170503/CEO/010-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/010.txt
011,Humana Inc._20170503/CEO/011-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/011.txt
012,Humana Inc._20170503/CEO/012-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/012.txt
013,Humana Inc._20170503/CEO/013-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/013.txt
014,Humana Inc._20170503/CEO/014-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/014.txt
015,Humana Inc._20170503/CEO/015-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/015.txt
016,Humana Inc._20170503/CEO/016-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/016.txt
017,Humana Inc._20170503/CEO/017-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/017.txt
018,Humana Inc._20170503/CEO/018-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/018.txt
019,Humana Inc._20170503/CEO/019-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/019.txt
020,Humana Inc._20170503/CEO/020-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/020.txt
021,Humana Inc._20170503/CEO/021-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/021.txt
022,Humana Inc._20170503/CEO/022-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/022.txt
023,Humana Inc._20170503/CEO/023-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/023.txt
024,Humana Inc._20170503/CEO/024-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/024.txt
025,Humana Inc._20170503/CEO/025-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/025.txt
026,Humana Inc._20170503/CEO/026-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/026.txt
027,Humana Inc._20170503/CEO/027-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/027.txt
028,Humana Inc._20170503/CEO/028-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/028.txt
029,Humana Inc._20170503/CEO/029-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/029.txt
030,Humana Inc._20170503/CEO/030-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/030.txt
031,Humana Inc._20170503/CEO/031-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/031.txt
032,Humana Inc._20170503/CEO/032-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/032.txt
033,Humana Inc._20170503/CEO/033-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/033.txt
034,Humana Inc._20170503/CEO/034-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/034.txt
035,Humana Inc._20170503/CEO/035-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/035.txt
036,Humana Inc._20170503/CEO/036-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/036.txt
037,Humana Inc._20170503/CEO/037-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/037.txt
038,Humana Inc._20170503/CEO/038-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/038.txt
039,Humana Inc._20170503/CEO/039-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/039.txt
040,Humana Inc._20170503/CEO/040-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/040.txt
041,Humana Inc._20170503/CEO/041-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/041.txt
042,Humana Inc._20170503/CEO/042-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/042.txt
043,Humana Inc._20170503/CEO/043-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/043.txt
044,Humana Inc._20170503/CEO/044-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/044.txt
045,Humana Inc._20170503/CEO/045-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/045.txt
046,Humana Inc._20170503/CEO/046-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/046.txt
047,Humana Inc._20170503/CEO/047-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/047.txt
048,Humana Inc._20170503/CEO/048-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/048.txt
049,Humana Inc._20170503/CEO/049-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/049.txt
050,Humana Inc._20170503/CEO/050-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/050.txt
051,Humana Inc._20170503/CEO/051-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/051.txt
052,Humana Inc._20170503/CEO/052-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/052.txt
053,Humana Inc._20170503/CEO/053-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/053.txt
054,Humana Inc._20170503/CEO/054-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/054.txt
055,Humana Inc._20170503/CEO/055-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/055.txt
056,Humana Inc._20170503/CEO/056-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/056.txt
057,Humana Inc._20170503/CEO/057-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/057.txt
058,Humana Inc._20170503/CEO/058-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/058.txt
059,Humana Inc._20170503/CEO/059-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/059.txt
060,Humana Inc._20170503/CEO/060-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/060.txt
061,Humana Inc._20170503/CEO/061-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/061.txt
062,Humana Inc._20170503/CEO/062-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/062.txt
063,Humana Inc._20170503/CEO/063-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/063.txt
064,Humana Inc._20170503/CEO/064-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/064.txt
065,Humana Inc._20170503/CEO/065-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/065.txt
066,Humana Inc._20170503/CEO/066-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/066.txt
067,Humana Inc._20170503/CEO/067-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/067.txt
068,Humana Inc._20170503/CEO/068-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/068.txt
069,Humana Inc._20170503/CEO/069-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/069.txt
070,Humana Inc._20170503/CEO/070-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/070.txt
071,Humana Inc._20170503/CEO/071-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/071.txt
072,Humana Inc._20170503/CEO/072-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/072.txt
073,Humana Inc._20170503/CEO/073-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/073.txt
074,Humana Inc._20170503/CEO/074-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/074.txt
075,Humana Inc._20170503/CEO/075-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/075.txt
076,Humana Inc._20170503/CEO/076-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/076.txt
077,Humana Inc._20170503/CEO/077-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/077.txt
078,Humana Inc._20170503/CEO/078-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/078.txt
079,Humana Inc._20170503/CEO/079-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/079.txt
080,Humana Inc._20170503/CEO/080-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/080.txt
081,Humana Inc._20170503/CEO/081-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/081.txt
082,Humana Inc._20170503/CEO/082-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/082.txt
083,Humana Inc._20170503/CEO/083-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/083.txt
084,Humana Inc._20170503/CEO/084-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/084.txt
085,Humana Inc._20170503/CEO/085-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/085.txt
086,Humana Inc._20170503/CEO/086-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/086.txt
087,Humana Inc._20170503/CEO/087-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/087.txt
088,Humana Inc._20170503/CEO/088-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/088.txt
089,Humana Inc._20170503/CEO/089-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/089.txt
090,Humana Inc._20170503/CEO/090-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/090.txt
091,Humana Inc._20170503/CEO/091-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/091.txt
092,Humana Inc._20170503/CEO/092-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/092.txt
093,Humana Inc._20170503/CEO/093-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/093.txt
094,Humana Inc._20170503/CEO/094-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/094.txt
095,Humana Inc._20170503/CEO/095-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/095.txt
096,Humana Inc._20170503/CEO/096-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/096.txt
097,Humana Inc._20170503/CEO/097-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/097.txt
098,Humana Inc._20170503/CEO/098-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/098.txt
099,Humana Inc._20170503/CEO/099-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/099.txt
100,Humana Inc._20170503/CEO/100-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/100.txt
101,Humana Inc._20170503/CEO/101-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/101.txt
102,Humana Inc._20170503/CEO/102-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/102.txt
103,Humana Inc._20170503/CEO/103-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/103.txt
104,Humana Inc._20170503/CEO/104-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/104.txt
105,Humana Inc._20170503/CEO/105-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/105.txt
106,Humana Inc._20170503/CEO/106-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/106.txt
107,Humana Inc._20170503/CEO/107-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/107.txt
108,Humana Inc._20170503/CEO/108-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/108.txt
109,Humana Inc._20170503/CEO/109-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/109.txt
110,Humana Inc._20170503/CEO/110-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/110.txt
111,Humana Inc._20170503/CEO/111-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/111.txt
112,Humana Inc._20170503/CEO/112-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/112.txt
113,Humana Inc._20170503/CEO/113-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/113.txt
114,Humana Inc._20170503/CEO/114-BrianA.Kane.mp3,Humana Inc._20170503/sent_token/114.txt
