Index,Audio Path,Transcript Path
001,Intuit Inc._20170223/CEO/001-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/001.txt
002,Intuit Inc._20170223/CEO/002-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/002.txt
003,Intuit Inc._20170223/CEO/003-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/003.txt
004,Intuit Inc._20170223/CEO/004-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/004.txt
005,Intuit Inc._20170223/CEO/005-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/005.txt
006,Intuit Inc._20170223/CEO/006-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/006.txt
007,Intuit Inc._20170223/CEO/007-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/007.txt
008,Intuit Inc._20170223/CEO/008-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/008.txt
009,Intuit Inc._20170223/CEO/009-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/009.txt
010,Intuit Inc._20170223/CEO/010-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/010.txt
011,Intuit Inc._20170223/CEO/011-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/011.txt
012,Intuit Inc._20170223/CEO/012-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/012.txt
013,Intuit Inc._20170223/CEO/013-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/013.txt
014,Intuit Inc._20170223/CEO/014-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/014.txt
015,Intuit Inc._20170223/CEO/015-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/015.txt
016,Intuit Inc._20170223/CEO/016-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/016.txt
017,Intuit Inc._20170223/CEO/017-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/017.txt
018,Intuit Inc._20170223/CEO/018-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/018.txt
019,Intuit Inc._20170223/CEO/019-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/019.txt
020,Intuit Inc._20170223/CEO/020-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/020.txt
021,Intuit Inc._20170223/CEO/021-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/021.txt
022,Intuit Inc._20170223/CEO/022-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/022.txt
023,Intuit Inc._20170223/CEO/023-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/023.txt
024,Intuit Inc._20170223/CEO/024-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/024.txt
025,Intuit Inc._20170223/CEO/025-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/025.txt
026,Intuit Inc._20170223/CEO/026-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/026.txt
027,Intuit Inc._20170223/CEO/027-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/027.txt
028,Intuit Inc._20170223/CEO/028-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/028.txt
029,Intuit Inc._20170223/CEO/029-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/029.txt
030,Intuit Inc._20170223/CEO/030-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/030.txt
031,Intuit Inc._20170223/CEO/031-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/031.txt
032,Intuit Inc._20170223/CEO/032-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/032.txt
033,Intuit Inc._20170223/CEO/033-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/033.txt
034,Intuit Inc._20170223/CEO/034-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/034.txt
035,Intuit Inc._20170223/CEO/035-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/035.txt
036,Intuit Inc._20170223/CEO/036-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/036.txt
037,Intuit Inc._20170223/CEO/037-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/037.txt
038,Intuit Inc._20170223/CEO/038-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/038.txt
039,Intuit Inc._20170223/CEO/039-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/039.txt
040,Intuit Inc._20170223/CEO/040-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/040.txt
041,Intuit Inc._20170223/CEO/041-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/041.txt
042,Intuit Inc._20170223/CEO/042-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/042.txt
043,Intuit Inc._20170223/CEO/043-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/043.txt
044,Intuit Inc._20170223/CEO/044-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/044.txt
045,Intuit Inc._20170223/CEO/045-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/045.txt
046,Intuit Inc._20170223/CEO/046-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/046.txt
047,Intuit Inc._20170223/CEO/047-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/047.txt
048,Intuit Inc._20170223/CEO/048-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/048.txt
049,Intuit Inc._20170223/CEO/049-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/049.txt
050,Intuit Inc._20170223/CEO/050-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/050.txt
051,Intuit Inc._20170223/CEO/051-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/051.txt
052,Intuit Inc._20170223/CEO/052-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/052.txt
053,Intuit Inc._20170223/CEO/053-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/053.txt
054,Intuit Inc._20170223/CEO/054-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/054.txt
055,Intuit Inc._20170223/CEO/055-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/055.txt
056,Intuit Inc._20170223/CEO/056-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/056.txt
057,Intuit Inc._20170223/CEO/057-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/057.txt
058,Intuit Inc._20170223/CEO/058-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/058.txt
059,Intuit Inc._20170223/CEO/059-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/059.txt
060,Intuit Inc._20170223/CEO/060-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/060.txt
061,Intuit Inc._20170223/CEO/061-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/061.txt
062,Intuit Inc._20170223/CEO/062-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/062.txt
063,Intuit Inc._20170223/CEO/063-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/063.txt
064,Intuit Inc._20170223/CEO/064-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/064.txt
065,Intuit Inc._20170223/CEO/065-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/065.txt
066,Intuit Inc._20170223/CEO/066-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/066.txt
067,Intuit Inc._20170223/CEO/067-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/067.txt
068,Intuit Inc._20170223/CEO/068-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/068.txt
069,Intuit Inc._20170223/CEO/069-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/069.txt
070,Intuit Inc._20170223/CEO/070-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/070.txt
071,Intuit Inc._20170223/CEO/071-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/071.txt
072,Intuit Inc._20170223/CEO/072-BradD.Smith.mp3,Intuit Inc._20170223/sent_token/072.txt
