Index,Audio Path,Transcript Path
001,Invesco Ltd._20170727/CEO/001-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/001.txt
002,Invesco Ltd._20170727/CEO/002-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/002.txt
003,Invesco Ltd._20170727/CEO/003-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/003.txt
004,Invesco Ltd._20170727/CEO/004-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/004.txt
005,Invesco Ltd._20170727/CEO/005-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/005.txt
006,Invesco Ltd._20170727/CEO/006-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/006.txt
007,Invesco Ltd._20170727/CEO/007-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/007.txt
008,Invesco Ltd._20170727/CEO/008-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/008.txt
009,Invesco Ltd._20170727/CEO/009-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/009.txt
010,Invesco Ltd._20170727/CEO/010-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/010.txt
011,Invesco Ltd._20170727/CEO/011-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/011.txt
012,Invesco Ltd._20170727/CEO/012-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/012.txt
013,Invesco Ltd._20170727/CEO/013-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/013.txt
014,Invesco Ltd._20170727/CEO/014-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/014.txt
015,Invesco Ltd._20170727/CEO/015-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/015.txt
016,Invesco Ltd._20170727/CEO/016-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/016.txt
017,Invesco Ltd._20170727/CEO/017-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/017.txt
018,Invesco Ltd._20170727/CEO/018-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/018.txt
019,Invesco Ltd._20170727/CEO/019-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/019.txt
020,Invesco Ltd._20170727/CEO/020-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/020.txt
021,Invesco Ltd._20170727/CEO/021-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/021.txt
022,Invesco Ltd._20170727/CEO/022-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/022.txt
023,Invesco Ltd._20170727/CEO/023-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/023.txt
024,Invesco Ltd._20170727/CEO/024-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/024.txt
025,Invesco Ltd._20170727/CEO/025-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/025.txt
026,Invesco Ltd._20170727/CEO/026-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/026.txt
027,Invesco Ltd._20170727/CEO/027-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/027.txt
028,Invesco Ltd._20170727/CEO/028-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/028.txt
029,Invesco Ltd._20170727/CEO/029-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/029.txt
030,Invesco Ltd._20170727/CEO/030-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/030.txt
031,Invesco Ltd._20170727/CEO/031-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/031.txt
032,Invesco Ltd._20170727/CEO/032-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/032.txt
033,Invesco Ltd._20170727/CEO/033-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/033.txt
034,Invesco Ltd._20170727/CEO/034-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/034.txt
035,Invesco Ltd._20170727/CEO/035-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/035.txt
036,Invesco Ltd._20170727/CEO/036-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/036.txt
037,Invesco Ltd._20170727/CEO/037-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/037.txt
038,Invesco Ltd._20170727/CEO/038-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/038.txt
039,Invesco Ltd._20170727/CEO/039-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/039.txt
040,Invesco Ltd._20170727/CEO/040-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/040.txt
041,Invesco Ltd._20170727/CEO/041-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/041.txt
042,Invesco Ltd._20170727/CEO/042-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/042.txt
043,Invesco Ltd._20170727/CEO/043-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/043.txt
044,Invesco Ltd._20170727/CEO/044-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/044.txt
045,Invesco Ltd._20170727/CEO/045-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/045.txt
046,Invesco Ltd._20170727/CEO/046-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/046.txt
047,Invesco Ltd._20170727/CEO/047-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/047.txt
048,Invesco Ltd._20170727/CEO/048-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/048.txt
049,Invesco Ltd._20170727/CEO/049-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/049.txt
050,Invesco Ltd._20170727/CEO/050-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/050.txt
051,Invesco Ltd._20170727/CEO/051-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/051.txt
052,Invesco Ltd._20170727/CEO/052-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/052.txt
053,Invesco Ltd._20170727/CEO/053-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/053.txt
054,Invesco Ltd._20170727/CEO/054-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/054.txt
055,Invesco Ltd._20170727/CEO/055-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/055.txt
056,Invesco Ltd._20170727/CEO/056-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/056.txt
057,Invesco Ltd._20170727/CEO/057-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/057.txt
058,Invesco Ltd._20170727/CEO/058-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/058.txt
059,Invesco Ltd._20170727/CEO/059-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/059.txt
060,Invesco Ltd._20170727/CEO/060-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/060.txt
061,Invesco Ltd._20170727/CEO/061-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/061.txt
062,Invesco Ltd._20170727/CEO/062-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/062.txt
063,Invesco Ltd._20170727/CEO/063-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/063.txt
064,Invesco Ltd._20170727/CEO/064-LorenStarr.mp3,Invesco Ltd._20170727/sent_token/064.txt
