Index,Audio Path,Transcript Path
001,Kohl's Corp._20171109/CEO/001-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/001.txt
002,Kohl's Corp._20171109/CEO/002-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/002.txt
003,Kohl's Corp._20171109/CEO/003-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/003.txt
004,Kohl's Corp._20171109/CEO/004-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/004.txt
005,Kohl's Corp._20171109/CEO/005-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/005.txt
006,Kohl's Corp._20171109/CEO/006-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/006.txt
007,Kohl's Corp._20171109/CEO/007-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/007.txt
008,Kohl's Corp._20171109/CEO/008-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/008.txt
009,Kohl's Corp._20171109/CEO/009-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/009.txt
010,Kohl's Corp._20171109/CEO/010-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/010.txt
011,Kohl's Corp._20171109/CEO/011-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/011.txt
012,Kohl's Corp._20171109/CEO/012-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/012.txt
013,Kohl's Corp._20171109/CEO/013-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/013.txt
014,Kohl's Corp._20171109/CEO/014-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/014.txt
015,Kohl's Corp._20171109/CEO/015-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/015.txt
016,Kohl's Corp._20171109/CEO/016-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/016.txt
017,Kohl's Corp._20171109/CEO/017-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/017.txt
018,Kohl's Corp._20171109/CEO/018-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/018.txt
019,Kohl's Corp._20171109/CEO/019-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/019.txt
020,Kohl's Corp._20171109/CEO/020-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/020.txt
021,Kohl's Corp._20171109/CEO/021-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/021.txt
022,Kohl's Corp._20171109/CEO/022-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/022.txt
023,Kohl's Corp._20171109/CEO/023-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/023.txt
024,Kohl's Corp._20171109/CEO/024-KevinMansell.mp3,Kohl's Corp._20171109/sent_token/024.txt
