Index,Audio Path,Transcript Path
001,MGM Resorts International_20170727/CEO/001-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/001.txt
002,MGM Resorts International_20170727/CEO/002-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/002.txt
003,MGM Resorts International_20170727/CEO/003-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/003.txt
004,MGM Resorts International_20170727/CEO/004-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/004.txt
005,MGM Resorts International_20170727/CEO/005-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/005.txt
006,MGM Resorts International_20170727/CEO/006-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/006.txt
007,MGM Resorts International_20170727/CEO/007-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/007.txt
008,MGM Resorts International_20170727/CEO/008-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/008.txt
009,MGM Resorts International_20170727/CEO/009-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/009.txt
010,MGM Resorts International_20170727/CEO/010-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/010.txt
011,MGM Resorts International_20170727/CEO/011-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/011.txt
012,MGM Resorts International_20170727/CEO/012-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/012.txt
013,MGM Resorts International_20170727/CEO/013-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/013.txt
014,MGM Resorts International_20170727/CEO/014-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/014.txt
015,MGM Resorts International_20170727/CEO/015-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/015.txt
016,MGM Resorts International_20170727/CEO/016-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/016.txt
017,MGM Resorts International_20170727/CEO/017-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/017.txt
018,MGM Resorts International_20170727/CEO/018-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/018.txt
019,MGM Resorts International_20170727/CEO/019-JamesJosephMurren.mp3,MGM Resorts International_20170727/sent_token/019.txt
