Index,Audio Path,Transcript Path
001,Motorola Solutions Inc._20170803/CEO/001-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/001.txt
002,Motorola Solutions Inc._20170803/CEO/002-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/002.txt
003,Motorola Solutions Inc._20170803/CEO/003-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/003.txt
004,Motorola Solutions Inc._20170803/CEO/004-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/004.txt
005,Motorola Solutions Inc._20170803/CEO/005-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/005.txt
006,Motorola Solutions Inc._20170803/CEO/006-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/006.txt
007,Motorola Solutions Inc._20170803/CEO/007-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/007.txt
008,Motorola Solutions Inc._20170803/CEO/008-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/008.txt
009,Motorola Solutions Inc._20170803/CEO/009-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/009.txt
010,Motorola Solutions Inc._20170803/CEO/010-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/010.txt
011,Motorola Solutions Inc._20170803/CEO/011-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/011.txt
012,Motorola Solutions Inc._20170803/CEO/012-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/012.txt
013,Motorola Solutions Inc._20170803/CEO/013-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/013.txt
014,Motorola Solutions Inc._20170803/CEO/014-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/014.txt
015,Motorola Solutions Inc._20170803/CEO/015-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/015.txt
016,Motorola Solutions Inc._20170803/CEO/016-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/016.txt
017,Motorola Solutions Inc._20170803/CEO/017-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/017.txt
018,Motorola Solutions Inc._20170803/CEO/018-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/018.txt
019,Motorola Solutions Inc._20170803/CEO/019-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/019.txt
020,Motorola Solutions Inc._20170803/CEO/020-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/020.txt
021,Motorola Solutions Inc._20170803/CEO/021-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/021.txt
022,Motorola Solutions Inc._20170803/CEO/022-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/022.txt
023,Motorola Solutions Inc._20170803/CEO/023-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/023.txt
024,Motorola Solutions Inc._20170803/CEO/024-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/024.txt
025,Motorola Solutions Inc._20170803/CEO/025-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/025.txt
026,Motorola Solutions Inc._20170803/CEO/026-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/026.txt
027,Motorola Solutions Inc._20170803/CEO/027-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/027.txt
028,Motorola Solutions Inc._20170803/CEO/028-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/028.txt
029,Motorola Solutions Inc._20170803/CEO/029-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/029.txt
030,Motorola Solutions Inc._20170803/CEO/030-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/030.txt
031,Motorola Solutions Inc._20170803/CEO/031-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/031.txt
032,Motorola Solutions Inc._20170803/CEO/032-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/032.txt
033,Motorola Solutions Inc._20170803/CEO/033-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/033.txt
034,Motorola Solutions Inc._20170803/CEO/034-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/034.txt
035,Motorola Solutions Inc._20170803/CEO/035-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/035.txt
036,Motorola Solutions Inc._20170803/CEO/036-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/036.txt
037,Motorola Solutions Inc._20170803/CEO/037-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/037.txt
038,Motorola Solutions Inc._20170803/CEO/038-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/038.txt
039,Motorola Solutions Inc._20170803/CEO/039-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/039.txt
040,Motorola Solutions Inc._20170803/CEO/040-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/040.txt
041,Motorola Solutions Inc._20170803/CEO/041-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/041.txt
042,Motorola Solutions Inc._20170803/CEO/042-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/042.txt
043,Motorola Solutions Inc._20170803/CEO/043-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/043.txt
044,Motorola Solutions Inc._20170803/CEO/044-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/044.txt
045,Motorola Solutions Inc._20170803/CEO/045-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/045.txt
046,Motorola Solutions Inc._20170803/CEO/046-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/046.txt
047,Motorola Solutions Inc._20170803/CEO/047-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/047.txt
048,Motorola Solutions Inc._20170803/CEO/048-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/048.txt
049,Motorola Solutions Inc._20170803/CEO/049-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/049.txt
050,Motorola Solutions Inc._20170803/CEO/050-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/050.txt
051,Motorola Solutions Inc._20170803/CEO/051-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/051.txt
052,Motorola Solutions Inc._20170803/CEO/052-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/052.txt
053,Motorola Solutions Inc._20170803/CEO/053-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/053.txt
054,Motorola Solutions Inc._20170803/CEO/054-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/054.txt
055,Motorola Solutions Inc._20170803/CEO/055-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/055.txt
056,Motorola Solutions Inc._20170803/CEO/056-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/056.txt
057,Motorola Solutions Inc._20170803/CEO/057-GinoA.Bonanotte.mp3,Motorola Solutions Inc._20170803/sent_token/057.txt
