Index,Audio Path,Transcript Path
001,PepsiCo Inc._20170426/CEO/001-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/001.txt
002,PepsiCo Inc._20170426/CEO/002-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/002.txt
003,PepsiCo Inc._20170426/CEO/003-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/003.txt
004,PepsiCo Inc._20170426/CEO/004-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/004.txt
005,PepsiCo Inc._20170426/CEO/005-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/005.txt
006,PepsiCo Inc._20170426/CEO/006-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/006.txt
007,PepsiCo Inc._20170426/CEO/007-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/007.txt
008,PepsiCo Inc._20170426/CEO/008-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/008.txt
009,PepsiCo Inc._20170426/CEO/009-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/009.txt
010,PepsiCo Inc._20170426/CEO/010-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/010.txt
011,PepsiCo Inc._20170426/CEO/011-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/011.txt
012,PepsiCo Inc._20170426/CEO/012-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/012.txt
013,PepsiCo Inc._20170426/CEO/013-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/013.txt
014,PepsiCo Inc._20170426/CEO/014-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/014.txt
015,PepsiCo Inc._20170426/CEO/015-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/015.txt
016,PepsiCo Inc._20170426/CEO/016-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/016.txt
017,PepsiCo Inc._20170426/CEO/017-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/017.txt
018,PepsiCo Inc._20170426/CEO/018-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/018.txt
019,PepsiCo Inc._20170426/CEO/019-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/019.txt
020,PepsiCo Inc._20170426/CEO/020-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/020.txt
021,PepsiCo Inc._20170426/CEO/021-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/021.txt
022,PepsiCo Inc._20170426/CEO/022-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/022.txt
023,PepsiCo Inc._20170426/CEO/023-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/023.txt
024,PepsiCo Inc._20170426/CEO/024-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/024.txt
025,PepsiCo Inc._20170426/CEO/025-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/025.txt
026,PepsiCo Inc._20170426/CEO/026-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/026.txt
027,PepsiCo Inc._20170426/CEO/027-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/027.txt
028,PepsiCo Inc._20170426/CEO/028-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/028.txt
029,PepsiCo Inc._20170426/CEO/029-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/029.txt
030,PepsiCo Inc._20170426/CEO/030-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/030.txt
031,PepsiCo Inc._20170426/CEO/031-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/031.txt
032,PepsiCo Inc._20170426/CEO/032-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/032.txt
033,PepsiCo Inc._20170426/CEO/033-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/033.txt
034,PepsiCo Inc._20170426/CEO/034-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/034.txt
035,PepsiCo Inc._20170426/CEO/035-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/035.txt
036,PepsiCo Inc._20170426/CEO/036-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/036.txt
037,PepsiCo Inc._20170426/CEO/037-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/037.txt
038,PepsiCo Inc._20170426/CEO/038-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/038.txt
039,PepsiCo Inc._20170426/CEO/039-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/039.txt
040,PepsiCo Inc._20170426/CEO/040-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/040.txt
041,PepsiCo Inc._20170426/CEO/041-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/041.txt
042,PepsiCo Inc._20170426/CEO/042-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/042.txt
043,PepsiCo Inc._20170426/CEO/043-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/043.txt
044,PepsiCo Inc._20170426/CEO/044-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/044.txt
045,PepsiCo Inc._20170426/CEO/045-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/045.txt
046,PepsiCo Inc._20170426/CEO/046-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/046.txt
047,PepsiCo Inc._20170426/CEO/047-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/047.txt
048,PepsiCo Inc._20170426/CEO/048-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/048.txt
049,PepsiCo Inc._20170426/CEO/049-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/049.txt
050,PepsiCo Inc._20170426/CEO/050-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/050.txt
051,PepsiCo Inc._20170426/CEO/051-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/051.txt
052,PepsiCo Inc._20170426/CEO/052-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/052.txt
053,PepsiCo Inc._20170426/CEO/053-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/053.txt
054,PepsiCo Inc._20170426/CEO/054-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/054.txt
055,PepsiCo Inc._20170426/CEO/055-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/055.txt
056,PepsiCo Inc._20170426/CEO/056-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/056.txt
057,PepsiCo Inc._20170426/CEO/057-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/057.txt
058,PepsiCo Inc._20170426/CEO/058-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/058.txt
059,PepsiCo Inc._20170426/CEO/059-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/059.txt
060,PepsiCo Inc._20170426/CEO/060-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/060.txt
061,PepsiCo Inc._20170426/CEO/061-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/061.txt
062,PepsiCo Inc._20170426/CEO/062-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/062.txt
063,PepsiCo Inc._20170426/CEO/063-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/063.txt
064,PepsiCo Inc._20170426/CEO/064-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/064.txt
065,PepsiCo Inc._20170426/CEO/065-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/065.txt
066,PepsiCo Inc._20170426/CEO/066-IndraK.Nooyi.mp3,PepsiCo Inc._20170426/sent_token/066.txt
