Index,Audio Path,Transcript Path
001,Quanta Services Inc._20170504/CEO/001-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/001.txt
002,Quanta Services Inc._20170504/CEO/002-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/002.txt
003,Quanta Services Inc._20170504/CEO/003-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/003.txt
004,Quanta Services Inc._20170504/CEO/004-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/004.txt
005,Quanta Services Inc._20170504/CEO/005-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/005.txt
006,Quanta Services Inc._20170504/CEO/006-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/006.txt
007,Quanta Services Inc._20170504/CEO/007-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/007.txt
008,Quanta Services Inc._20170504/CEO/008-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/008.txt
009,Quanta Services Inc._20170504/CEO/009-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/009.txt
010,Quanta Services Inc._20170504/CEO/010-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/010.txt
011,Quanta Services Inc._20170504/CEO/011-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/011.txt
012,Quanta Services Inc._20170504/CEO/012-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/012.txt
013,Quanta Services Inc._20170504/CEO/013-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/013.txt
014,Quanta Services Inc._20170504/CEO/014-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/014.txt
015,Quanta Services Inc._20170504/CEO/015-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/015.txt
016,Quanta Services Inc._20170504/CEO/016-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/016.txt
017,Quanta Services Inc._20170504/CEO/017-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/017.txt
018,Quanta Services Inc._20170504/CEO/018-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/018.txt
019,Quanta Services Inc._20170504/CEO/019-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/019.txt
020,Quanta Services Inc._20170504/CEO/020-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/020.txt
021,Quanta Services Inc._20170504/CEO/021-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/021.txt
022,Quanta Services Inc._20170504/CEO/022-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/022.txt
023,Quanta Services Inc._20170504/CEO/023-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/023.txt
024,Quanta Services Inc._20170504/CEO/024-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/024.txt
025,Quanta Services Inc._20170504/CEO/025-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/025.txt
026,Quanta Services Inc._20170504/CEO/026-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/026.txt
027,Quanta Services Inc._20170504/CEO/027-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/027.txt
028,Quanta Services Inc._20170504/CEO/028-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/028.txt
029,Quanta Services Inc._20170504/CEO/029-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/029.txt
030,Quanta Services Inc._20170504/CEO/030-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/030.txt
031,Quanta Services Inc._20170504/CEO/031-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/031.txt
032,Quanta Services Inc._20170504/CEO/032-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/032.txt
033,Quanta Services Inc._20170504/CEO/033-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/033.txt
034,Quanta Services Inc._20170504/CEO/034-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/034.txt
035,Quanta Services Inc._20170504/CEO/035-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/035.txt
036,Quanta Services Inc._20170504/CEO/036-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/036.txt
037,Quanta Services Inc._20170504/CEO/037-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/037.txt
038,Quanta Services Inc._20170504/CEO/038-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/038.txt
039,Quanta Services Inc._20170504/CEO/039-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/039.txt
040,Quanta Services Inc._20170504/CEO/040-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/040.txt
041,Quanta Services Inc._20170504/CEO/041-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/041.txt
042,Quanta Services Inc._20170504/CEO/042-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/042.txt
043,Quanta Services Inc._20170504/CEO/043-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/043.txt
044,Quanta Services Inc._20170504/CEO/044-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/044.txt
045,Quanta Services Inc._20170504/CEO/045-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/045.txt
046,Quanta Services Inc._20170504/CEO/046-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/046.txt
047,Quanta Services Inc._20170504/CEO/047-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/047.txt
048,Quanta Services Inc._20170504/CEO/048-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/048.txt
049,Quanta Services Inc._20170504/CEO/049-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/049.txt
050,Quanta Services Inc._20170504/CEO/050-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/050.txt
051,Quanta Services Inc._20170504/CEO/051-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/051.txt
052,Quanta Services Inc._20170504/CEO/052-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/052.txt
053,Quanta Services Inc._20170504/CEO/053-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/053.txt
054,Quanta Services Inc._20170504/CEO/054-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/054.txt
055,Quanta Services Inc._20170504/CEO/055-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/055.txt
056,Quanta Services Inc._20170504/CEO/056-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/056.txt
057,Quanta Services Inc._20170504/CEO/057-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/057.txt
058,Quanta Services Inc._20170504/CEO/058-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/058.txt
059,Quanta Services Inc._20170504/CEO/059-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/059.txt
060,Quanta Services Inc._20170504/CEO/060-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/060.txt
061,Quanta Services Inc._20170504/CEO/061-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/061.txt
062,Quanta Services Inc._20170504/CEO/062-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/062.txt
063,Quanta Services Inc._20170504/CEO/063-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/063.txt
064,Quanta Services Inc._20170504/CEO/064-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/064.txt
065,Quanta Services Inc._20170504/CEO/065-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/065.txt
066,Quanta Services Inc._20170504/CEO/066-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/066.txt
067,Quanta Services Inc._20170504/CEO/067-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/067.txt
068,Quanta Services Inc._20170504/CEO/068-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/068.txt
069,Quanta Services Inc._20170504/CEO/069-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/069.txt
070,Quanta Services Inc._20170504/CEO/070-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/070.txt
071,Quanta Services Inc._20170504/CEO/071-DukeAustin.mp3,Quanta Services Inc._20170504/sent_token/071.txt
