Index,Audio Path,Transcript Path
001,Rockwell Automation Inc._20170426/CEO/001-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/001.txt
002,Rockwell Automation Inc._20170426/CEO/002-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/002.txt
003,Rockwell Automation Inc._20170426/CEO/003-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/003.txt
004,Rockwell Automation Inc._20170426/CEO/004-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/004.txt
005,Rockwell Automation Inc._20170426/CEO/005-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/005.txt
006,Rockwell Automation Inc._20170426/CEO/006-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/006.txt
007,Rockwell Automation Inc._20170426/CEO/007-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/007.txt
008,Rockwell Automation Inc._20170426/CEO/008-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/008.txt
009,Rockwell Automation Inc._20170426/CEO/009-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/009.txt
010,Rockwell Automation Inc._20170426/CEO/010-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/010.txt
011,Rockwell Automation Inc._20170426/CEO/011-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/011.txt
012,Rockwell Automation Inc._20170426/CEO/012-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/012.txt
013,Rockwell Automation Inc._20170426/CEO/013-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/013.txt
014,Rockwell Automation Inc._20170426/CEO/014-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/014.txt
015,Rockwell Automation Inc._20170426/CEO/015-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/015.txt
016,Rockwell Automation Inc._20170426/CEO/016-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/016.txt
017,Rockwell Automation Inc._20170426/CEO/017-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/017.txt
018,Rockwell Automation Inc._20170426/CEO/018-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/018.txt
019,Rockwell Automation Inc._20170426/CEO/019-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/019.txt
020,Rockwell Automation Inc._20170426/CEO/020-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/020.txt
021,Rockwell Automation Inc._20170426/CEO/021-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/021.txt
022,Rockwell Automation Inc._20170426/CEO/022-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/022.txt
023,Rockwell Automation Inc._20170426/CEO/023-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/023.txt
024,Rockwell Automation Inc._20170426/CEO/024-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/024.txt
025,Rockwell Automation Inc._20170426/CEO/025-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/025.txt
026,Rockwell Automation Inc._20170426/CEO/026-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/026.txt
027,Rockwell Automation Inc._20170426/CEO/027-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/027.txt
028,Rockwell Automation Inc._20170426/CEO/028-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/028.txt
029,Rockwell Automation Inc._20170426/CEO/029-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/029.txt
030,Rockwell Automation Inc._20170426/CEO/030-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/030.txt
031,Rockwell Automation Inc._20170426/CEO/031-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/031.txt
032,Rockwell Automation Inc._20170426/CEO/032-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/032.txt
033,Rockwell Automation Inc._20170426/CEO/033-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/033.txt
034,Rockwell Automation Inc._20170426/CEO/034-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/034.txt
035,Rockwell Automation Inc._20170426/CEO/035-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/035.txt
036,Rockwell Automation Inc._20170426/CEO/036-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/036.txt
037,Rockwell Automation Inc._20170426/CEO/037-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/037.txt
038,Rockwell Automation Inc._20170426/CEO/038-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/038.txt
039,Rockwell Automation Inc._20170426/CEO/039-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/039.txt
040,Rockwell Automation Inc._20170426/CEO/040-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/040.txt
041,Rockwell Automation Inc._20170426/CEO/041-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/041.txt
042,Rockwell Automation Inc._20170426/CEO/042-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/042.txt
043,Rockwell Automation Inc._20170426/CEO/043-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/043.txt
044,Rockwell Automation Inc._20170426/CEO/044-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/044.txt
045,Rockwell Automation Inc._20170426/CEO/045-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/045.txt
046,Rockwell Automation Inc._20170426/CEO/046-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/046.txt
047,Rockwell Automation Inc._20170426/CEO/047-BlakeD.Moret.mp3,Rockwell Automation Inc._20170426/sent_token/047.txt
