Index,Audio Path,Transcript Path
001,"Waste Management Inc._20171026/CEO/001-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/001.txt
002,"Waste Management Inc._20171026/CEO/002-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/002.txt
003,"Waste Management Inc._20171026/CEO/003-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/003.txt
004,"Waste Management Inc._20171026/CEO/004-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/004.txt
005,"Waste Management Inc._20171026/CEO/005-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/005.txt
006,"Waste Management Inc._20171026/CEO/006-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/006.txt
007,"Waste Management Inc._20171026/CEO/007-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/007.txt
008,"Waste Management Inc._20171026/CEO/008-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/008.txt
009,"Waste Management Inc._20171026/CEO/009-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/009.txt
010,"Waste Management Inc._20171026/CEO/010-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/010.txt
011,"Waste Management Inc._20171026/CEO/011-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/011.txt
012,"Waste Management Inc._20171026/CEO/012-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/012.txt
013,"Waste Management Inc._20171026/CEO/013-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/013.txt
014,"Waste Management Inc._20171026/CEO/014-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/014.txt
015,"Waste Management Inc._20171026/CEO/015-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/015.txt
016,"Waste Management Inc._20171026/CEO/016-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/016.txt
017,"Waste Management Inc._20171026/CEO/017-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/017.txt
018,"Waste Management Inc._20171026/CEO/018-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/018.txt
019,"Waste Management Inc._20171026/CEO/019-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/019.txt
020,"Waste Management Inc._20171026/CEO/020-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/020.txt
021,"Waste Management Inc._20171026/CEO/021-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/021.txt
022,"Waste Management Inc._20171026/CEO/022-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/022.txt
023,"Waste Management Inc._20171026/CEO/023-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/023.txt
024,"Waste Management Inc._20171026/CEO/024-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/024.txt
025,"Waste Management Inc._20171026/CEO/025-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/025.txt
026,"Waste Management Inc._20171026/CEO/026-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/026.txt
027,"Waste Management Inc._20171026/CEO/027-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/027.txt
028,"Waste Management Inc._20171026/CEO/028-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/028.txt
029,"Waste Management Inc._20171026/CEO/029-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/029.txt
030,"Waste Management Inc._20171026/CEO/030-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/030.txt
031,"Waste Management Inc._20171026/CEO/031-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/031.txt
032,"Waste Management Inc._20171026/CEO/032-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/032.txt
033,"Waste Management Inc._20171026/CEO/033-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/033.txt
034,"Waste Management Inc._20171026/CEO/034-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/034.txt
035,"Waste Management Inc._20171026/CEO/035-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/035.txt
036,"Waste Management Inc._20171026/CEO/036-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/036.txt
037,"Waste Management Inc._20171026/CEO/037-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/037.txt
038,"Waste Management Inc._20171026/CEO/038-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/038.txt
039,"Waste Management Inc._20171026/CEO/039-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/039.txt
040,"Waste Management Inc._20171026/CEO/040-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/040.txt
041,"Waste Management Inc._20171026/CEO/041-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/041.txt
042,"Waste Management Inc._20171026/CEO/042-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/042.txt
043,"Waste Management Inc._20171026/CEO/043-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/043.txt
044,"Waste Management Inc._20171026/CEO/044-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/044.txt
045,"Waste Management Inc._20171026/CEO/045-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/045.txt
046,"Waste Management Inc._20171026/CEO/046-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/046.txt
047,"Waste Management Inc._20171026/CEO/047-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/047.txt
048,"Waste Management Inc._20171026/CEO/048-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/048.txt
049,"Waste Management Inc._20171026/CEO/049-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/049.txt
050,"Waste Management Inc._20171026/CEO/050-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/050.txt
051,"Waste Management Inc._20171026/CEO/051-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/051.txt
052,"Waste Management Inc._20171026/CEO/052-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/052.txt
053,"Waste Management Inc._20171026/CEO/053-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/053.txt
054,"Waste Management Inc._20171026/CEO/054-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/054.txt
055,"Waste Management Inc._20171026/CEO/055-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/055.txt
056,"Waste Management Inc._20171026/CEO/056-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/056.txt
057,"Waste Management Inc._20171026/CEO/057-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/057.txt
058,"Waste Management Inc._20171026/CEO/058-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/058.txt
059,"Waste Management Inc._20171026/CEO/059-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/059.txt
060,"Waste Management Inc._20171026/CEO/060-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/060.txt
061,"Waste Management Inc._20171026/CEO/061-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/061.txt
062,"Waste Management Inc._20171026/CEO/062-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/062.txt
063,"Waste Management Inc._20171026/CEO/063-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/063.txt
064,"Waste Management Inc._20171026/CEO/064-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/064.txt
065,"Waste Management Inc._20171026/CEO/065-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/065.txt
066,"Waste Management Inc._20171026/CEO/066-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/066.txt
067,"Waste Management Inc._20171026/CEO/067-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/067.txt
068,"Waste Management Inc._20171026/CEO/068-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/068.txt
069,"Waste Management Inc._20171026/CEO/069-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/069.txt
070,"Waste Management Inc._20171026/CEO/070-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/070.txt
071,"Waste Management Inc._20171026/CEO/071-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/071.txt
072,"Waste Management Inc._20171026/CEO/072-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/072.txt
073,"Waste Management Inc._20171026/CEO/073-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/073.txt
074,"Waste Management Inc._20171026/CEO/074-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/074.txt
075,"Waste Management Inc._20171026/CEO/075-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/075.txt
076,"Waste Management Inc._20171026/CEO/076-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/076.txt
077,"Waste Management Inc._20171026/CEO/077-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/077.txt
078,"Waste Management Inc._20171026/CEO/078-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/078.txt
079,"Waste Management Inc._20171026/CEO/079-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/079.txt
080,"Waste Management Inc._20171026/CEO/080-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/080.txt
081,"Waste Management Inc._20171026/CEO/081-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/081.txt
082,"Waste Management Inc._20171026/CEO/082-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/082.txt
083,"Waste Management Inc._20171026/CEO/083-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/083.txt
084,"Waste Management Inc._20171026/CEO/084-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/084.txt
085,"Waste Management Inc._20171026/CEO/085-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/085.txt
086,"Waste Management Inc._20171026/CEO/086-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/086.txt
087,"Waste Management Inc._20171026/CEO/087-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/087.txt
088,"Waste Management Inc._20171026/CEO/088-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/088.txt
089,"Waste Management Inc._20171026/CEO/089-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/089.txt
090,"Waste Management Inc._20171026/CEO/090-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/090.txt
091,"Waste Management Inc._20171026/CEO/091-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/091.txt
092,"Waste Management Inc._20171026/CEO/092-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/092.txt
093,"Waste Management Inc._20171026/CEO/093-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/093.txt
094,"Waste Management Inc._20171026/CEO/094-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/094.txt
095,"Waste Management Inc._20171026/CEO/095-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/095.txt
096,"Waste Management Inc._20171026/CEO/096-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/096.txt
097,"Waste Management Inc._20171026/CEO/097-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/097.txt
098,"Waste Management Inc._20171026/CEO/098-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/098.txt
099,"Waste Management Inc._20171026/CEO/099-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/099.txt
100,"Waste Management Inc._20171026/CEO/100-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/100.txt
101,"Waste Management Inc._20171026/CEO/101-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/101.txt
102,"Waste Management Inc._20171026/CEO/102-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/102.txt
103,"Waste Management Inc._20171026/CEO/103-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/103.txt
104,"Waste Management Inc._20171026/CEO/104-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/104.txt
105,"Waste Management Inc._20171026/CEO/105-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/105.txt
106,"Waste Management Inc._20171026/CEO/106-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/106.txt
107,"Waste Management Inc._20171026/CEO/107-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/107.txt
108,"Waste Management Inc._20171026/CEO/108-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/108.txt
109,"Waste Management Inc._20171026/CEO/109-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/109.txt
110,"Waste Management Inc._20171026/CEO/110-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/110.txt
111,"Waste Management Inc._20171026/CEO/111-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/111.txt
112,"Waste Management Inc._20171026/CEO/112-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/112.txt
113,"Waste Management Inc._20171026/CEO/113-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/113.txt
114,"Waste Management Inc._20171026/CEO/114-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/114.txt
115,"Waste Management Inc._20171026/CEO/115-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/115.txt
116,"Waste Management Inc._20171026/CEO/116-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/116.txt
117,"Waste Management Inc._20171026/CEO/117-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/117.txt
118,"Waste Management Inc._20171026/CEO/118-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/118.txt
119,"Waste Management Inc._20171026/CEO/119-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/119.txt
120,"Waste Management Inc._20171026/CEO/120-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/120.txt
121,"Waste Management Inc._20171026/CEO/121-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/121.txt
122,"Waste Management Inc._20171026/CEO/122-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/122.txt
123,"Waste Management Inc._20171026/CEO/123-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/123.txt
124,"Waste Management Inc._20171026/CEO/124-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/124.txt
125,"Waste Management Inc._20171026/CEO/125-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/125.txt
126,"Waste Management Inc._20171026/CEO/126-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/126.txt
127,"Waste Management Inc._20171026/CEO/127-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/127.txt
128,"Waste Management Inc._20171026/CEO/128-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/128.txt
129,"Waste Management Inc._20171026/CEO/129-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/129.txt
130,"Waste Management Inc._20171026/CEO/130-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/130.txt
131,"Waste Management Inc._20171026/CEO/131-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/131.txt
132,"Waste Management Inc._20171026/CEO/132-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/132.txt
133,"Waste Management Inc._20171026/CEO/133-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/133.txt
134,"Waste Management Inc._20171026/CEO/134-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/134.txt
135,"Waste Management Inc._20171026/CEO/135-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/135.txt
136,"Waste Management Inc._20171026/CEO/136-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/136.txt
137,"Waste Management Inc._20171026/CEO/137-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/137.txt
138,"Waste Management Inc._20171026/CEO/138-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/138.txt
139,"Waste Management Inc._20171026/CEO/139-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/139.txt
140,"Waste Management Inc._20171026/CEO/140-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/140.txt
141,"Waste Management Inc._20171026/CEO/141-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/141.txt
142,"Waste Management Inc._20171026/CEO/142-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/142.txt
143,"Waste Management Inc._20171026/CEO/143-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/143.txt
144,"Waste Management Inc._20171026/CEO/144-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/144.txt
145,"Waste Management Inc._20171026/CEO/145-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/145.txt
146,"Waste Management Inc._20171026/CEO/146-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/146.txt
147,"Waste Management Inc._20171026/CEO/147-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/147.txt
148,"Waste Management Inc._20171026/CEO/148-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/148.txt
149,"Waste Management Inc._20171026/CEO/149-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/149.txt
150,"Waste Management Inc._20171026/CEO/150-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/150.txt
151,"Waste Management Inc._20171026/CEO/151-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/151.txt
152,"Waste Management Inc._20171026/CEO/152-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/152.txt
153,"Waste Management Inc._20171026/CEO/153-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/153.txt
154,"Waste Management Inc._20171026/CEO/154-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/154.txt
155,"Waste Management Inc._20171026/CEO/155-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/155.txt
156,"Waste Management Inc._20171026/CEO/156-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/156.txt
157,"Waste Management Inc._20171026/CEO/157-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/157.txt
158,"Waste Management Inc._20171026/CEO/158-JamesC.Fish,Jr..mp3",Waste Management Inc._20171026/sent_token/158.txt
