filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,-1,Outlier
003.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
004.txt,-1,Outlier
005.txt,-1,Outlier
006.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
007.txt,-1,Outlier
008.txt,-1,Outlier
009.txt,-1,Outlier
010.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
011.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
012.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
013.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
014.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
015.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
016.txt,-1,Outlier
017.txt,-1,Outlier
018.txt,-1,Outlier
019.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
020.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
021.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
022.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
023.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
024.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
025.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
026.txt,-1,Outlier
027.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
028.txt,-1,Outlier
029.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
030.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
031.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
032.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
033.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
034.txt,-1,Outlier
035.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
036.txt,-1,Outlier
037.txt,-1,Outlier
038.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
039.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
040.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
041.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
042.txt,-1,Outlier
043.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
044.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
045.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
046.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
047.txt,-1,Outlier
048.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
049.txt,-1,Outlier
050.txt,-1,Outlier
051.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
052.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
053.txt,-1,Outlier
054.txt,-1,Outlier
055.txt,-1,Outlier
056.txt,-1,Outlier
057.txt,-1,Outlier
058.txt,-1,Outlier
059.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
060.txt,-1,Outlier
061.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
062.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
063.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
064.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
065.txt,-1,Outlier
066.txt,-1,Outlier
067.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
068.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
069.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
070.txt,-1,Outlier
071.txt,-1,Outlier
072.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
073.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
074.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
075.txt,-1,Outlier
076.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
077.txt,-1,Outlier
078.txt,-1,Outlier
079.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
080.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
081.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
082.txt,-1,Outlier
083.txt,-1,Outlier
084.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
085.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
086.txt,-1,Outlier
087.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
088.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
089.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
090.txt,-1,Outlier
091.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
092.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
093.txt,-1,Outlier
094.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
095.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
096.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
097.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
098.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
099.txt,-1,Outlier
100.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
101.txt,-1,Outlier
102.txt,-1,Outlier
103.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
104.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
105.txt,-1,Outlier
106.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
107.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
108.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
109.txt,-1,Outlier
110.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
111.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
112.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
113.txt,-1,Outlier
114.txt,-1,Outlier
115.txt,-1,Outlier
116.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
117.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
118.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
119.txt,-1,Outlier
120.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
121.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
122.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
123.txt,-1,Outlier
124.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
125.txt,-1,Outlier
126.txt,-1,Outlier
127.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
128.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
129.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
130.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
131.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
132.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
133.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
134.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
135.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
136.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
137.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
138.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
139.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
140.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
141.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
142.txt,-1,Outlier
143.txt,-1,Outlier
144.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
145.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
146.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
147.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
148.txt,-1,Outlier
149.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
150.txt,-1,Outlier
151.txt,-1,Outlier
152.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
153.txt,-1,Outlier
154.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
155.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
156.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
157.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
158.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
159.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
160.txt,-1,Outlier
161.txt,-1,Outlier
162.txt,1,"significant growth, mandibular advancement, clear aligners, unique visitors, new teen, potential patients, key factors, new program, initial update, continued ramp"
163.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
164.txt,-1,Outlier
165.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
166.txt,-1,Outlier
167.txt,-1,Outlier
168.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
169.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
170.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
171.txt,-1,Outlier
172.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
173.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
174.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
175.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
176.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
177.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
178.txt,-1,Outlier
179.txt,3,"specific things, several programs, full arc, current scan, big programs, additional treatment, digital format, , , "
180.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
181.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
182.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
183.txt,-1,Outlier
184.txt,2,"digital system, whole office, right product, outdated analog, right kind, final comments, different offices, big part, digital format, "
185.txt,-1,Outlier
186.txt,0,"best way, whole thing, underlying drivers, simultaneous actions, big way, better yield, , , , "
