filename,topic_id,topic_keywords
001.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
002.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
003.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
004.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
005.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
006.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
007.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
008.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
009.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
010.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
011.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
012.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
013.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
014.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
015.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
016.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
017.txt,-1,Outlier
018.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
019.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
020.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
021.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
022.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
023.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
024.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
025.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
026.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
027.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
028.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
029.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
030.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
031.txt,-1,Outlier
032.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
033.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
034.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
035.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
036.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
037.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
038.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
039.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , "
040.txt,-1,Outlier
041.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
042.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
043.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
044.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
045.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
046.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
047.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
048.txt,0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number"
