filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
003.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
004.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
005.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
006.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
007.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
008.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
009.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
010.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
011.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
012.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
013.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
014.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
015.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
016.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
017.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
018.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
019.txt,-1,Outlier
020.txt,-1,Outlier
021.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
022.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
023.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
024.txt,-1,Outlier
025.txt,-1,Outlier
026.txt,-1,Outlier
027.txt,-1,Outlier
028.txt,-1,Outlier
029.txt,-1,Outlier
030.txt,-1,Outlier
031.txt,-1,Outlier
032.txt,-1,Outlier
033.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital"
034.txt,2,"new customer, steady growth, several months, recent revenue, strong credit, customized products, proprietary customers, new benefits, larger merchant, greater share"
035.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
036.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate"
037.txt,-1,Outlier
