filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
003.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
004.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
005.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
006.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
007.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
008.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
009.txt,-1,Outlier
010.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
011.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
012.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
013.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
014.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
015.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
016.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
017.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
018.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
019.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
020.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
021.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
022.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
023.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
024.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
025.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
026.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
027.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
028.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
029.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
030.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
031.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
032.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
033.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
034.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
035.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
036.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
037.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
038.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
039.txt,-1,Outlier
040.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
041.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
042.txt,-1,Outlier
043.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
044.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
045.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
046.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
047.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
048.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
049.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
050.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
051.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
052.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
053.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
054.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
055.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
056.txt,2,"gross profit, strong euro, foreign exchange, international operations, , , , , , "
057.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
058.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
059.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
060.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
061.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
062.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
063.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
064.txt,-1,Outlier
065.txt,-1,Outlier
066.txt,-1,Outlier
067.txt,-1,Outlier
068.txt,-1,Outlier
069.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
070.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
071.txt,-1,Outlier
072.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
073.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
074.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
075.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
076.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
077.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
078.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
079.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
080.txt,-1,Outlier
081.txt,-1,Outlier
082.txt,-1,Outlier
083.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
084.txt,-1,Outlier
085.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
086.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
087.txt,-1,Outlier
088.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
089.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
090.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
091.txt,-1,Outlier
092.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
093.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
094.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
095.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
096.txt,-1,Outlier
097.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
098.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
099.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
100.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
101.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
102.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
103.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
104.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
105.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
106.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
107.txt,-1,Outlier
108.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
109.txt,-1,Outlier
110.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
111.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
112.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
113.txt,-1,Outlier
114.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
115.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
116.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
117.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
118.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
119.txt,-1,Outlier
120.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
121.txt,-1,Outlier
122.txt,-1,Outlier
123.txt,3,"net income, subsequent quarters, several quarters, recent bond, top end, payment discount, equivalent shares, discrete tax, diluted share, common stock"
124.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
125.txt,-1,Outlier
126.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
127.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
128.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
129.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
130.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
131.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
132.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
133.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
134.txt,-1,Outlier
135.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
136.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
137.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
138.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
139.txt,-1,Outlier
140.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
141.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
142.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
143.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
144.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
145.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
146.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
147.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
148.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
149.txt,1,"gross bookings, gross profit, strong occupancy, related occupancy, seasonal impact, key drivers, negative impact, flexible model, free option, beneficial impact"
150.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
151.txt,-1,Outlier
152.txt,-1,Outlier
153.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
154.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
155.txt,0,"significant change, certain quarters, bottom line, top line, strong growth, macro trends, important tool, new properties, macroeconomic conditions, healthy mix"
