filename,topic_id,topic_keywords
001.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
002.txt,-1,Outlier
003.txt,-1,Outlier
004.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
005.txt,1,"commercial vehicle, new product, largest customers, impending electrification, , , , , , "
006.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
007.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
008.txt,-1,Outlier
009.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
010.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
011.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
012.txt,1,"commercial vehicle, new product, largest customers, impending electrification, , , , , , "
013.txt,-1,Outlier
014.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
015.txt,-1,Outlier
016.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
017.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
018.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
019.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
020.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
021.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
022.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
023.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
024.txt,0,"incremental margins, light vehicle, organic sales, diluted share, comparable basis, incremental margin, higher sales, corporate costs, net cash, organic basis"
