filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
003.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
004.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
005.txt,-1,Outlier
006.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
007.txt,-1,Outlier
008.txt,-1,Outlier
009.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
010.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
011.txt,-1,Outlier
012.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
013.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
014.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
015.txt,-1,Outlier
016.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
017.txt,-1,Outlier
018.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
019.txt,-1,Outlier
020.txt,-1,Outlier
021.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
022.txt,-1,Outlier
023.txt,-1,Outlier
024.txt,-1,Outlier
025.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
026.txt,-1,Outlier
027.txt,-1,Outlier
028.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
029.txt,-1,Outlier
030.txt,-1,Outlier
031.txt,-1,Outlier
032.txt,-1,Outlier
033.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
034.txt,-1,Outlier
035.txt,-1,Outlier
036.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
037.txt,-1,Outlier
038.txt,-1,Outlier
039.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
040.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
041.txt,-1,Outlier
042.txt,-1,Outlier
043.txt,-1,Outlier
044.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
045.txt,-1,Outlier
046.txt,-1,Outlier
047.txt,-1,Outlier
048.txt,-1,Outlier
049.txt,-1,Outlier
050.txt,-1,Outlier
051.txt,-1,Outlier
052.txt,-1,Outlier
053.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
054.txt,-1,Outlier
055.txt,-1,Outlier
056.txt,-1,Outlier
057.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
058.txt,-1,Outlier
059.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
060.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
061.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
062.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
063.txt,-1,Outlier
064.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
065.txt,-1,Outlier
066.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
067.txt,-1,Outlier
068.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
069.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
070.txt,-1,Outlier
071.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
072.txt,-1,Outlier
073.txt,-1,Outlier
074.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
075.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
076.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
077.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
078.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
079.txt,-1,Outlier
080.txt,-1,Outlier
081.txt,-1,Outlier
082.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
083.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
084.txt,-1,Outlier
085.txt,-1,Outlier
086.txt,-1,Outlier
087.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
088.txt,-1,Outlier
089.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
090.txt,-1,Outlier
091.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
092.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
093.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
094.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
095.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
096.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
097.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
098.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
099.txt,-1,Outlier
100.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
101.txt,0,"great capability, excellent integration, digital transformation, , , , , , , "
102.txt,-1,Outlier
103.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
104.txt,-1,Outlier
105.txt,-1,Outlier
106.txt,-1,Outlier
107.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
108.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , "
109.txt,-1,Outlier
110.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
111.txt,-1,Outlier
112.txt,-1,Outlier
113.txt,-1,Outlier
114.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
115.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash"
116.txt,-1,Outlier
117.txt,-1,Outlier
118.txt,-1,Outlier
119.txt,-1,Outlier
120.txt,-1,Outlier
