filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
003.txt,-1,Outlier
004.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
005.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
006.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
007.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
008.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
009.txt,-1,Outlier
010.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
011.txt,-1,Outlier
012.txt,-1,Outlier
013.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
014.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
015.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
016.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
017.txt,-1,Outlier
018.txt,-1,Outlier
019.txt,-1,Outlier
020.txt,-1,Outlier
021.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
022.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
023.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
024.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
025.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
026.txt,-1,Outlier
027.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
028.txt,-1,Outlier
029.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
030.txt,-1,Outlier
031.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
032.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
033.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
034.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
035.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
036.txt,-1,Outlier
037.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
038.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
039.txt,-1,Outlier
040.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
041.txt,-1,Outlier
042.txt,-1,Outlier
043.txt,-1,Outlier
044.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
045.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
046.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
047.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
048.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
049.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
050.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
051.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
052.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
053.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
054.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
055.txt,-1,Outlier
056.txt,-1,Outlier
057.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
058.txt,-1,Outlier
059.txt,-1,Outlier
060.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
061.txt,-1,Outlier
062.txt,-1,Outlier
063.txt,-1,Outlier
064.txt,-1,Outlier
065.txt,-1,Outlier
066.txt,-1,Outlier
067.txt,-1,Outlier
068.txt,-1,Outlier
069.txt,-1,Outlier
070.txt,-1,Outlier
071.txt,-1,Outlier
072.txt,-1,Outlier
073.txt,1,"specific solutions, repeatable industry, advanced analytics, digital scale, digital commerce, traditional phone, right content, right person, right time, new experiences"
074.txt,-1,Outlier
075.txt,-1,Outlier
076.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
077.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
078.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
079.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
080.txt,-1,Outlier
081.txt,-1,Outlier
082.txt,-1,Outlier
083.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
084.txt,-1,Outlier
085.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
086.txt,-1,Outlier
087.txt,-1,Outlier
088.txt,-1,Outlier
089.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
090.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
091.txt,-1,Outlier
092.txt,-1,Outlier
093.txt,-1,Outlier
094.txt,-1,Outlier
095.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
096.txt,-1,Outlier
097.txt,-1,Outlier
098.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
099.txt,-1,Outlier
100.txt,-1,Outlier
101.txt,-1,Outlier
102.txt,0,"entire practice, strong growth, strong demand, service line, regional banks, strong performance, overall performance, larger scale, future growth, large enterprise"
103.txt,-1,Outlier
104.txt,-1,Outlier
105.txt,-1,Outlier
