filename,topic_id,topic_keywords
001.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
002.txt,-1,Outlier
003.txt,-1,Outlier
004.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
005.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
006.txt,-1,Outlier
007.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
008.txt,-1,Outlier
009.txt,-1,Outlier
010.txt,-1,Outlier
011.txt,-1,Outlier
012.txt,-1,Outlier
013.txt,-1,Outlier
014.txt,-1,Outlier
015.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
016.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
017.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
018.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
019.txt,-1,Outlier
020.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
021.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
022.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
023.txt,-1,Outlier
024.txt,-1,Outlier
025.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
026.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
027.txt,-1,Outlier
028.txt,-1,Outlier
029.txt,-1,Outlier
030.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
031.txt,-1,Outlier
032.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
033.txt,-1,Outlier
034.txt,-1,Outlier
035.txt,-1,Outlier
036.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
037.txt,-1,Outlier
038.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
039.txt,-1,Outlier
040.txt,-1,Outlier
041.txt,1,"residential customers, terrific results, total video, strong performance, positive benefits, meaningful strides, lowest levels, key driver, higher customer, healthy customer"
042.txt,-1,Outlier
043.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
044.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
045.txt,-1,Outlier
046.txt,-1,Outlier
047.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
048.txt,0,"higher programming, theatrical revenue, successful renewals, strong revenue, real discipline, strong performances, programming operating, positive contribution, financial performance, continued success"
