filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,-1,Outlier
003.txt,-1,Outlier
004.txt,-1,Outlier
005.txt,-1,Outlier
006.txt,-1,Outlier
007.txt,-1,Outlier
008.txt,-1,Outlier
009.txt,-1,Outlier
010.txt,-1,Outlier
011.txt,-1,Outlier
012.txt,-1,Outlier
013.txt,-1,Outlier
014.txt,-1,Outlier
015.txt,-1,Outlier
016.txt,-1,Outlier
017.txt,-1,Outlier
018.txt,-1,Outlier
019.txt,-1,Outlier
020.txt,-1,Outlier
021.txt,-1,Outlier
022.txt,-1,Outlier
023.txt,-1,Outlier
024.txt,-1,Outlier
025.txt,-1,Outlier
026.txt,-1,Outlier
027.txt,-1,Outlier
028.txt,-1,Outlier
029.txt,-1,Outlier
030.txt,-1,Outlier
031.txt,-1,Outlier
032.txt,-1,Outlier
033.txt,-1,Outlier
034.txt,-1,Outlier
035.txt,-1,Outlier
036.txt,-1,Outlier
