filename,topic_id,topic_keywords
001.txt,0,"adjusted tax, net sales, total company, free cash, strong margin, right zone, significant gap, significant progress, quarterly core, key brands"
002.txt,0,"adjusted tax, net sales, total company, free cash, strong margin, right zone, significant gap, significant progress, quarterly core, key brands"
003.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
004.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
005.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
006.txt,0,"adjusted tax, net sales, total company, free cash, strong margin, right zone, significant gap, significant progress, quarterly core, key brands"
007.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
008.txt,0,"adjusted tax, net sales, total company, free cash, strong margin, right zone, significant gap, significant progress, quarterly core, key brands"
009.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
010.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
011.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
012.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
013.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
014.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
015.txt,0,"adjusted tax, net sales, total company, free cash, strong margin, right zone, significant gap, significant progress, quarterly core, key brands"
016.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
017.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
018.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
019.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
020.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
021.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
022.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
023.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
024.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
025.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
026.txt,0,"adjusted tax, net sales, total company, free cash, strong margin, right zone, significant gap, significant progress, quarterly core, key brands"
027.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
028.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
029.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
030.txt,-1,Outlier
031.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
032.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
033.txt,1,"total segment, diluted earnings, diluted shares, net sales, recent innovation, net reduction, lower input, lower sales, continued momentum, certain items"
034.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
035.txt,-1,Outlier
036.txt,2,"net sales, retail segment, organic sales, measured channels, frozen dough, hot snacks, double digit, net price, extra month, fiscal calendar"
