filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
003.txt,-1,Outlier
004.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
005.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
006.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
007.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
008.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
009.txt,-1,Outlier
010.txt,-1,Outlier
011.txt,-1,Outlier
012.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
013.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
014.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
015.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
016.txt,-1,Outlier
017.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
018.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
019.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
020.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
021.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
022.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
023.txt,-1,Outlier
024.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
025.txt,-1,Outlier
026.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
027.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
028.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
029.txt,-1,Outlier
030.txt,-1,Outlier
031.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
032.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
033.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
034.txt,-1,Outlier
035.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
036.txt,-1,Outlier
037.txt,-1,Outlier
038.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
039.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
040.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
041.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
042.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
043.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
044.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
045.txt,-1,Outlier
046.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
047.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
048.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
049.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
050.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
051.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
052.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
053.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
054.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
055.txt,-1,Outlier
056.txt,-1,Outlier
057.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
058.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
059.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
060.txt,-1,Outlier
061.txt,-1,Outlier
062.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
063.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
064.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
065.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
066.txt,-1,Outlier
067.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
068.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
069.txt,-1,Outlier
070.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
071.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
072.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
073.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
074.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
075.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
076.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
077.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
078.txt,1,"autonomous vehicles, electric vehicles, personal mobility, final validation, electric vehicle, autonomous vehicle, transformative technologies, mass production, next winter, right investments"
079.txt,-1,Outlier
080.txt,-1,Outlier
081.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
082.txt,-1,Outlier
083.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
084.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
085.txt,-1,Outlier
086.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
087.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
088.txt,-1,Outlier
089.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
090.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry"
