filename,topic_id,topic_keywords
001.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
002.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
003.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
004.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
005.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
006.txt,-1,Outlier
007.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
008.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
009.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
010.txt,-1,Outlier
011.txt,-1,Outlier
012.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
013.txt,-1,Outlier
014.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
015.txt,-1,Outlier
016.txt,-1,Outlier
017.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
018.txt,-1,Outlier
019.txt,-1,Outlier
020.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
021.txt,-1,Outlier
022.txt,-1,Outlier
023.txt,-1,Outlier
024.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
025.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
026.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
027.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
028.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
029.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
030.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
031.txt,-1,Outlier
032.txt,-1,Outlier
033.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
034.txt,-1,Outlier
035.txt,-1,Outlier
036.txt,-1,Outlier
037.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
038.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
039.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
040.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
041.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
042.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
043.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
044.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
045.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
046.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
047.txt,-1,Outlier
048.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
049.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
050.txt,-1,Outlier
051.txt,-1,Outlier
052.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
053.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
054.txt,-1,Outlier
055.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
056.txt,-1,Outlier
057.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
058.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
059.txt,-1,Outlier
060.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
061.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
062.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
063.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
064.txt,-1,Outlier
065.txt,-1,Outlier
066.txt,-1,Outlier
067.txt,-1,Outlier
068.txt,-1,Outlier
069.txt,-1,Outlier
070.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
071.txt,-1,Outlier
072.txt,-1,Outlier
073.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
