filename,topic_id,topic_keywords
001.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
002.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
003.txt,-1,Outlier
004.txt,-1,Outlier
005.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
006.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
007.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
008.txt,-1,Outlier
009.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
010.txt,-1,Outlier
011.txt,-1,Outlier
012.txt,-1,Outlier
013.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
014.txt,-1,Outlier
015.txt,-1,Outlier
016.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
017.txt,-1,Outlier
018.txt,1,"strong performance, total revenue, small increase, significant component, real renaissance, net revenue, graphic supplies, multiple dimensions, long time, key competitors"
019.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
020.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
021.txt,2,"visual hacking, regulatory approval, electronic privacy, commercial notebooks, customary closing, best innovation, profitable share, , , "
022.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
023.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
024.txt,-1,Outlier
025.txt,-1,Outlier
026.txt,-1,Outlier
027.txt,1,"strong performance, total revenue, small increase, significant component, real renaissance, net revenue, graphic supplies, multiple dimensions, long time, key competitors"
028.txt,-1,Outlier
029.txt,1,"strong performance, total revenue, small increase, significant component, real renaissance, net revenue, graphic supplies, multiple dimensions, long time, key competitors"
030.txt,1,"strong performance, total revenue, small increase, significant component, real renaissance, net revenue, graphic supplies, multiple dimensions, long time, key competitors"
031.txt,1,"strong performance, total revenue, small increase, significant component, real renaissance, net revenue, graphic supplies, multiple dimensions, long time, key competitors"
032.txt,0,"strategic progress, solid progress, segmenting market, overall cost, great example, favorable impact, entire ecosystem, best view, disruptive innovation, amazing results"
033.txt,1,"strong performance, total revenue, small increase, significant component, real renaissance, net revenue, graphic supplies, multiple dimensions, long time, key competitors"
