filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,2,"early production, important role, general guidance, current strip, big transition, free cash, , , , "
003.txt,-1,Outlier
004.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
005.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
006.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
007.txt,-1,Outlier
008.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
009.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
010.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
011.txt,-1,Outlier
012.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
013.txt,-1,Outlier
014.txt,2,"early production, important role, general guidance, current strip, big transition, free cash, , , , "
015.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
016.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
017.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
018.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
019.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
020.txt,-1,Outlier
021.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
022.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
023.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
024.txt,-1,Outlier
025.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
026.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
027.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
028.txt,-1,Outlier
029.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
030.txt,-1,Outlier
031.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
032.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
033.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
034.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
035.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
036.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
037.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
038.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
039.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
040.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
041.txt,3,"net production, ultimate recovery, top end, outstanding results, negative impact, previous estimate, , , , "
042.txt,-1,Outlier
043.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
044.txt,-1,Outlier
045.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
046.txt,0,"drill expectations, significant well, higher proppant, new well, technical limit, wider injection, well results, original well, total number, technical limits"
047.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
048.txt,-1,Outlier
049.txt,-1,Outlier
050.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
051.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
052.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
053.txt,1,"net production, cubic feet, significant cash, central processing, high number, full field, future phases, extreme winter, heavy lift, new well"
054.txt,-1,Outlier
