filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,-1,Outlier
003.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
004.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
005.txt,-1,Outlier
006.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
007.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
008.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
009.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
010.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
011.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
012.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
013.txt,-1,Outlier
014.txt,-1,Outlier
015.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
016.txt,-1,Outlier
017.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
018.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
019.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
020.txt,-1,Outlier
021.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
022.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
023.txt,-1,Outlier
024.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
025.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
026.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
027.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
028.txt,-1,Outlier
029.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
030.txt,-1,Outlier
031.txt,-1,Outlier
032.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
033.txt,-1,Outlier
034.txt,-1,Outlier
035.txt,-1,Outlier
036.txt,1,"enhanced productivity, , , , , , , , , "
037.txt,3,"usual cost, tax target, tax guidance, tax earnings, previous guidance, previous expectation, consolidated operating, open enrollment, tax income, financial performance"
038.txt,1,"enhanced productivity, , , , , , , , , "
039.txt,-1,Outlier
040.txt,-1,Outlier
041.txt,-1,Outlier
042.txt,1,"enhanced productivity, , , , , , , , , "
043.txt,-1,Outlier
044.txt,-1,Outlier
045.txt,-1,Outlier
046.txt,-1,Outlier
047.txt,-1,Outlier
048.txt,-1,Outlier
049.txt,-1,Outlier
050.txt,-1,Outlier
051.txt,1,"enhanced productivity, , , , , , , , , "
052.txt,1,"enhanced productivity, , , , , , , , , "
053.txt,1,"enhanced productivity, , , , , , , , , "
054.txt,1,"enhanced productivity, , , , , , , , , "
055.txt,-1,Outlier
056.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
057.txt,-1,Outlier
058.txt,4,", , , , , , , , , "
059.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
060.txt,1,"enhanced productivity, , , , , , , , , "
061.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
062.txt,1,"enhanced productivity, , , , , , , , , "
063.txt,1,"enhanced productivity, , , , , , , , , "
064.txt,-1,Outlier
065.txt,1,"enhanced productivity, , , , , , , , , "
066.txt,-1,Outlier
067.txt,-1,Outlier
068.txt,-1,Outlier
069.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
070.txt,-1,Outlier
071.txt,4,", , , , , , , , , "
072.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
073.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
074.txt,1,"enhanced productivity, , , , , , , , , "
075.txt,1,"enhanced productivity, , , , , , , , , "
076.txt,-1,Outlier
077.txt,-1,Outlier
078.txt,-1,Outlier
079.txt,-1,Outlier
080.txt,-1,Outlier
081.txt,-1,Outlier
082.txt,-1,Outlier
083.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
084.txt,-1,Outlier
085.txt,4,", , , , , , , , , "
086.txt,-1,Outlier
087.txt,-1,Outlier
088.txt,4,", , , , , , , , , "
089.txt,1,"enhanced productivity, , , , , , , , , "
090.txt,4,", , , , , , , , , "
091.txt,4,", , , , , , , , , "
092.txt,4,", , , , , , , , , "
093.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
094.txt,-1,Outlier
095.txt,1,"enhanced productivity, , , , , , , , , "
096.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
097.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
098.txt,-1,Outlier
099.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
100.txt,1,"enhanced productivity, , , , , , , , , "
101.txt,-1,Outlier
102.txt,-1,Outlier
103.txt,1,"enhanced productivity, , , , , , , , , "
104.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
105.txt,4,", , , , , , , , , "
106.txt,-1,Outlier
107.txt,4,", , , , , , , , , "
108.txt,-1,Outlier
109.txt,-1,Outlier
110.txt,-1,Outlier
111.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
112.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
113.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
114.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
115.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
116.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
117.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
118.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
119.txt,-1,Outlier
120.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
121.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
122.txt,-1,Outlier
123.txt,4,", , , , , , , , , "
124.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
125.txt,-1,Outlier
126.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
127.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
128.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
129.txt,-1,Outlier
130.txt,-1,Outlier
131.txt,-1,Outlier
132.txt,-1,Outlier
133.txt,-1,Outlier
134.txt,-1,Outlier
135.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
136.txt,-1,Outlier
137.txt,-1,Outlier
138.txt,-1,Outlier
139.txt,-1,Outlier
140.txt,-1,Outlier
141.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
142.txt,-1,Outlier
143.txt,2,"prior period, successful plan, medical claims, medical cost, medical utilization, faster pace, incremental dollars, higher compensation, meaningful portion, lower mail"
144.txt,-1,Outlier
145.txt,-1,Outlier
146.txt,-1,Outlier
147.txt,-1,Outlier
148.txt,-1,Outlier
149.txt,-1,Outlier
150.txt,-1,Outlier
151.txt,0,"national basis, right level, clinical health, good results, good benefits, fair way, best decision, charitable contribution, appropriate thing, right time"
152.txt,-1,Outlier
153.txt,-1,Outlier
154.txt,4,", , , , , , , , , "
155.txt,-1,Outlier
156.txt,-1,Outlier
157.txt,1,"enhanced productivity, , , , , , , , , "
158.txt,-1,Outlier
159.txt,-1,Outlier
160.txt,-1,Outlier
161.txt,1,"enhanced productivity, , , , , , , , , "
162.txt,1,"enhanced productivity, , , , , , , , , "
