filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
003.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
004.txt,1,"net product, net adjustment, net sales, , , , , , , "
005.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
006.txt,1,"net product, net adjustment, net sales, , , , , , , "
007.txt,1,"net product, net adjustment, net sales, , , , , , , "
008.txt,-1,Outlier
009.txt,1,"net product, net adjustment, net sales, , , , , , , "
010.txt,1,"net product, net adjustment, net sales, , , , , , , "
011.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
012.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
013.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
014.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
015.txt,1,"net product, net adjustment, net sales, , , , , , , "
016.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
017.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
018.txt,1,"net product, net adjustment, net sales, , , , , , , "
019.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
020.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
021.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
022.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
023.txt,1,"net product, net adjustment, net sales, , , , , , , "
024.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
025.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
026.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
027.txt,1,"net product, net adjustment, net sales, , , , , , , "
028.txt,-1,Outlier
029.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
030.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
031.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
032.txt,1,"net product, net adjustment, net sales, , , , , , , "
033.txt,1,"net product, net adjustment, net sales, , , , , , , "
034.txt,1,"net product, net adjustment, net sales, , , , , , , "
035.txt,-1,Outlier
036.txt,1,"net product, net adjustment, net sales, , , , , , , "
037.txt,1,"net product, net adjustment, net sales, , , , , , , "
038.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
039.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
040.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
041.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
042.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
043.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
044.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
045.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
046.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
047.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
048.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product"
