filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
003.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
004.txt,-1,Outlier
005.txt,-1,Outlier
006.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
007.txt,-1,Outlier
008.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
009.txt,-1,Outlier
010.txt,-1,Outlier
011.txt,-1,Outlier
012.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
013.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
014.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
015.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
016.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
017.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
018.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
019.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
020.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
021.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
022.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
023.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
024.txt,-1,Outlier
025.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
026.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
027.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
028.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
029.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
030.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity"
031.txt,-1,Outlier
032.txt,1,"net revenue, incremental margin, positive trend, strong capabilities, ongoing theme, overall story, net flow, key points, incremental margins, institutional side"
033.txt,-1,Outlier
034.txt,-1,Outlier
