filename,topic_id,topic_keywords
001.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
002.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
003.txt,-1,Outlier
004.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
005.txt,-1,Outlier
006.txt,-1,Outlier
007.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
008.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
009.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
010.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
011.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
012.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
013.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
014.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
015.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
016.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
017.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
018.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
019.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
020.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
021.txt,-1,Outlier
022.txt,-1,Outlier
023.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
024.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
025.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
026.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
027.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
028.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
029.txt,-1,Outlier
030.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
031.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
032.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
033.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
034.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
035.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
036.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
037.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
038.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
039.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
040.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
041.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
042.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
043.txt,-1,Outlier
044.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
045.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
046.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
047.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
048.txt,-1,Outlier
049.txt,-1,Outlier
050.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
051.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
052.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
053.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
054.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
055.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
056.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
057.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
058.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
059.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
060.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
061.txt,-1,Outlier
062.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
063.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
064.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
065.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
066.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
067.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
068.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
069.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
070.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
071.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
072.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
073.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
074.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
075.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
076.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
077.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
078.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
079.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
080.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
081.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
082.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
083.txt,-1,Outlier
084.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
085.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
086.txt,-1,Outlier
087.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
088.txt,-1,Outlier
089.txt,-1,Outlier
090.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
091.txt,-1,Outlier
092.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
093.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
094.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
095.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
096.txt,-1,Outlier
097.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
098.txt,0,"convertible notes, total system, record shipment, dilutive impact, foundry segment, average price, certain tax, accelerated share, gross margin, "
099.txt,-1,Outlier
100.txt,1,"strong revenue, solid cash, right time, right products, right place, quarterly earnings, healthy cash, encouraged today, , "
