filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
003.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
004.txt,-1,Outlier
005.txt,-1,Outlier
006.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
007.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
008.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
009.txt,4,"real drivers, easier compares, , , , , , , , "
010.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
011.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
012.txt,-1,Outlier
013.txt,-1,Outlier
014.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
015.txt,-1,Outlier
016.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
017.txt,-1,Outlier
018.txt,-1,Outlier
019.txt,-1,Outlier
020.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
021.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
022.txt,-1,Outlier
023.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
024.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
025.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
026.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
027.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
028.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
029.txt,0,"good progress, multiple quarters, incremental capacity, full portfolio, financial results, , , , , "
030.txt,-1,Outlier
031.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
032.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
033.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
034.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
035.txt,4,"real drivers, easier compares, , , , , , , , "
036.txt,-1,Outlier
037.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
038.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
039.txt,-1,Outlier
040.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
041.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
042.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
043.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
044.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
045.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
046.txt,-1,Outlier
047.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
048.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
049.txt,-1,Outlier
050.txt,-1,Outlier
051.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
052.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
053.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
054.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
055.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
056.txt,5,"gross margins, gross margin, overhead management, unfavorable mix, overhead costs, key enabler, higher input, key element, better pricing, net productivity"
057.txt,2,"net revenue, negative impact, unprecedented malware, annual basis, , , , , , "
058.txt,1,"white space, stronger peak, solid vol, solid share, solid performance, solid operating, solid growth, new product, healthy velocity, difficult price"
059.txt,3,"solid results, strong results, solid trends, soft category, small decline, significant change, overall category, economic weakness, economic conditions, "
