filename,topic_id,topic_keywords
001.txt,2,", , , , , , , , , "
002.txt,2,", , , , , , , , , "
003.txt,2,", , , , , , , , , "
004.txt,2,", , , , , , , , , "
005.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
006.txt,-1,Outlier
007.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
008.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
009.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
010.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
011.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
012.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
013.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
014.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
015.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
016.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
017.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
018.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
019.txt,-1,Outlier
020.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
021.txt,-1,Outlier
022.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
023.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
024.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
025.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
026.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
027.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
028.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
029.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
030.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
031.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
032.txt,-1,Outlier
033.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
034.txt,-1,Outlier
035.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
036.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
037.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
038.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
039.txt,-1,Outlier
040.txt,-1,Outlier
041.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
042.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
043.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
044.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
045.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
046.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
047.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
048.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
049.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
050.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
051.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
052.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
053.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
054.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
055.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
056.txt,-1,Outlier
057.txt,2,", , , , , , , , , "
058.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
059.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
060.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
061.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
062.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
063.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
064.txt,2,", , , , , , , , , "
065.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
066.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
067.txt,2,", , , , , , , , , "
068.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
069.txt,2,", , , , , , , , , "
070.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
071.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
072.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
073.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
074.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
075.txt,2,", , , , , , , , , "
076.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
077.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
078.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
079.txt,2,", , , , , , , , , "
080.txt,2,", , , , , , , , , "
081.txt,2,", , , , , , , , , "
082.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
083.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
084.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
085.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
086.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
087.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
088.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
089.txt,2,", , , , , , , , , "
090.txt,2,", , , , , , , , , "
091.txt,2,", , , , , , , , , "
092.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
093.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
094.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
095.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
096.txt,2,", , , , , , , , , "
097.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
098.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
099.txt,-1,Outlier
100.txt,1,"autonomous database, unlimited agreements, additional licenses, upfront licenses, unlimited amount, unlimited license, strong increase, new licenses, , "
101.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
102.txt,-1,Outlier
103.txt,2,", , , , , , , , , "
104.txt,-1,Outlier
105.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
106.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
107.txt,-1,Outlier
108.txt,2,", , , , , , , , , "
109.txt,2,", , , , , , , , , "
110.txt,2,", , , , , , , , , "
111.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
112.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
113.txt,2,", , , , , , , , , "
114.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
115.txt,2,", , , , , , , , , "
116.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
117.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
118.txt,0,"total revenues, gross margin, total revenue, total cloud, high end, stable software, high growth, higher tax, quarterly dividend, new revenue"
