filename,topic_id,topic_keywords
001.txt,1,", , , , , , , , , "
002.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
003.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
004.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
005.txt,-1,Outlier
006.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
007.txt,-1,Outlier
008.txt,-1,Outlier
009.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
010.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
011.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
012.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
013.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
014.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
015.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
016.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
017.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
018.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
019.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
020.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
021.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
022.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
023.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
024.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
025.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
026.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
027.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
028.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
029.txt,-1,Outlier
030.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
031.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
032.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
033.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
034.txt,0,"top line, adjusted core, material inflation, high end, normal seasonality, industrial side, stronger balance, strong margin, ongoing softness, muted spending"
