filename,topic_id,topic_keywords
001.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
002.txt,-1,Outlier
003.txt,-1,Outlier
004.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
005.txt,-1,Outlier
006.txt,2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , "
007.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
008.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
009.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
010.txt,-1,Outlier
011.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
012.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
013.txt,-1,Outlier
014.txt,-1,Outlier
015.txt,-1,Outlier
016.txt,-1,Outlier
017.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
018.txt,-1,Outlier
019.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
020.txt,-1,Outlier
021.txt,2,"significant progress, new standards, known security, key acquisitions, initial entry, , , , , "
022.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
023.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
024.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
025.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
026.txt,-1,Outlier
027.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
028.txt,-1,Outlier
029.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
030.txt,0,"financial sector, advanced nodes, rapid reaction, strong competition, rapid pace, positive words, global economy, strong balance, fractured companies, different levels"
031.txt,-1,Outlier
032.txt,-1,Outlier
033.txt,-1,Outlier
034.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
035.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
036.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
037.txt,-1,Outlier
038.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
039.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
040.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
041.txt,-1,Outlier
042.txt,-1,Outlier
043.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
044.txt,-1,Outlier
045.txt,-1,Outlier
046.txt,1,"specific processors, many people, advanced chips, complex software, high interest, right mind, many processes, many companies, overall verification, regularly semiconductor"
047.txt,-1,Outlier
