filename,topic_id,topic_keywords
001.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
002.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
003.txt,-1,Outlier
004.txt,-1,Outlier
005.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
006.txt,-1,Outlier
007.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
008.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
009.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
010.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
011.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
012.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
013.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
014.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
015.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
016.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
017.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
018.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
019.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
020.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
021.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
022.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
023.txt,-1,Outlier
024.txt,-1,Outlier
025.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
026.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
027.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
028.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
029.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
030.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
031.txt,-1,Outlier
032.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
033.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
034.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
035.txt,-1,Outlier
036.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
037.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
038.txt,0,"free cash, discrete tax, recent comparison, higher tax, original guidance, higher number, average rate, , , "
039.txt,-1,Outlier
040.txt,-1,Outlier
041.txt,-1,Outlier
042.txt,-1,Outlier
043.txt,-1,Outlier
044.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
045.txt,-1,Outlier
046.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
047.txt,1,"free cash, long term, sustainable growth, focused investment, competitive advantages, competitive advantage, , , , "
