filename,topic_id,topic_keywords
001.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
002.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
003.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
004.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
005.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
006.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
007.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
008.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
009.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
010.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
011.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
012.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
013.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
014.txt,-1,Outlier
015.txt,-1,Outlier
016.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
017.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
018.txt,-1,Outlier
019.txt,-1,Outlier
020.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
021.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
022.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
023.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
024.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
025.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
026.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
027.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
028.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
029.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
030.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
031.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
032.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
033.txt,-1,Outlier
034.txt,-1,Outlier
035.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
036.txt,-1,Outlier
037.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
038.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
039.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
040.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
041.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
042.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
043.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
044.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
045.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
046.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer"
047.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
048.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
049.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations"
