filename,topic_id,topic_keywords
001.txt,6,", , , , , , , , , "
002.txt,-1,Outlier
003.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
004.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
005.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
006.txt,0,"private side, private market, local highway, big margin, additional state, big increase, large projects, public side, , "
007.txt,-1,Outlier
008.txt,-1,Outlier
009.txt,-1,Outlier
010.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
011.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
012.txt,-1,Outlier
013.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
014.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
015.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
016.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
017.txt,0,"private side, private market, local highway, big margin, additional state, big increase, large projects, public side, , "
018.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
019.txt,4,"strong sign, good market, fundamental demand, , , , , , , "
020.txt,-1,Outlier
021.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
022.txt,-1,Outlier
023.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
024.txt,0,"private side, private market, local highway, big margin, additional state, big increase, large projects, public side, , "
025.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
026.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
027.txt,-1,Outlier
028.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
029.txt,-1,Outlier
030.txt,4,"strong sign, good market, fundamental demand, , , , , , , "
031.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
032.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
033.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
034.txt,-1,Outlier
035.txt,-1,Outlier
036.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
037.txt,4,"strong sign, good market, fundamental demand, , , , , , , "
038.txt,-1,Outlier
039.txt,0,"private side, private market, local highway, big margin, additional state, big increase, large projects, public side, , "
040.txt,-1,Outlier
041.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
042.txt,-1,Outlier
043.txt,-1,Outlier
044.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
045.txt,6,", , , , , , , , , "
046.txt,-1,Outlier
047.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
048.txt,-1,Outlier
049.txt,4,"strong sign, good market, fundamental demand, , , , , , , "
050.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
051.txt,-1,Outlier
052.txt,4,"strong sign, good market, fundamental demand, , , , , , , "
053.txt,5,"aggregate shipments, specific circumstances, rough weather, reportable accidents, normalized basis, geographic mix, , , , "
054.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
055.txt,-1,Outlier
056.txt,-1,Outlier
057.txt,-1,Outlier
058.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
059.txt,2,"large projects, massive projects, complex designs, dry days, better mix, major supplier, , , , "
060.txt,-1,Outlier
061.txt,6,", , , , , , , , , "
062.txt,-1,Outlier
063.txt,0,"private side, private market, local highway, big margin, additional state, big increase, large projects, public side, , "
064.txt,-1,Outlier
065.txt,-1,Outlier
066.txt,-1,Outlier
067.txt,3,"public transportation, public construction, big highway, real issue, private construction, flip side, new state, positive territory, construction pipeline, big differences"
068.txt,4,"strong sign, good market, fundamental demand, , , , , , , "
069.txt,1,"long term, solid market, premier position, bigger backlogs, better backlogs, great job, , , , "
070.txt,1,"long term, solid market, premier position, bigger backlogs, better backlogs, great job, , , , "
071.txt,1,"long term, solid market, premier position, bigger backlogs, better backlogs, great job, , , , "
072.txt,1,"long term, solid market, premier position, bigger backlogs, better backlogs, great job, , , , "
073.txt,-1,Outlier
074.txt,-1,Outlier
075.txt,-1,Outlier
076.txt,1,"long term, solid market, premier position, bigger backlogs, better backlogs, great job, , , , "
077.txt,1,"long term, solid market, premier position, bigger backlogs, better backlogs, great job, , , , "
