filename,topic_id,topic_keywords
001.txt,1,", , , , , , , , , "
002.txt,1,", , , , , , , , , "
003.txt,1,", , , , , , , , , "
004.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
005.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
006.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
007.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
008.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
009.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
010.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
011.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
012.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
013.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
014.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
015.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
016.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
017.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
018.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
019.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
020.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
021.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box"
