filename,topic_id,topic_keywords
001.txt,-1,Outlier
002.txt,-1,Outlier
003.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
004.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
005.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
006.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
007.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
008.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
009.txt,-1,Outlier
010.txt,-1,Outlier
011.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
012.txt,-1,Outlier
013.txt,-1,Outlier
014.txt,-1,Outlier
015.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
016.txt,-1,Outlier
017.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
018.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
019.txt,-1,Outlier
020.txt,-1,Outlier
021.txt,-1,Outlier
022.txt,-1,Outlier
023.txt,-1,Outlier
024.txt,-1,Outlier
025.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
026.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
027.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
028.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
029.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
030.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
031.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
032.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
033.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
034.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
035.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
036.txt,-1,Outlier
037.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
038.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
039.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
040.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
041.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
042.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
043.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
044.txt,-1,Outlier
045.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
046.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
047.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
048.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
049.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
050.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
051.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
052.txt,-1,Outlier
053.txt,-1,Outlier
054.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
055.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
056.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
057.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
058.txt,-1,Outlier
059.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
060.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
061.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
062.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
063.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
064.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
065.txt,-1,Outlier
066.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
067.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
068.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
069.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
070.txt,-1,Outlier
071.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
072.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
073.txt,-1,Outlier
074.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
075.txt,-1,Outlier
076.txt,-1,Outlier
077.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
078.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
079.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
080.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
081.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
082.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
083.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
084.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
085.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
086.txt,-1,Outlier
087.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
088.txt,-1,Outlier
089.txt,-1,Outlier
090.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
091.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
092.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
093.txt,-1,Outlier
094.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
095.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
096.txt,-1,Outlier
097.txt,-1,Outlier
098.txt,-1,Outlier
099.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
100.txt,-1,Outlier
101.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
102.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
103.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
104.txt,-1,Outlier
105.txt,-1,Outlier
106.txt,-1,Outlier
107.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
108.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
109.txt,-1,Outlier
110.txt,-1,Outlier
111.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
112.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
113.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
114.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
115.txt,-1,Outlier
116.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
117.txt,-1,Outlier
118.txt,-1,Outlier
119.txt,-1,Outlier
120.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
121.txt,-1,Outlier
122.txt,-1,Outlier
123.txt,-1,Outlier
124.txt,-1,Outlier
125.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
126.txt,-1,Outlier
127.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
128.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
129.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
130.txt,-1,Outlier
131.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
132.txt,-1,Outlier
133.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
134.txt,-1,Outlier
135.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings"
136.txt,-1,Outlier
137.txt,-1,Outlier
138.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
139.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
140.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
141.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
142.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
143.txt,-1,Outlier
144.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
145.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup"
146.txt,-1,Outlier
147.txt,-1,Outlier
148.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
149.txt,-1,Outlier
150.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend"
151.txt,2,"important element, gross savings, free cash, lower equipment, , , , , , "
