filename,topic_id,topic_keywords
001.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
002.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
003.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
004.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
005.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
006.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
007.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
008.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
009.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
010.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
011.txt,-1,Outlier
012.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
013.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
014.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
015.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
016.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
017.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
018.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
019.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
020.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
021.txt,-1,Outlier
022.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
023.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
024.txt,-1,Outlier
025.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
026.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
027.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
028.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
029.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
030.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
031.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
032.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
033.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
034.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
035.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
036.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
037.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
038.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
039.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
040.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
041.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
042.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
043.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
044.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
045.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
046.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
047.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
048.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
049.txt,0,"key growth, new units, small box, relevant brands, new unit, national advertising, unrivaled culture, digital delivery, international markets, several items"
050.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
051.txt,1,"better pizza, successful rollout, unmatched franchise, online guests, national pizza, key countries, repeatable model, hot pizza, easy components, centric alignment"
