filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0083,-0.0035,1.9136,4.445,0.9527,2.2207
002.wav,-0.1064,-0.0456,1.2522,3.9951,0.5729,1.9747
003.wav,-0.3499,-0.15,0.9715,3.8117,0.3108,1.8308
004.wav,-0.1706,-0.0731,0.174,3.2707,0.0017,1.5988
005.wav,-0.3258,-0.1396,0.9318,3.7709,0.303,1.8156
006.wav,-0.2227,-0.0954,0.2779,3.4249,0.0276,1.6647
007.wav,-0.1544,-0.0662,1.1369,3.9238,0.4913,1.9288
008.wav,-0.0236,-0.0101,0.252,3.3605,0.1142,1.6752
009.wav,-0.1231,-0.0528,0.453,3.4252,0.165,1.6862
010.wav,-0.2041,-0.0875,1.0414,3.7296,0.4187,1.8211
011.wav,-0.3088,-0.1323,0.1761,3.3127,-0.0663,1.5902
012.wav,-0.328,-0.1406,0.4297,3.4581,0.0509,1.6587
013.wav,-0.2195,-0.0941,0.972,3.7639,0.3762,1.8349
014.wav,-0.2193,-0.094,1.4121,3.9644,0.5964,1.9352
015.wav,-0.2867,-0.1229,0.4288,3.4733,0.0711,1.6752
016.wav,-0.1809,-0.0775,0.322,3.2466,0.0705,1.5845
017.wav,-0.1546,-0.0663,0.4472,3.4717,0.1463,1.7027
018.wav,-0.13,-0.0557,0.1677,3.3243,0.0189,1.6343
019.wav,-0.3231,-0.1385,0.8245,3.6593,0.2507,1.7604
020.wav,-0.2962,-0.1269,0.3304,3.3428,0.0171,1.6079
021.wav,-0.122,-0.0523,0.2657,3.3398,0.0719,1.6437
022.wav,-0.0691,-0.0296,0.6635,3.6172,0.2972,1.7938
023.wav,-0.3717,-0.1593,0.3975,3.4269,0.0129,1.6338
024.wav,-0.5165,-0.2214,0.2523,3.3466,-0.1321,1.5626
025.wav,-0.3207,-0.1375,0.7435,3.664,0.2114,1.7633
026.wav,-0.1658,-0.0711,0.6955,3.6288,0.2648,1.7788
027.wav,-0.364,-0.156,1.0443,3.8326,0.3402,1.8383
028.wav,-0.1607,-0.0689,0.2481,3.3467,0.0437,1.6389
029.wav,-0.2046,-0.0877,0.218,3.3148,0.0067,1.6136
030.wav,-0.3087,-0.1323,1.0142,3.7941,0.3528,1.8309
031.wav,-0.3017,-0.1293,0.3038,3.3459,0.001,1.6083
032.wav,-0.1494,-0.064,0.7736,3.6733,0.3121,1.8046
033.wav,-0.3934,-0.1686,0.9482,3.7876,0.2774,1.8095
034.wav,-0.3661,-0.1569,0.654,3.6007,0.1439,1.7219
035.wav,-0.2087,-0.0894,0.6063,3.5632,0.1988,1.7369
036.wav,-0.2474,-0.106,0.6742,3.6148,0.2134,1.7544
037.wav,-0.2698,-0.1156,0.3512,3.4633,0.0407,1.6739
038.wav,-0.2949,-0.1264,0.2437,3.3518,-0.0256,1.6127
039.wav,-0.2136,-0.0915,0.2837,3.3628,0.0351,1.6356
040.wav,-0.2716,-0.1164,0.9041,3.7603,0.3162,1.8219
041.wav,-0.3177,-0.1362,0.2594,3.341,-0.0291,1.6024
042.wav,-0.2416,-0.1036,0.8236,3.6629,0.291,1.7797
043.wav,-0.3288,-0.1409,1.3197,4.0185,0.4954,1.9388
044.wav,-0.2323,-0.0995,0.7782,3.6571,0.273,1.7788
045.wav,-0.372,-0.1594,0.3981,3.4491,0.0131,1.6448
046.wav,-0.4238,-0.1816,1.0177,3.8387,0.2969,1.8285
047.wav,-0.5841,-0.2503,0.3602,3.4094,-0.1119,1.5796
048.wav,-0.1788,-0.0766,0.5162,3.5296,0.1687,1.7265
049.wav,-0.3005,-0.1288,1.0402,3.8196,0.3698,1.8454
050.wav,-0.3253,-0.1394,0.3074,3.3908,-0.009,1.6257
051.wav,-0.47,-0.2014,1.0004,3.8034,0.2652,1.801
052.wav,-0.4183,-0.1793,-0.0162,3.1521,-0.2172,1.4864
053.wav,-0.3376,-0.1447,0.2649,3.365,-0.0363,1.6101
054.wav,-0.4032,-0.1728,0.5757,3.5463,0.0863,1.6868
055.wav,-0.175,-0.075,1.3242,3.9566,0.5746,1.9408
056.wav,-0.3435,-0.1472,0.2628,3.3314,-0.0403,1.5921
057.wav,-0.4052,-0.1737,0.4874,3.4939,0.0411,1.6601
058.wav,-0.2539,-0.1088,0.4785,3.5655,0.1123,1.7283
059.wav,-0.2459,-0.1054,0.3277,3.4729,0.0409,1.6837
060.wav,-0.1343,-0.0575,0.6161,3.5775,0.2409,1.76
061.wav,-0.1091,-0.0468,0.1915,3.3309,0.0412,1.6421
062.wav,-0.2418,-0.1036,1.0725,3.7134,0.4154,1.8049
063.wav,-0.2752,-0.1179,0.2366,3.3088,-0.0193,1.5954
064.wav,-0.3763,-0.1613,0.7193,3.6474,0.1715,1.743
065.wav,-0.4146,-0.1777,0.3438,3.4157,-0.0354,1.619
066.wav,-0.1955,-0.0838,0.7729,3.665,0.2887,1.7906
067.wav,-0.484,-0.2074,0.3785,3.4107,-0.0528,1.6016
068.wav,-0.1391,-0.0596,0.2638,3.3573,0.0624,1.6489
069.wav,-0.2874,-0.1232,0.4161,3.4242,0.0644,1.6505
070.wav,-0.4179,-0.1791,0.122,2.8691,-0.148,1.345
071.wav,-0.3641,-0.1561,1.3328,4.0404,0.4843,1.9422
072.wav,-0.3111,-0.1333,0.6657,3.6301,0.1773,1.7484
073.wav,-0.358,-0.1534,0.8983,3.6259,0.2701,1.7362
074.wav,-0.459,-0.1967,0.6016,3.5481,0.0713,1.6757
