filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0053,-0.0023,1.9021,4.4355,0.9484,2.2166
002.wav,-0.0241,-0.0103,0.7375,3.7102,0.3567,1.8499
003.wav,-0.0269,-0.0115,0.0876,3.5053,0.0304,1.7469
004.wav,-0.0282,-0.0121,1.0619,3.8023,0.5169,1.8951
005.wav,-0.0077,-0.0033,0.6114,3.5846,0.3019,1.7907
006.wav,-0.0104,-0.0045,0.342,3.4179,0.1658,1.7067
007.wav,-0.0527,-0.0226,0.1315,3.3937,0.0394,1.6856
008.wav,-0.0354,-0.0152,-0.3492,3.2523,-0.1923,1.6186
009.wav,-0.0154,-0.0066,0.4941,3.5421,0.2394,1.7677
010.wav,-0.0142,-0.0061,0.1949,3.3282,0.0903,1.661
011.wav,-0.0313,-0.0134,0.3587,3.4154,0.1637,1.701
012.wav,-0.0236,-0.0101,1.3071,4.0183,0.6418,2.0041
013.wav,-0.0014,-0.0006,0.4033,3.5656,0.201,1.7825
014.wav,-0.0407,-0.0174,0.409,3.4344,0.1842,1.7085
015.wav,-0.0381,-0.0163,0.2642,3.3599,0.113,1.6718
016.wav,-0.0064,-0.0027,1.1231,3.9166,0.5584,1.9569
017.wav,-0.0025,-0.0011,-0.3966,2.6694,-0.1996,1.3342
018.wav,-0.0496,-0.0213,0.2358,3.3892,0.0931,1.6839
019.wav,-0.0277,-0.0119,1.2153,3.9638,0.5938,1.9759
020.wav,-0.0072,-0.0031,0.3974,3.4914,0.1951,1.7442
021.wav,-0.0215,-0.0092,0.0332,3.1585,0.0058,1.5746
022.wav,-0.0186,-0.008,0.4106,3.4505,0.196,1.7213
023.wav,-0.0158,-0.0068,-0.0108,3.253,-0.0133,1.6231
024.wav,-0.0532,-0.0228,-0.4734,3.2553,-0.2633,1.6163
025.wav,-0.0251,-0.0108,0.2437,3.3475,0.1093,1.6684
026.wav,-0.0022,-0.0009,0.3291,3.4007,0.1634,1.6999
027.wav,-0.0298,-0.0128,0.1236,3.237,0.0469,1.6121
028.wav,-0.0227,-0.0097,0.2991,3.3771,0.1382,1.6837
029.wav,-0.0308,-0.0132,0.577,3.6066,0.2731,1.7967
030.wav,-0.0138,-0.0059,0.779,3.682,0.3826,1.838
031.wav,-0.0187,-0.008,0.2492,3.3533,0.1153,1.6726
032.wav,-0.0194,-0.0083,0.236,3.3982,0.1083,1.695
033.wav,-0.0019,-0.0008,1.0981,3.8852,0.5481,1.9422
034.wav,-0.0031,-0.0013,-0.0682,3.1439,-0.0357,1.5713
035.wav,-0.0432,-0.0185,0.3501,3.4265,0.1535,1.704
036.wav,-0.0288,-0.0124,0.8318,3.7518,0.4015,1.8697
037.wav,-0.0278,-0.0119,0.59,3.6252,0.2811,1.8067
038.wav,-0.0256,-0.011,-0.0418,3.3769,-0.0337,1.683
039.wav,-0.0148,-0.0063,0.1127,3.322,0.049,1.6578
040.wav,-0.0373,-0.016,0.4062,3.3662,0.1845,1.6751
041.wav,-0.0114,-0.0049,0.3361,3.4027,0.1623,1.6989
042.wav,-0.0113,-0.0049,0.2067,3.413,0.0977,1.7041
043.wav,-0.0182,-0.0078,0.279,3.37,0.1304,1.6811
044.wav,-0.0062,-0.0027,0.2141,3.3755,0.104,1.6864
045.wav,-0.0118,-0.0051,0.4269,3.4669,0.2075,1.7309
046.wav,-0.0124,-0.0053,0.3838,3.4292,0.1857,1.7119
047.wav,-0.0559,-0.024,0.7175,3.646,0.3308,1.811
048.wav,-0.0263,-0.0113,0.4834,3.4964,0.2285,1.7426
049.wav,-0.0131,-0.0056,0.1954,3.3122,0.0911,1.6533
050.wav,-0.0244,-0.0105,-0.0076,3.1663,-0.016,1.5779
051.wav,-0.0722,-0.031,0.3355,3.4329,0.1316,1.701
052.wav,-0.076,-0.0326,-0.1814,3.1172,-0.1287,1.5423
053.wav,-0.0433,-0.0186,0.1552,3.3135,0.0559,1.6475
054.wav,-0.0122,-0.0052,1.429,4.0915,0.7084,2.0431
055.wav,-0.0079,-0.0034,0.5074,3.6119,0.2498,1.8043
056.wav,-0.007,-0.003,0.3835,3.4031,0.1882,1.7
057.wav,-0.0247,-0.0106,0.3616,3.337,0.1685,1.6632
058.wav,-0.0165,-0.0071,0.5093,3.5293,0.2464,1.7611
059.wav,-0.0236,-0.0101,0.878,3.7475,0.4272,1.8687
060.wav,-0.0032,-0.0014,0.295,3.4672,0.1459,1.7329
061.wav,-0.0328,-0.0141,0.3365,3.4122,0.1518,1.699
062.wav,-0.0105,-0.0045,0.2738,3.3724,0.1317,1.6839
063.wav,-0.0319,-0.0137,0.2504,3.4665,0.1092,1.7264
064.wav,-0.026,-0.0112,1.0414,3.9415,0.5077,1.9652
065.wav,-0.027,-0.0116,1.1512,3.9668,0.5621,1.9776
066.wav,-0.0141,-0.006,0.4682,3.4847,0.2271,1.7393
067.wav,-0.1026,-0.044,0.1706,3.3134,0.034,1.6347
068.wav,-0.0048,-0.0021,0.9892,3.7789,0.4922,1.8884
069.wav,-0.0229,-0.0098,0.341,3.3337,0.1591,1.662
070.wav,-0.0039,-0.0017,0.765,3.5049,0.3805,1.7516
071.wav,-0.0062,-0.0027,0.6392,3.6294,0.3165,1.8133
072.wav,-0.0433,-0.0186,0.266,3.3758,0.1114,1.6786
073.wav,-0.0062,-0.0027,0.4018,3.4438,0.1978,1.7206
074.wav,-0.0587,-0.0251,0.3461,3.4586,0.1437,1.7167
075.wav,-0.0423,-0.0181,0.5022,3.4902,0.23,1.736
076.wav,-0.1564,-0.067,0.3477,3.3953,0.0957,1.6641
077.wav,-0.0025,-0.0011,1.9123,4.4447,0.9549,2.2218
078.wav,-0.0247,-0.0106,0.4542,3.5058,0.2148,1.7476
079.wav,-0.0438,-0.0188,0.8707,3.7526,0.4134,1.8669
080.wav,-0.0783,-0.0336,0.0981,3.2764,0.0099,1.6214
081.wav,-0.0455,-0.0195,0.6612,3.6104,0.3079,1.7955
082.wav,-0.0525,-0.0225,0.3538,3.4142,0.1507,1.6958
083.wav,-0.0297,-0.0127,0.783,3.7221,0.3767,1.8547
084.wav,-0.0065,-0.0028,0.8291,3.7451,0.4113,1.8711
085.wav,-0.0664,-0.0285,0.0427,3.4433,-0.0119,1.7074
086.wav,-0.0117,-0.005,1.4607,4.0816,0.7245,2.0383
087.wav,-0.0011,-0.0005,0.211,3.3299,0.105,1.6647
088.wav,-0.004,-0.0017,0.2338,3.3472,0.1149,1.6727
089.wav,-0.0092,-0.0039,1.4367,4.1308,0.7138,2.0634
090.wav,-0.1492,-0.0639,0.2607,3.3426,0.0557,1.6393
091.wav,-0.0092,-0.0039,0.9426,3.7731,0.4667,1.8846
092.wav,-0.0255,-0.0109,0.2782,3.3815,0.1263,1.6853
093.wav,-0.1321,-0.0566,0.8725,3.7177,0.3702,1.8306
094.wav,-0.0364,-0.0156,0.3477,3.4229,0.1556,1.7036
095.wav,-0.0146,-0.0063,1.1349,3.9471,0.5602,1.9704
096.wav,-0.0398,-0.017,0.4059,3.4295,0.1831,1.7062
097.wav,-0.0177,-0.0076,0.6912,3.6046,0.3368,1.7985
098.wav,-0.0054,-0.0023,0.6064,3.5838,0.3005,1.7907
099.wav,-0.0063,-0.0027,0.8561,3.7295,0.4249,1.8634
100.wav,-0.0472,-0.0202,0.4295,3.4071,0.1911,1.6935
101.wav,-0.0718,-0.0308,1.2756,4.0142,0.6019,1.9917
102.wav,-0.0605,-0.0259,1.4424,4.1176,0.691,2.0459
103.wav,-0.0066,-0.0028,-0.1874,3.0615,-0.097,1.5293
104.wav,-0.0515,-0.0221,0.2009,3.3236,0.0747,1.6508
105.wav,-0.0243,-0.0104,0.3333,3.3894,0.1545,1.6895
106.wav,-0.0066,-0.0028,0.9812,3.8314,0.4873,1.9143
107.wav,-0.0038,-0.0016,0.7659,3.689,0.381,1.8437
108.wav,-0.0003,-0.0001,-0.398,2.9398,-0.1992,1.4698
109.wav,-0.1132,-0.0485,0.4864,3.4877,0.1866,1.7196
110.wav,-0.0015,-0.0007,0.694,3.5875,0.3462,1.7934
111.wav,-0.2191,-0.0939,-0.2762,3.3123,-0.2476,1.6092
112.wav,-0.0193,-0.0083,0.862,3.7359,0.4213,1.8638
113.wav,-0.0017,-0.0007,-0.4194,2.9127,-0.2105,1.456
114.wav,-0.0196,-0.0084,0.2258,3.3369,0.1031,1.6643
115.wav,-0.0292,-0.0125,1.1712,3.942,0.571,1.9647
116.wav,-0.1815,-0.0778,0.2646,3.3661,0.0416,1.6441
117.wav,-0.0268,-0.0115,0.7017,3.6442,0.3374,1.8163
118.wav,-0.0272,-0.0117,0.2415,2.1512,0.1071,1.0698
119.wav,-0.0187,-0.008,1.232,3.983,0.6067,1.9875
120.wav,-0.0349,-0.015,-0.1201,2.8728,-0.0775,1.4289
121.wav,-0.0334,-0.0143,0.3952,3.4662,0.1809,1.7259
122.wav,-0.0019,-0.0008,1.8271,4.3831,0.9126,2.1911
123.wav,-0.2789,-0.1195,0.138,3.2475,-0.0705,1.564
124.wav,-0.0051,-0.0022,1.1398,3.9388,0.5674,1.9683
125.wav,-0.088,-0.0377,0.3571,3.4136,0.1345,1.6879
