filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0014,-0.0006,1.9153,4.4462,0.9569,2.2228
002.wav,-0.072,-0.0309,0.9182,3.7615,0.4231,1.8653
003.wav,-0.0128,-0.0055,0.3286,3.3609,0.1579,1.6777
004.wav,-0.0136,-0.0058,0.3388,3.3941,0.1626,1.6941
005.wav,-0.0218,-0.0094,0.1251,3.3027,0.0516,1.6467
006.wav,-0.0522,-0.0224,0.0655,3.2196,0.0066,1.5986
007.wav,-0.0266,-0.0114,0.2944,3.3716,0.1339,1.6801
008.wav,-0.0157,-0.0067,0.2202,3.3148,0.1022,1.6541
009.wav,-0.0093,-0.004,0.8604,3.7482,0.4255,1.8721
010.wav,-0.0363,-0.0156,1.0656,3.8972,0.5146,1.9408
011.wav,-0.0119,-0.0051,0.4976,3.5398,0.2428,1.7673
012.wav,-0.1023,-0.0438,0.2805,3.364,0.0891,1.6601
013.wav,-0.0089,-0.0038,0.83,3.723,0.4105,1.8596
014.wav,-0.044,-0.0189,0.2999,3.3872,0.128,1.6842
015.wav,-0.066,-0.0283,0.4807,3.4301,0.2073,1.7009
016.wav,-0.0521,-0.0223,0.9123,3.6738,0.4301,1.8258
017.wav,-0.0573,-0.0246,0.3494,3.4157,0.146,1.6956
018.wav,-0.0214,-0.0092,0.6606,3.6516,0.3196,1.8212
019.wav,-0.0039,-0.0017,0.6574,3.6096,0.3267,1.804
020.wav,-0.1172,-0.0502,0.3653,3.4155,0.1241,1.6826
021.wav,-0.0319,-0.0137,0.1173,3.2747,0.0427,1.6305
022.wav,-0.0134,-0.0057,0.1291,3.2666,0.0579,1.6304
023.wav,-0.0214,-0.0092,0.3799,3.4478,0.1793,1.7193
024.wav,-0.0349,-0.0149,0.3488,3.3592,0.157,1.6721
025.wav,-0.0067,-0.0029,-0.0921,2.9953,-0.0494,1.4962
026.wav,-0.0221,-0.0095,0.9588,3.8133,0.4683,1.9019
027.wav,-0.1002,-0.0429,0.1445,3.1963,0.0222,1.5767
028.wav,-0.0468,-0.0201,0.2071,3.324,0.0801,1.6519
029.wav,-0.0472,-0.0202,0.2105,3.3411,0.0816,1.6604
030.wav,-0.0309,-0.0132,0.8568,3.8042,0.413,1.8955
031.wav,-0.0379,-0.0162,-0.129,3.1466,-0.0835,1.5652
032.wav,-0.0711,-0.0305,0.2253,3.4221,0.0771,1.6958
033.wav,-0.0147,-0.0063,0.3819,3.4417,0.1836,1.7177
034.wav,-0.0157,-0.0067,0.6936,3.6371,0.3389,1.8152
