filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0161,-0.0069,1.908,4.4416,0.9459,2.2173
002.wav,-0.0243,-0.0104,0.2496,3.2909,0.1127,1.6402
003.wav,-0.1236,-0.053,0.3475,3.4437,0.1119,1.6954
004.wav,-0.0109,-0.0047,0.259,3.3786,0.1241,1.687
005.wav,-0.0286,-0.0122,0.4677,3.4639,0.2195,1.7258
006.wav,-0.0454,-0.0195,0.2319,3.3402,0.0932,1.6604
007.wav,-0.1661,-0.0712,0.3176,3.4367,0.0757,1.6828
008.wav,-0.0236,-0.0101,0.4524,3.458,0.2144,1.724
009.wav,-0.0268,-0.0115,1.5388,4.1589,0.756,2.0737
010.wav,-0.0056,-0.0024,0.0969,3.3317,0.0457,1.6647
011.wav,-0.0268,-0.0115,0.5135,3.4875,0.2434,1.738
012.wav,-0.0176,-0.0076,0.1095,3.1723,0.0459,1.5824
013.wav,-0.0157,-0.0067,0.7965,3.6883,0.3904,1.8408
014.wav,-0.0501,-0.0215,0.0956,3.2689,0.0228,1.6237
015.wav,-0.0217,-0.0093,0.6851,3.6416,0.3317,1.8162
016.wav,-0.0393,-0.0168,0.7995,3.7078,0.3801,1.8455
017.wav,-0.0246,-0.0105,0.4931,3.501,0.2343,1.7452
018.wav,-0.0315,-0.0135,0.9893,3.8027,0.4789,1.8946
019.wav,-0.0299,-0.0128,0.2384,3.3486,0.1043,1.6679
020.wav,-0.0245,-0.0105,0.3297,3.3021,0.1526,1.6458
021.wav,-0.0127,-0.0055,0.2268,3.3574,0.107,1.676
022.wav,-0.0222,-0.0095,0.7182,3.6559,0.348,1.8232
023.wav,-0.016,-0.0069,0.8184,3.6749,0.4012,1.834
024.wav,-0.0205,-0.0088,0.3818,3.4,0.1806,1.6956
025.wav,-0.0063,-0.0027,0.4245,3.4651,0.2091,1.7312
026.wav,-0.0259,-0.0111,0.8037,3.6578,0.3889,1.8234
027.wav,-0.08,-0.0343,0.4069,3.4334,0.1635,1.6996
028.wav,-0.035,-0.015,0.7915,3.6924,0.3783,1.8387
029.wav,-0.036,-0.0154,0.2954,3.3875,0.1297,1.6861
030.wav,-0.0236,-0.0101,0.2453,3.3466,0.1109,1.6682
031.wav,-0.0085,-0.0037,-0.0912,3.1241,-0.0499,1.5602
032.wav,-0.0416,-0.0178,0.3188,3.5333,0.1386,1.7577
033.wav,-0.0083,-0.0036,-0.337,3.4111,-0.1727,1.7038
034.wav,-0.0173,-0.0074,0.3779,3.5306,0.1803,1.7616
035.wav,-0.0133,-0.0057,0.0583,3.4745,0.0225,1.7344
036.wav,-0.0134,-0.0058,0.2248,3.303,0.1057,1.6486
037.wav,-0.015,-0.0064,-0.1326,3.2532,-0.0738,1.6234
038.wav,-0.0184,-0.0079,-0.2653,3.3431,-0.1418,1.6676
039.wav,-0.014,-0.006,0.3976,3.4471,0.1918,1.7206
040.wav,-0.0275,-0.0118,-0.0991,3.3039,-0.0633,1.646
041.wav,-0.116,-0.0497,0.7735,3.6522,0.3287,1.8013
042.wav,-0.0259,-0.0111,0.6362,3.6145,0.3052,1.8017
043.wav,-0.0198,-0.0085,1.2747,3.9787,0.6274,1.9851
044.wav,-0.0115,-0.0049,0.1807,2.9755,0.0846,1.4853
045.wav,-0.0048,-0.0021,-0.0568,3.1139,-0.0308,1.5559
046.wav,-0.0051,-0.0022,1.1283,3.9185,0.5616,1.9582
047.wav,-0.0082,-0.0035,1.0581,3.8517,0.5249,1.9241
048.wav,-0.001,-0.0004,0.4868,3.5102,0.2429,1.7549
049.wav,-0.0088,-0.0038,0.4344,3.456,0.2128,1.7261
050.wav,-0.0141,-0.0061,0.7349,3.6562,0.3604,1.8251
051.wav,-0.0209,-0.0089,1.0134,3.89,0.4963,1.9405
052.wav,-0.0043,-0.0019,1.4689,4.1667,0.7323,2.0824
053.wav,-0.0108,-0.0046,-0.2792,3.2595,-0.145,1.6274
054.wav,-0.0025,-0.0011,-0.2186,2.7809,-0.1106,1.3899
055.wav,-0.012,-0.0051,-0.2981,3.3804,-0.155,1.6876
056.wav,-0.0836,-0.0358,0.026,3.2686,-0.0288,1.6164
057.wav,-0.0486,-0.0208,1.0452,3.8809,0.4983,1.93
058.wav,-0.0123,-0.0053,0.6449,3.5741,0.3163,1.7844
059.wav,-0.0004,-0.0002,0.8317,3.721,0.4156,1.8604
060.wav,-0.0644,-0.0276,0.3322,3.369,0.1339,1.6707
061.wav,-0.0069,-0.003,0.9184,3.625,0.4558,1.811
062.wav,-0.003,-0.0013,0.912,3.6747,0.4545,1.8367
063.wav,-0.0207,-0.0089,0.5025,3.5626,0.2409,1.7769
064.wav,-0.0072,-0.0031,0.2347,3.3538,0.1138,1.6753
065.wav,-0.0221,-0.0095,1.9091,4.4427,0.9435,2.2166
066.wav,-0.0016,-0.0007,0.2299,3.3222,0.1142,1.6608
067.wav,-0.0071,-0.0031,0.195,3.3061,0.0939,1.6515
068.wav,-0.0152,-0.0065,0.2676,3.304,0.1262,1.6487
069.wav,-0.0048,-0.0021,0.2303,3.4601,0.1127,1.729
070.wav,-0.0126,-0.0054,0.2767,3.3386,0.1321,1.6666
071.wav,-0.0244,-0.0104,1.0026,3.6791,0.4891,1.8343
072.wav,-0.0019,-0.0008,0.9743,3.9029,0.4862,1.951
073.wav,-0.0053,-0.0023,0.2688,3.3634,0.1318,1.6805
074.wav,-0.0062,-0.0027,0.1712,3.2998,0.0825,1.6486
075.wav,-0.0071,-0.003,0.0558,3.0901,0.0244,1.5435
076.wav,-0.0063,-0.0027,0.3745,3.4656,0.1841,1.7314
077.wav,-0.1412,-0.0605,1.0656,3.8764,0.4622,1.9079
078.wav,-0.0137,-0.0059,0.2578,3.3871,0.1221,1.6906
079.wav,-0.0497,-0.0213,-0.2993,3.5267,-0.1745,1.7527
080.wav,-0.0264,-0.0113,-0.3569,3.3751,-0.1916,1.6819
081.wav,-0.087,-0.0373,0.7595,3.6746,0.3363,1.8187
082.wav,-0.0143,-0.0061,-0.6123,3.0618,-0.3133,1.5278
083.wav,-0.0051,-0.0022,0.3374,3.4109,0.1661,1.7044
084.wav,-0.0077,-0.0033,0.3053,3.3754,0.1488,1.6861
085.wav,-0.0003,-0.0001,0.7513,3.6962,0.3755,1.848
086.wav,-0.0037,-0.0016,0.5202,3.4616,0.2582,1.73
087.wav,-0.046,-0.0197,0.2168,3.309,0.0854,1.6446
088.wav,-0.0016,-0.0007,0.4221,3.4692,0.2102,1.7343
089.wav,-0.0062,-0.0026,-0.3413,2.8526,-0.1737,1.425
090.wav,-0.0028,-0.0012,1.1321,3.7819,0.5646,1.8904
091.wav,-0.0132,-0.0056,-0.4921,3.486,-0.2526,1.7402
092.wav,-0.0649,-0.0278,0.3879,3.4342,0.1615,1.7032
093.wav,-0.0127,-0.0054,-0.2173,3.5938,-0.115,1.7942
094.wav,-0.0058,-0.0025,0.1463,3.2068,0.0702,1.6022
095.wav,-0.0119,-0.0051,1.5457,4.1986,0.7669,2.0967
096.wav,-0.0095,-0.0041,0.9491,3.7952,0.4698,1.8955
097.wav,-0.0096,-0.0041,0.2989,3.5751,0.1447,1.7855
098.wav,-0.0179,-0.0077,0.8318,3.7232,0.4069,1.8578
099.wav,-0.0497,-0.0213,1.2578,4.0357,0.604,2.0072
100.wav,-0.0264,-0.0113,0.6531,3.5924,0.3133,1.7905
101.wav,-0.0097,-0.0042,0.2354,3.3659,0.1129,1.6809
102.wav,-0.0243,-0.0104,0.2424,3.347,0.1091,1.6683
103.wav,-0.0018,-0.0008,0.7794,3.6866,0.3888,1.8429
104.wav,-0.1353,-0.058,0.4063,3.3783,0.1355,1.6602
105.wav,-0.006,-0.0026,0.4598,3.5513,0.2269,1.7744
