filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0084,-0.0036,1.9134,4.4453,0.9525,2.2209
002.wav,-0.6065,-0.2599,0.1373,3.2366,-0.2346,1.4883
003.wav,-0.2964,-0.127,0.2167,3.3332,-0.0399,1.6031
004.wav,-0.2257,-0.0967,0.1866,3.2376,-0.0196,1.5704
005.wav,-0.1127,-0.0483,1.0698,3.8763,0.4786,1.914
006.wav,-0.171,-0.0733,0.2799,3.3857,0.0545,1.6562
007.wav,-0.309,-0.1324,0.8064,3.6074,0.2487,1.7375
008.wav,-0.4097,-0.1756,0.3021,3.3737,-0.0538,1.5991
009.wav,-0.4608,-0.1975,0.4836,3.5231,0.0114,1.6628
010.wav,-0.3133,-0.1343,0.2201,3.3022,-0.0466,1.584
011.wav,-0.4272,-0.1831,0.2847,3.3752,-0.0713,1.596
012.wav,-0.3534,-0.1515,0.4532,3.4799,0.0499,1.6642
013.wav,-0.1635,-0.0701,0.254,3.3458,0.0453,1.6379
014.wav,-0.1995,-0.0855,-0.2125,3.3009,-0.206,1.6077
015.wav,-0.1284,-0.055,0.5526,3.5219,0.2121,1.7334
016.wav,-0.2392,-0.1025,0.2907,3.3754,0.0257,1.6365
017.wav,-0.0301,-0.0129,0.432,3.398,0.201,1.6925
018.wav,-0.1747,-0.0749,0.514,3.5189,0.1697,1.722
019.wav,-0.274,-0.1174,0.8627,3.7535,0.2943,1.8181
020.wav,-0.5606,-0.2402,0.3779,3.4375,-0.0913,1.5986
021.wav,-0.4108,-0.176,0.4123,3.4587,0.0008,1.6413
022.wav,-0.3436,-0.1473,0.43,3.4239,0.0432,1.6383
023.wav,-0.5236,-0.2244,0.2811,3.3705,-0.1212,1.573
024.wav,-0.2021,-0.0866,0.3651,3.453,0.0815,1.6832
025.wav,-0.4768,-0.2044,0.2589,3.3654,-0.109,1.5805
026.wav,-0.4423,-0.1895,0.1324,3.3511,-0.1549,1.5808
027.wav,-0.1899,-0.0814,0.2547,3.3733,0.0324,1.6459
028.wav,-0.0235,-0.0101,0.3531,3.4208,0.1648,1.7054
029.wav,-0.2175,-0.0932,0.4811,3.5029,0.1318,1.7048
030.wav,-0.2419,-0.1037,1.2333,3.9623,0.4957,1.9293
031.wav,-0.3122,-0.1338,0.6302,3.5841,0.159,1.7251
032.wav,-0.5277,-0.2261,0.9801,3.7917,0.2262,1.7828
033.wav,-0.1813,-0.0777,0.4802,3.4562,0.1495,1.6893
034.wav,-0.0037,-0.0016,1.9113,4.4434,0.9538,2.2209
035.wav,-0.109,-0.0467,0.3128,3.4237,0.1019,1.6885
036.wav,-0.0932,-0.04,0.5131,3.4559,0.2099,1.708
037.wav,-0.091,-0.039,0.5431,3.4717,0.2261,1.7164
038.wav,-0.2455,-0.1052,0.843,3.7146,0.2987,1.8047
039.wav,-0.0059,-0.0025,0.2168,3.3337,0.1054,1.6656
040.wav,-0.0933,-0.04,1.164,3.9145,0.5354,1.9373
041.wav,-0.3008,-0.1289,0.2025,3.322,-0.0492,1.5966
042.wav,-0.1913,-0.082,0.3449,3.4143,0.0768,1.6661
043.wav,-0.0582,-0.0249,1.1143,4.0088,0.5281,1.9919
044.wav,-0.0136,-0.0058,1.9017,4.4373,0.9441,2.2157
045.wav,-0.1216,-0.0521,0.2589,3.3709,0.0686,1.6594
046.wav,-0.0742,-0.0318,0.7538,3.6136,0.3398,1.7909
047.wav,-0.1664,-0.0713,-0.0102,3.5671,-0.0883,1.7479
048.wav,-0.1845,-0.0791,-0.399,3.113,-0.2917,1.5169
049.wav,-0.0577,-0.0247,0.4368,3.4178,0.1896,1.6966
050.wav,-0.0434,-0.0186,0.2413,3.379,0.0989,1.6802
051.wav,-0.1138,-0.0488,0.0413,3.4491,-0.0362,1.7002
052.wav,-0.1736,-0.0744,0.6058,3.5991,0.2161,1.7623
053.wav,-0.2422,-0.1038,1.126,3.9381,0.4419,1.9171
054.wav,-0.0993,-0.0426,0.6077,3.7581,0.2542,1.8578
055.wav,-0.0039,-0.0017,1.9012,4.4367,0.9487,2.2175
056.wav,-0.0862,-0.0369,0.2997,3.3843,0.1068,1.6737
057.wav,-0.2064,-0.0885,0.1991,3.3549,-0.0036,1.6332
058.wav,-0.1557,-0.0667,0.3187,3.4673,0.0815,1.7003
059.wav,-0.2266,-0.0971,0.1644,3.2184,-0.0311,1.5607
060.wav,-0.0432,-0.0185,1.0509,3.9899,0.5039,1.9857
061.wav,-0.3939,-0.1688,0.2934,3.41,-0.0502,1.6206
062.wav,-0.0562,-0.0241,0.4372,3.4459,0.1905,1.7109
063.wav,-0.1217,-0.0521,0.0094,3.3992,-0.0561,1.6735
064.wav,-0.0299,-0.0128,1.1328,3.9228,0.5514,1.955
065.wav,-0.0242,-0.0104,-0.1738,3.4055,-0.099,1.6976
066.wav,-0.1429,-0.0612,0.3927,3.4404,0.1249,1.6896
067.wav,-0.2579,-0.1105,0.1622,3.2328,-0.0479,1.5611
068.wav,-0.1426,-0.0611,0.0906,2.9361,-0.026,1.4375
069.wav,-0.247,-0.1059,0.5211,3.5384,0.1371,1.7162
070.wav,-0.0023,-0.001,1.9015,4.4366,0.9496,2.2178
071.wav,-0.2801,-0.1201,0.1165,3.2934,-0.0818,1.5867
072.wav,-0.2433,-0.1043,0.175,3.2636,-0.0341,1.5797
073.wav,-0.444,-0.1903,0.0459,3.224,-0.199,1.5169
074.wav,-0.2738,-0.1173,0.2355,3.3427,-0.0191,1.6127
075.wav,-0.0172,-0.0074,1.9104,4.4427,0.9466,2.2177
076.wav,-0.0052,-0.0022,0.272,3.3709,0.1334,1.6843
077.wav,-0.036,-0.0154,0.752,3.6371,0.358,1.8109
078.wav,-0.304,-0.1303,0.6243,3.5955,0.1601,1.7326
079.wav,-0.0183,-0.0078,-0.2558,3.0081,-0.1371,1.5001
080.wav,-0.2435,-0.1044,0.2876,3.3672,0.022,1.6314
081.wav,-0.198,-0.0848,0.2689,3.3409,0.0355,1.6281
082.wav,-0.1807,-0.0775,0.2288,3.2217,0.0241,1.5721
083.wav,-0.1673,-0.0717,1.4547,4.018,0.6437,1.9731
084.wav,-0.1027,-0.044,-0.0098,3.2218,-0.0563,1.5889
085.wav,-0.0135,-0.0058,1.052,3.8563,0.5193,1.9253
086.wav,-0.0561,-0.024,0.3394,3.4045,0.1417,1.6902
087.wav,-0.0798,-0.0342,0.3776,3.4414,0.1489,1.7036
088.wav,-0.0469,-0.0201,1.1441,3.9045,0.5486,1.9422
089.wav,-0.0362,-0.0155,0.1703,3.2696,0.0671,1.627
090.wav,-0.0015,-0.0006,1.7547,4.368,0.8766,2.1837
091.wav,-0.0135,-0.0058,0.1761,3.3773,0.0813,1.6858
092.wav,-0.0737,-0.0316,0.8313,3.7283,0.3788,1.8483
093.wav,-0.0534,-0.0229,0.26,3.3293,0.1033,1.6532
094.wav,-0.0508,-0.0218,0.1493,3.3932,0.0493,1.6857
095.wav,-0.009,-0.0038,1.8859,4.4254,0.9385,2.2108
096.wav,-0.2621,-0.1123,0.4296,3.4519,0.0838,1.6698
097.wav,-0.0216,-0.0093,-0.0138,3.2064,-0.0177,1.5986
098.wav,-0.3265,-0.1399,0.2352,3.332,-0.0457,1.596
099.wav,-0.0072,-0.0031,-0.034,3.3725,-0.0206,1.6847
100.wav,-0.207,-0.0887,0.8199,3.7227,0.3065,1.817
101.wav,-0.1781,-0.0763,0.1746,3.5913,-0.0017,1.7575
102.wav,-0.0269,-0.0115,1.3288,4.0567,0.6509,2.0226
103.wav,-0.0469,-0.0201,0.2121,3.3331,0.0826,1.6565
104.wav,-0.0341,-0.0146,1.7698,4.3328,0.8678,2.1591
105.wav,-0.2075,-0.0889,0.6131,3.6008,0.2028,1.756
106.wav,-0.0226,-0.0097,0.127,3.3577,0.0522,1.674
107.wav,-0.2645,-0.1134,0.5051,3.4975,0.1203,1.6921
108.wav,-0.3496,-0.1498,0.3961,3.7268,0.0233,1.7885
109.wav,-0.0694,-0.0298,0.2577,3.3247,0.0941,1.6475
110.wav,-0.1381,-0.0592,0.3303,3.3709,0.0961,1.6559
111.wav,-0.1326,-0.0568,0.4301,3.2292,0.1488,1.5862
112.wav,-0.0731,-0.0313,0.9894,3.9616,0.4582,1.9651
113.wav,-0.1847,-0.0792,1.0189,3.9016,0.4171,1.9112
114.wav,-0.2062,-0.0884,0.7302,3.6455,0.262,1.7785
115.wav,-0.0054,-0.0023,1.9094,4.4428,0.952,2.2203
116.wav,-0.1142,-0.0489,0.369,3.4165,0.1274,1.6838
117.wav,-0.0324,-0.0139,0.4951,3.0234,0.2314,1.5048
118.wav,-0.2913,-0.1248,0.3108,3.3746,0.0097,1.6249
119.wav,-0.0204,-0.0088,0.455,3.4662,0.2173,1.7287
120.wav,-0.006,-0.0026,1.2192,3.9828,0.6066,1.9901
121.wav,-0.0325,-0.0139,-0.6895,3.5176,-0.361,1.7518
122.wav,-0.1522,-0.0652,1.0675,3.8584,0.4577,1.8966
123.wav,-0.2901,-0.1243,0.2585,3.3505,-0.0158,1.6131
124.wav,-0.1003,-0.043,0.4957,3.4502,0.1977,1.7036
125.wav,-0.0791,-0.0339,0.4632,3.4499,0.192,1.708
126.wav,-0.0839,-0.0359,0.6708,3.2347,0.2935,1.5994
127.wav,-0.1417,-0.0607,0.2093,3.3282,0.0338,1.6338
128.wav,-0.1228,-0.0526,0.9951,3.6852,0.4362,1.8163
129.wav,-0.2546,-0.1091,0.2596,3.4127,0.0025,1.6518
130.wav,-0.1441,-0.0617,0.1746,3.2789,0.0153,1.6086
131.wav,-0.0886,-0.038,0.0002,3.4058,-0.0442,1.6839
132.wav,-0.5166,-0.2214,0.6306,3.569,0.057,1.6738
133.wav,-0.0157,-0.0067,0.3188,3.385,0.1516,1.6891
134.wav,-0.1599,-0.0685,0.3976,3.4485,0.1188,1.69
135.wav,-0.0733,-0.0314,1.7006,4.302,0.8137,2.1353
136.wav,-0.0436,-0.0187,-0.2941,3.3678,-0.1688,1.6746
137.wav,-0.0721,-0.0309,0.3174,3.3945,0.1226,1.6818
138.wav,-0.0756,-0.0324,0.1662,3.2684,0.0453,1.618
139.wav,-0.0494,-0.0212,0.1785,3.2683,0.0645,1.6236
140.wav,-0.0173,-0.0074,1.5198,4.1671,0.7512,2.0798
141.wav,-0.0377,-0.0162,0.2471,3.35,0.1047,1.6669
142.wav,-0.2267,-0.0972,0.5342,3.5613,0.1537,1.732
143.wav,-0.1696,-0.0727,1.016,3.8588,0.4232,1.8931
