filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0014,-0.0006,1.9149,4.446,0.9567,2.2227
002.wav,-0.1909,-0.0818,0.5358,3.5673,0.1725,1.7428
003.wav,-0.1076,-0.0461,0.6486,3.5766,0.2705,1.7653
004.wav,-0.0853,-0.0366,0.5505,3.529,0.2326,1.7462
005.wav,-0.1301,-0.0558,1.381,4.049,0.6255,1.9966
006.wav,-0.0554,-0.0238,0.3483,3.4968,0.1464,1.7365
007.wav,-0.0871,-0.0373,0.5905,3.7149,0.2517,1.8388
008.wav,-0.3227,-0.1383,0.2136,3.3278,-0.0545,1.5948
009.wav,-0.238,-0.102,0.7145,3.6037,0.2383,1.7508
010.wav,-0.1655,-0.0709,0.2522,3.4571,0.0434,1.6931
011.wav,-0.0731,-0.0313,0.799,3.7507,0.363,1.8597
012.wav,-0.1117,-0.0479,0.6568,3.6585,0.2725,1.8053
013.wav,-0.1292,-0.0554,0.5681,3.5807,0.2195,1.7627
014.wav,-0.048,-0.0206,0.1416,3.3557,0.0468,1.6676
015.wav,-0.1068,-0.0458,0.6293,3.5947,0.2613,1.7745
016.wav,-0.0581,-0.0249,0.3476,3.4394,0.1447,1.7073
017.wav,-0.1064,-0.0456,0.5893,3.6874,0.2414,1.8209
018.wav,-0.0586,-0.0251,0.3923,3.5309,0.1669,1.7529
019.wav,-0.2246,-0.0963,0.7773,3.7647,0.2763,1.8342
020.wav,-0.1136,-0.0487,0.6274,3.61,0.2569,1.7807
021.wav,-0.0222,-0.0095,0.3001,3.3591,0.1389,1.6748
022.wav,-0.0441,-0.0189,0.3876,3.4004,0.1717,1.6907
023.wav,-0.2621,-0.1123,0.3549,3.4181,0.0464,1.6529
024.wav,-0.028,-0.012,0.5066,3.5117,0.2393,1.7498
025.wav,-0.0747,-0.032,1.0625,3.8837,0.4939,1.9259
026.wav,-0.0814,-0.0349,0.6779,3.6149,0.2982,1.79
027.wav,-0.0625,-0.0268,0.9854,3.8445,0.4615,1.9088
028.wav,-0.5478,-0.2348,0.3488,3.4005,-0.0995,1.5828
029.wav,-0.0629,-0.0269,0.4594,3.4959,0.1983,1.7345
030.wav,-0.333,-0.1427,0.2078,3.3294,-0.0626,1.5933
031.wav,-0.0226,-0.0097,0.7842,3.719,0.3808,1.8546
032.wav,-0.2073,-0.0889,0.2915,3.3734,0.0421,1.6423
033.wav,-0.0844,-0.0362,0.6515,3.6279,0.2836,1.7959
034.wav,-0.1013,-0.0434,0.4982,3.5036,0.1984,1.7301
035.wav,-0.1207,-0.0517,0.1939,3.3691,0.0366,1.6587
036.wav,-0.0909,-0.039,0.7339,3.637,0.3215,1.799
037.wav,-0.0841,-0.0361,0.3751,3.4617,0.1455,1.7128
038.wav,-0.0581,-0.0249,1.2532,3.9908,0.5976,1.9829
039.wav,-0.068,-0.0291,0.5926,3.6274,0.2623,1.7991
040.wav,-0.0819,-0.0351,0.7299,3.6437,0.324,1.8043
041.wav,-0.0661,-0.0283,0.6663,3.678,0.3001,1.8248
042.wav,-0.1665,-0.0713,1.6704,4.2022,0.752,2.0654
043.wav,-0.0738,-0.0316,0.717,3.6302,0.3216,1.7993
044.wav,-0.1173,-0.0503,0.1767,3.3074,0.0297,1.6286
045.wav,-0.1688,-0.0723,0.4751,3.4858,0.1532,1.7067
046.wav,-0.0813,-0.0348,0.8953,3.7432,0.407,1.8542
047.wav,-0.0301,-0.0129,0.4661,3.6459,0.218,1.8165
048.wav,-0.0664,-0.0285,0.251,3.3938,0.0923,1.6827
049.wav,-0.1777,-0.0762,0.4872,3.5094,0.1547,1.7166
050.wav,-0.1746,-0.0748,0.4107,3.4489,0.1181,1.6871
051.wav,-0.1017,-0.0436,0.4229,3.6542,0.1606,1.8053
052.wav,-0.1237,-0.053,0.6346,3.6458,0.2554,1.7964
053.wav,-0.1527,-0.0654,0.4118,3.4438,0.1296,1.6892
054.wav,-0.0267,-0.0115,0.0964,3.5464,0.0348,1.7675
055.wav,-0.0331,-0.0142,0.3601,3.4232,0.1635,1.7045
056.wav,-0.0669,-0.0287,0.7476,3.6806,0.3403,1.826
057.wav,-0.0564,-0.0242,-0.0986,3.2358,-0.0775,1.6058
058.wav,-0.1042,-0.0446,1.745,4.3284,0.8204,2.1419
059.wav,-0.1291,-0.0553,0.5085,3.5432,0.1897,1.7439
060.wav,-0.0288,-0.0123,0.4449,3.507,0.2081,1.7473
061.wav,-0.0314,-0.0135,0.1873,3.283,0.0779,1.6347
062.wav,-0.3683,-0.1579,0.2537,3.3594,-0.0573,1.6008
063.wav,-0.1091,-0.0468,1.0562,3.9084,0.4736,1.9308
064.wav,-0.1254,-0.0537,1.264,4.0405,0.5693,1.9934
065.wav,-0.0589,-0.0252,0.4718,1.8976,0.2064,0.9362
066.wav,-0.0424,-0.0182,1.1626,3.9566,0.5601,1.9692
067.wav,-0.0244,-0.0105,0.6434,3.5863,0.3095,1.7879
068.wav,-0.0974,-0.0417,0.3887,3.5482,0.1457,1.7533
069.wav,-0.0289,-0.0124,0.3051,3.4578,0.1381,1.7227
070.wav,-0.0123,-0.0053,-0.3546,3.446,-0.1834,1.7204
071.wav,-0.0627,-0.0269,0.167,3.3538,0.0522,1.6635
072.wav,-0.0197,-0.0085,0.4199,3.4346,0.2001,1.7131
073.wav,-0.0256,-0.011,0.06,3.422,0.0172,1.7055
074.wav,-0.0933,-0.04,0.6978,3.6814,0.3023,1.8207
075.wav,-0.079,-0.0339,0.4668,3.302,0.1939,1.6341
076.wav,-0.0263,-0.0113,0.1983,3.3758,0.086,1.6823
077.wav,-0.0941,-0.0403,0.8741,3.7367,0.39,1.8482
078.wav,-0.0559,-0.0239,0.84,3.6973,0.3921,1.8367
079.wav,-0.0568,-0.0244,1.4026,4.0894,0.6729,2.0325
080.wav,-0.0831,-0.0356,0.8564,3.7947,0.3867,1.8796
081.wav,-0.0433,-0.0186,0.1197,3.3883,0.0382,1.6849
082.wav,-0.0144,-0.0062,0.9083,3.7766,0.4469,1.8852
083.wav,-0.0296,-0.0127,0.0814,3.1876,0.0259,1.5875
084.wav,-0.0345,-0.0148,0.2289,3.3264,0.0972,1.6558
085.wav,-0.0539,-0.0231,0.3456,3.4017,0.1459,1.6893
086.wav,-0.0405,-0.0173,1.1953,3.9523,0.5774,1.9675
087.wav,-0.032,-0.0137,0.1178,3.3908,0.0429,1.6886
088.wav,-0.1105,-0.0474,0.2751,3.3887,0.0823,1.6706
089.wav,-0.1001,-0.0429,0.3921,3.4437,0.146,1.7004
090.wav,-0.0561,-0.024,1.0902,3.8793,0.5171,1.9276
091.wav,-0.0414,-0.0178,0.053,3.3025,0.0058,1.6424
092.wav,-0.0612,-0.0262,0.5729,3.5939,0.2558,1.7838
093.wav,-0.0896,-0.0384,0.3221,3.4193,0.1162,1.6904
094.wav,-0.0228,-0.0098,0.4241,3.4758,0.2007,1.733
095.wav,-0.0754,-0.0323,0.6683,3.785,0.2964,1.8763
096.wav,-0.0155,-0.0066,1.8548,4.4005,0.9197,2.1969
097.wav,-0.0694,-0.0297,1.0595,3.8605,0.4951,1.9154
098.wav,-0.1395,-0.0598,1.0206,3.868,0.4405,1.9041
099.wav,-0.0456,-0.0196,0.6803,3.6222,0.3173,1.8013
100.wav,-0.0735,-0.0315,0.4462,3.5489,0.1864,1.7587
101.wav,-0.0779,-0.0334,1.347,4.047,0.6345,2.0068
102.wav,-0.0948,-0.0406,0.4897,3.2343,0.1975,1.5968
103.wav,-0.1313,-0.0563,0.3038,3.4085,0.0862,1.6761
104.wav,-0.017,-0.0073,-0.0236,3.3585,-0.0203,1.6756
105.wav,-0.0368,-0.0158,0.6476,3.6003,0.3054,1.7923
106.wav,-0.0093,-0.004,0.6512,3.5843,0.3209,1.7902
107.wav,-0.0361,-0.0155,0.4784,3.4684,0.2212,1.7265
108.wav,-0.0889,-0.0381,1.389,4.055,0.65,2.0084
109.wav,-0.0093,-0.004,1.0223,3.8485,0.5065,1.9223
110.wav,-0.0048,-0.0021,1.1015,3.9101,0.5483,1.954
111.wav,-0.0947,-0.0406,0.484,3.4914,0.1947,1.7254
112.wav,-0.0076,-0.0032,1.9098,4.4432,0.9511,2.22
113.wav,-0.0108,-0.0046,0.5984,3.5685,0.2938,1.7819
114.wav,-0.0167,-0.0072,0.4299,3.4512,0.2066,1.722
115.wav,-0.0039,-0.0017,0.2299,3.2925,0.113,1.6454
