filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0239,-0.0103,1.8084,4.3604,0.8922,2.1751
002.wav,-0.001,-0.0004,0.6829,3.6214,0.341,1.8105
003.wav,-0.0074,-0.0032,1.5541,4.1756,0.7734,2.0862
004.wav,-0.0117,-0.005,0.6749,3.6126,0.3316,1.8038
005.wav,-0.1395,-0.0598,0.2613,3.3574,0.0609,1.6488
006.wav,-0.0298,-0.0128,0.3027,3.3977,0.1364,1.6925
007.wav,-0.0121,-0.0052,0.76,3.6529,0.3739,1.8239
008.wav,-0.1732,-0.0742,0.2547,3.3612,0.0408,1.6435
009.wav,-0.0019,-0.0008,0.2923,3.378,0.1452,1.6886
010.wav,-0.0122,-0.0052,0.0719,3.3131,0.0298,1.6539
011.wav,-0.0063,-0.0027,0.281,3.3482,0.1374,1.6727
012.wav,-0.0592,-0.0254,0.5565,3.5437,0.2487,1.7591
013.wav,-0.0507,-0.0217,0.3471,3.4237,0.1482,1.701
014.wav,-0.0124,-0.0053,0.1003,3.2361,0.0439,1.6154
015.wav,-0.0246,-0.0105,0.3273,3.3944,0.1514,1.692
016.wav,-0.0224,-0.0096,0.3914,3.4399,0.1845,1.7152
017.wav,-0.0125,-0.0054,0.0817,3.3335,0.0346,1.6641
018.wav,-0.026,-0.0112,0.3545,3.4251,0.1643,1.707
019.wav,-0.0248,-0.0106,0.2839,3.3746,0.1295,1.682
020.wav,-0.0999,-0.0428,0.2829,3.3287,0.0915,1.6429
021.wav,-0.0269,-0.0115,0.6928,3.63,0.333,1.8092
022.wav,-0.0228,-0.0098,1.4987,4.1221,0.738,2.0562
023.wav,-0.0062,-0.0027,0.2252,3.3615,0.1095,1.6794
024.wav,-0.005,-0.0021,0.2046,3.3475,0.0998,1.6727
025.wav,-0.0045,-0.0019,0.326,3.3257,0.1607,1.6619
026.wav,-0.0025,-0.0011,0.5512,3.5818,0.2744,1.7904
027.wav,-0.0127,-0.0055,0.3795,3.4277,0.1834,1.7111
028.wav,-0.0038,-0.0016,0.1832,3.3045,0.0897,1.6514
029.wav,-0.0028,-0.0012,0.5014,3.4994,0.2493,1.7491
030.wav,-0.0042,-0.0018,0.3406,3.3599,0.1682,1.6791
031.wav,-0.002,-0.0009,1.7868,4.3436,0.8924,2.1714
032.wav,-0.0058,-0.0025,1.8501,4.3939,0.9221,2.1957
033.wav,-0.0025,-0.0011,1.7738,4.3236,0.8856,2.1612
034.wav,-0.0072,-0.0031,0.5877,3.5593,0.2903,1.7781
035.wav,-0.0086,-0.0037,0.8484,3.8186,0.4199,1.9074
036.wav,-0.0302,-0.0129,1.0647,3.8369,0.5173,1.912
037.wav,-0.0091,-0.0039,0.6285,3.5592,0.3097,1.7777
038.wav,-0.0251,-0.0108,0.2553,3.341,0.1151,1.6651
039.wav,-0.0565,-0.0242,0.0914,3.4588,0.0175,1.7173
040.wav,-0.0005,-0.0002,0.6088,3.5608,0.3041,1.7803
041.wav,-0.0113,-0.0048,0.1197,3.0969,0.0542,1.5461
042.wav,-0.0243,-0.0104,0.0055,3.1718,-0.0094,1.5807
043.wav,-0.0077,-0.0033,1.202,3.8732,0.5971,1.9349
044.wav,-0.0374,-0.016,1.2043,3.9613,0.5834,1.9727
045.wav,-0.0075,-0.0032,-0.0755,3.2025,-0.0415,1.5996
046.wav,-0.0197,-0.0084,0.0465,3.2995,0.0134,1.6455
047.wav,-0.0166,-0.0071,0.5369,3.5813,0.2601,1.7871
048.wav,-0.0036,-0.0015,0.8991,3.7485,0.4477,1.8735
049.wav,-0.0135,-0.0058,-0.3323,3.347,-0.1729,1.6706
050.wav,-0.0544,-0.0233,1.4701,4.1566,0.7078,2.0666
051.wav,-0.0108,-0.0046,0.3399,3.1713,0.1645,1.5834
052.wav,-0.0114,-0.0049,1.0011,3.8494,0.4949,1.9223
053.wav,-0.0117,-0.005,0.7595,3.6746,0.3739,1.8348
