filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0039,-0.0017,1.9128,4.445,0.9545,2.2217
002.wav,-0.0714,-0.0306,0.4135,3.426,0.1711,1.6977
003.wav,-0.0186,-0.008,0.3762,3.508,0.1788,1.75
004.wav,-0.0295,-0.0127,0.8217,3.7364,0.3961,1.8619
005.wav,-0.01,-0.0043,0.2305,3.3424,0.1102,1.6691
006.wav,-0.052,-0.0223,0.3765,3.4654,0.1623,1.7216
007.wav,-0.1137,-0.0487,0.2432,3.3526,0.0647,1.6519
008.wav,-0.0115,-0.0049,0.8554,3.7412,0.422,1.8681
009.wav,-0.1492,-0.0639,0.2639,3.4448,0.0574,1.6904
010.wav,-0.0262,-0.0112,-0.6051,3.3089,-0.3156,1.6489
011.wav,-0.0956,-0.041,0.2312,3.3656,0.0678,1.6623
012.wav,-0.0422,-0.0181,0.4868,3.2827,0.2223,1.6323
013.wav,-0.0747,-0.032,0.3969,3.4725,0.1611,1.7203
014.wav,-0.0689,-0.0295,-0.0861,3.0488,-0.0775,1.5096
015.wav,-0.1398,-0.0599,0.2704,3.4163,0.0653,1.6782
016.wav,-0.0067,-0.0029,-0.4542,3.1988,-0.2305,1.598
017.wav,-0.1107,-0.0474,0.6199,3.5699,0.2546,1.7612
018.wav,-0.1364,-0.0584,0.2899,3.3774,0.0768,1.6595
019.wav,-0.0802,-0.0344,0.3623,3.4478,0.1411,1.7067
020.wav,-0.0241,-0.0103,0.2866,3.3984,0.1313,1.694
021.wav,-0.0648,-0.0278,0.2155,3.3408,0.0753,1.6565
022.wav,-0.0434,-0.0186,0.6499,3.6148,0.3032,1.7981
023.wav,-0.0718,-0.0308,0.2117,3.33,0.0699,1.6496
024.wav,-0.3363,-0.1441,0.2525,3.353,-0.0419,1.6045
025.wav,-0.0369,-0.0158,0.41,3.4318,0.1865,1.708
026.wav,-0.1017,-0.0436,0.8758,3.7653,0.387,1.8609
027.wav,-0.0649,-0.0278,0.3635,3.4027,0.1493,1.6874
028.wav,-0.1137,-0.0487,0.5604,3.5395,0.2234,1.7454
029.wav,-0.0134,-0.0058,0.2285,3.3235,0.1075,1.6589
030.wav,-0.0628,-0.0269,0.4103,3.4531,0.1738,1.7131
031.wav,-0.0482,-0.0207,0.3366,3.4033,0.1442,1.6913
032.wav,-0.1317,-0.0564,0.1974,3.454,0.0328,1.6988
033.wav,-0.0226,-0.0097,0.4975,3.482,0.2375,1.7362
034.wav,-0.0062,-0.0027,0.6842,3.6517,0.339,1.8245
035.wav,-0.0027,-0.0012,0.1571,3.3294,0.0772,1.6641
036.wav,-0.0675,-0.0289,0.0347,3.3165,-0.0164,1.6438
037.wav,-0.1247,-0.0534,-0.4814,3.0236,-0.303,1.4851
038.wav,-0.061,-0.0261,0.2195,3.3473,0.0793,1.6606
039.wav,-0.0516,-0.0221,0.344,3.4301,0.1462,1.704
040.wav,-0.0133,-0.0057,-0.0514,3.1524,-0.0323,1.5734
041.wav,-0.1388,-0.0595,0.0545,3.2518,-0.0422,1.5961
042.wav,-0.2009,-0.0861,0.1637,3.2821,-0.0186,1.598
043.wav,-0.0902,-0.0386,0.0616,3.2201,-0.0143,1.5907
044.wav,-0.0196,-0.0084,-0.0848,3.2826,-0.0522,1.6371
045.wav,-0.0241,-0.0103,0.1555,3.297,0.0657,1.6434
046.wav,-0.1346,-0.0577,0.2415,3.3519,0.0534,1.6471
047.wav,-0.0869,-0.0372,0.3396,3.4112,0.1263,1.687
048.wav,-0.0482,-0.0207,0.2023,3.4126,0.077,1.696
049.wav,-0.069,-0.0296,0.2107,3.3263,0.0708,1.6483
050.wav,-0.041,-0.0176,0.3305,3.4108,0.1448,1.6966
051.wav,-0.0065,-0.0028,0.1464,3.3727,0.07,1.685
052.wav,-0.0024,-0.001,0.3907,3.3969,0.1941,1.6979
053.wav,-0.0002,-0.0001,0.211,3.3299,0.1054,1.6649
054.wav,-0.0287,-0.0123,0.4943,3.4897,0.2328,1.7387
055.wav,-0.0208,-0.0089,0.9966,3.8408,0.4879,1.9159
056.wav,-0.0115,-0.0049,-0.2426,3.2852,-0.1271,1.6401
057.wav,-0.0045,-0.0019,0.1798,3.3922,0.0876,1.6951
058.wav,-0.0799,-0.0343,0.3241,3.3725,0.1221,1.6691
059.wav,-0.0084,-0.0036,1.3311,4.0889,0.6613,2.0426
060.wav,-0.0435,-0.0187,0.2792,3.3514,0.1178,1.6664
061.wav,-0.0904,-0.0388,0.8848,3.741,0.3972,1.8511
