filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0427,-0.0183,1.9119,4.4442,0.9346,2.213
002.wav,-0.0098,-0.0042,1.9125,4.4444,0.9514,2.2201
003.wav,-0.0517,-0.0222,1.122,3.8712,0.5351,1.9245
004.wav,-0.1772,-0.0759,0.3554,3.4174,0.0891,1.6707
005.wav,-0.1984,-0.085,0.8448,3.7341,0.3232,1.8246
006.wav,-0.1956,-0.0838,0.3046,3.3841,0.0545,1.6501
007.wav,-0.2492,-0.1068,0.47,3.5046,0.1104,1.6989
008.wav,-0.0859,-0.0368,0.5125,3.5131,0.2133,1.7381
009.wav,-0.2697,-0.1156,1.5175,4.116,0.6239,2.0002
010.wav,-0.419,-0.1796,0.3974,3.4632,-0.0108,1.6418
011.wav,-0.0211,-0.0091,0.2847,3.3876,0.1318,1.6893
012.wav,-0.2862,-0.1227,0.1862,3.3459,-0.05,1.6116
013.wav,-0.2642,-0.1132,0.3054,3.3615,0.0206,1.6241
014.wav,-0.0975,-0.0418,0.2169,3.3287,0.0597,1.6435
015.wav,-0.0436,-0.0187,0.0448,3.0208,0.0006,1.5011
016.wav,-0.199,-0.0853,0.1607,3.4419,-0.0191,1.6783
017.wav,-0.1398,-0.0599,-0.1058,3.3828,-0.1228,1.6615
018.wav,-0.1461,-0.0626,0.27,3.182,0.062,1.5597
019.wav,-0.1492,-0.0639,0.3585,3.4156,0.1047,1.6758
020.wav,-0.1621,-0.0695,1.1091,3.89,0.4735,1.9103
021.wav,-0.1539,-0.066,0.2064,3.3168,0.0262,1.6254
022.wav,-0.1117,-0.0479,-0.3123,3.2318,-0.212,1.592
023.wav,-0.1232,-0.0528,0.1934,3.353,0.0351,1.6501
024.wav,-0.113,-0.0484,0.197,3.312,0.042,1.6318
025.wav,-0.0911,-0.039,0.5128,3.5489,0.2108,1.7549
026.wav,-0.0231,-0.0099,0.3595,3.4881,0.1682,1.7391
027.wav,-0.1825,-0.0782,0.3947,3.5204,0.1061,1.7211
028.wav,-0.1349,-0.0578,0.582,3.5256,0.2236,1.7339
029.wav,-0.2237,-0.0959,0.6513,3.6263,0.2138,1.7652
030.wav,-0.0707,-0.0303,0.3125,3.3263,0.1209,1.648
031.wav,-0.1294,-0.0554,0.2935,3.5252,0.0821,1.7349
032.wav,-0.2556,-0.1096,0.665,3.5812,0.2047,1.7358
033.wav,-0.0946,-0.0405,0.2146,3.3692,0.06,1.6643
034.wav,-0.3443,-0.1475,0.2037,3.3429,-0.0703,1.5977
035.wav,-0.0295,-0.0127,-0.0684,3.4476,-0.049,1.7175
036.wav,-0.2434,-0.1043,0.1322,3.1737,-0.0556,1.5347
037.wav,-0.166,-0.0711,0.2066,3.3283,0.0203,1.6286
038.wav,-0.4847,-0.2077,0.178,3.2801,-0.1533,1.5362
039.wav,-0.0545,-0.0234,0.9303,3.8635,0.4379,1.9201
040.wav,-0.0654,-0.028,0.4895,3.5119,0.212,1.7419
041.wav,-0.1467,-0.0629,0.4981,3.4776,0.1757,1.7074
042.wav,-0.2168,-0.0929,0.2122,3.3134,-0.0023,1.6102
043.wav,-0.0775,-0.0332,0.2597,3.3483,0.0911,1.6575
044.wav,-0.1626,-0.0697,-0.2371,3.5554,-0.1998,1.7429
045.wav,-0.1896,-0.0813,0.2507,3.4014,0.0306,1.6601
046.wav,-0.0573,-0.0246,-0.0457,3.1884,-0.0515,1.5819
047.wav,-0.0728,-0.0312,0.5118,3.5262,0.2195,1.7475
048.wav,-0.3465,-0.1485,1.5622,4.1682,0.6079,2.0098
049.wav,-0.1915,-0.0821,0.9885,3.7105,0.3985,1.8142
050.wav,-0.2327,-0.0997,0.8636,3.8416,0.3155,1.8709
051.wav,-0.1536,-0.0658,0.2634,3.318,0.0549,1.6261
052.wav,-0.1015,-0.0435,0.6404,3.5957,0.2695,1.7761
053.wav,-0.1637,-0.0702,0.5568,3.6247,0.1966,1.7773
054.wav,-0.1777,-0.0762,0.8291,3.7186,0.3257,1.8212
055.wav,-0.0984,-0.0422,0.9704,3.8022,0.436,1.88
056.wav,-0.1904,-0.0816,0.2672,3.2737,0.0384,1.596
057.wav,-0.1713,-0.0734,0.2894,3.4211,0.0591,1.6738
058.wav,-0.2513,-0.1077,0.3026,3.2854,0.0257,1.5889
059.wav,-0.0679,-0.0291,0.0065,3.3318,-0.0307,1.6513
060.wav,-0.2556,-0.1095,0.2723,3.3584,0.0084,1.6244
061.wav,-0.209,-0.0896,0.6828,3.6198,0.2369,1.7651
062.wav,-0.0939,-0.0403,0.6329,3.5861,0.2695,1.7729
063.wav,-0.0764,-0.0327,0.2232,3.4728,0.0734,1.72
064.wav,-0.0509,-0.0218,0.0533,3.3607,0.0012,1.6695
065.wav,-0.2883,-0.1235,0.0358,3.079,-0.1263,1.4777
066.wav,-0.13,-0.0557,0.5512,3.5426,0.2106,1.7435
067.wav,-0.0613,-0.0263,0.9595,3.728,0.4491,1.8509
068.wav,-0.0567,-0.0243,-0.1628,3.165,-0.1097,1.5703
069.wav,-0.2521,-0.108,-0.2316,3.088,-0.2418,1.49
070.wav,-0.1468,-0.0629,0.4397,3.4606,0.1464,1.6989
071.wav,-0.184,-0.0789,1.6143,4.2306,0.7152,2.0759
072.wav,-0.2137,-0.0916,0.6715,3.5429,0.2289,1.7256
073.wav,-0.3785,-0.1622,1.3211,4.0544,0.4713,1.9461
074.wav,-0.1011,-0.0433,-0.1028,3.4687,-0.1019,1.7127
075.wav,-0.2505,-0.1074,0.2605,3.4641,0.005,1.6783
076.wav,-0.0734,-0.0315,0.2797,3.3768,0.1031,1.6727
077.wav,-0.143,-0.0613,0.2214,3.3397,0.0392,1.6392
078.wav,-0.1865,-0.0799,0.5434,3.5348,0.1785,1.7274
079.wav,-0.2872,-0.1231,0.1982,3.496,-0.0445,1.6865
080.wav,-0.1798,-0.0771,0.1977,3.4008,0.009,1.6619
081.wav,-0.2905,-0.1245,0.2213,3.3801,-0.0346,1.6278
082.wav,-0.1701,-0.0729,0.2893,3.3786,0.0596,1.6529
083.wav,-0.2112,-0.0905,0.7102,3.6802,0.2495,1.7948
084.wav,-0.1797,-0.077,0.752,3.6859,0.2862,1.8045
085.wav,-0.3447,-0.1477,0.0958,3.2943,-0.1244,1.5733
086.wav,-0.1242,-0.0532,0.2088,3.3119,0.0423,1.6293
087.wav,-0.2326,-0.0997,1.0283,3.8612,0.3979,1.8807
088.wav,-0.1869,-0.0801,1.1817,3.9658,0.4974,1.9429
089.wav,-0.0608,-0.026,0.8071,3.8411,0.3732,1.9075
090.wav,-0.0209,-0.009,1.3375,4.0102,0.6583,2.0006
091.wav,-0.1653,-0.0708,0.8894,3.7412,0.3621,1.8352
092.wav,-0.2201,-0.0943,0.2825,3.3481,0.0312,1.6269
093.wav,-0.1138,-0.0488,1.1207,3.9275,0.5034,1.9393
094.wav,-0.1524,-0.0653,0.4605,3.4871,0.1541,1.7109
095.wav,-0.1517,-0.065,0.9682,3.936,0.4083,1.9355
096.wav,-0.2499,-0.1071,0.677,3.6344,0.2136,1.7637
097.wav,-0.1509,-0.0647,-0.1199,3.3981,-0.1354,1.6667
098.wav,-0.1361,-0.0583,0.3738,3.4157,0.1189,1.6787
099.wav,-0.0842,-0.0361,1.0382,3.848,0.477,1.9059
100.wav,-0.3122,-0.1338,0.367,3.4245,0.0274,1.6454
101.wav,-0.0749,-0.0321,1.1556,3.9412,0.5403,1.9545
102.wav,-0.0512,-0.022,0.5775,3.5736,0.2631,1.7758
103.wav,-0.1878,-0.0805,0.1628,3.2692,-0.0125,1.5943
104.wav,-0.0248,-0.0106,1.1179,3.6066,0.5465,1.798
105.wav,-0.0123,-0.0053,1.9109,4.4437,0.9493,2.2192
106.wav,-0.1617,-0.0693,1.118,3.903,0.4781,1.9169
107.wav,-0.2111,-0.0905,0.5521,3.5936,0.1705,1.7516
108.wav,-0.3007,-0.1289,-0.0899,3.309,-0.1953,1.59
109.wav,-0.1221,-0.0523,0.92,3.5491,0.3989,1.7484
110.wav,-0.0708,-0.0303,0.3231,3.3606,0.1261,1.6651
111.wav,-0.0314,-0.0134,0.211,3.3299,0.0898,1.6582
112.wav,-0.0686,-0.0294,1.8538,4.4018,0.8926,2.1862
113.wav,-0.2739,-0.1174,0.1704,3.3219,-0.0518,1.6023
114.wav,-0.0363,-0.0156,0.5534,3.5536,0.2585,1.769
115.wav,-0.2461,-0.1055,0.4686,3.5473,0.1112,1.7209
116.wav,-0.5267,-0.2257,0.1401,3.3079,-0.1933,1.5411
117.wav,-0.0577,-0.0247,0.8232,3.6715,0.3828,1.8234
118.wav,-0.1057,-0.0453,-0.872,3.8426,-0.4889,1.8986
119.wav,-0.1563,-0.067,0.755,3.6278,0.2993,1.7804
120.wav,-0.5702,-0.2444,0.3557,3.4,-0.1072,1.5778
121.wav,-0.1125,-0.0482,0.3857,3.4447,0.1366,1.6983
122.wav,-0.2206,-0.0945,-0.013,3.1544,-0.1168,1.5299
123.wav,-0.0221,-0.0095,0.4355,3.1569,0.2067,1.5737
124.wav,-0.2234,-0.0958,0.1263,3.2472,-0.0486,1.5757
125.wav,-0.2523,-0.1081,0.1807,3.2164,-0.0358,1.5541
126.wav,-0.3494,-0.1497,0.2489,3.3815,-0.0502,1.6159
127.wav,-0.1129,-0.0484,-0.4543,3.5014,-0.2836,1.7265
128.wav,-0.1019,-0.0437,0.077,3.1339,-0.0125,1.5451
129.wav,-0.2587,-0.1109,0.0312,3.1272,-0.1138,1.5081
130.wav,-0.3526,-0.1511,0.288,3.4721,-0.0323,1.6605
131.wav,-0.1807,-0.0774,0.2816,3.3403,0.0504,1.6314
132.wav,-0.1884,-0.0808,0.5896,3.5669,0.2006,1.7431
133.wav,-0.3173,-0.136,0.3298,3.4216,0.0063,1.6428
134.wav,-0.2558,-0.1096,0.076,3.3555,-0.0899,1.6229
135.wav,-0.3677,-0.1576,0.7143,3.6315,0.1733,1.737
136.wav,-0.112,-0.048,0.253,3.387,0.0705,1.6695
137.wav,-0.3272,-0.1402,0.2848,3.3659,-0.0212,1.6128
138.wav,-0.2783,-0.1193,0.6612,3.6072,0.1915,1.744
139.wav,-0.3632,-0.1557,0.1945,3.3141,-0.0844,1.5792
140.wav,-0.2811,-0.1205,0.0099,3.298,-0.1356,1.5888
141.wav,-0.2388,-0.1023,0.8458,3.6677,0.3035,1.7827
142.wav,-0.3371,-0.1445,0.9883,3.8342,0.3256,1.8449
143.wav,-0.1622,-0.0695,1.7695,4.3323,0.8037,2.1314
144.wav,-0.0224,-0.0096,-0.0545,2.8173,-0.0385,1.4039
145.wav,-0.3347,-0.1434,0.2954,3.1219,-0.0197,1.4893
146.wav,-0.0014,-0.0006,0.19,3.294,0.0943,1.6467
147.wav,-0.0125,-0.0054,1.8435,4.3839,0.9155,2.1893
148.wav,-0.3255,-0.1395,1.3676,4.0684,0.5211,1.9644
149.wav,-0.3365,-0.1442,0.3379,3.4101,0.0007,1.6329
150.wav,-0.1129,-0.0484,1.3987,4.0953,0.6429,2.0235
151.wav,-0.2411,-0.1033,0.6353,3.6004,0.1971,1.7485
152.wav,-0.2331,-0.0999,0.4757,3.4974,0.1213,1.6987
153.wav,-0.295,-0.1264,-0.1202,3.0133,-0.2076,1.4434
154.wav,-0.1249,-0.0535,1.0157,3.8404,0.4454,1.8934
155.wav,-0.2857,-0.1224,0.1905,3.316,-0.0476,1.5968
156.wav,-0.0269,-0.0115,0.292,3.373,0.1325,1.6808
157.wav,-0.1469,-0.063,0.5101,3.4962,0.1816,1.7166
158.wav,-0.5688,-0.2438,0.6703,3.658,0.0508,1.7071
159.wav,-0.455,-0.195,1.8531,4.4015,0.699,2.1033
160.wav,-0.0472,-0.0202,0.837,3.7359,0.3949,1.8578
161.wav,-0.3065,-0.1314,0.2006,3.2938,-0.053,1.5812
162.wav,-0.1483,-0.0635,0.7987,3.4574,0.3252,1.6969
163.wav,-0.1314,-0.0563,0.2472,3.3438,0.0579,1.6438
164.wav,-0.5042,-0.2161,0.2854,3.294,-0.1094,1.5389
165.wav,-0.0179,-0.0077,0.6896,3.6269,0.3358,1.8096
166.wav,-0.3994,-0.1712,0.3887,3.497,-0.0054,1.6629
167.wav,-0.262,-0.1123,0.9465,3.7253,0.3423,1.8065
168.wav,-0.0287,-0.0123,1.2719,4.0156,0.6216,2.0017
169.wav,-0.4318,-0.1851,0.9223,3.92,0.2452,1.8675
170.wav,-0.1502,-0.0644,0.3956,3.4361,0.1227,1.6859
171.wav,-0.4707,-0.2017,0.395,3.4108,-0.0379,1.6046
172.wav,-0.4251,-0.1822,-0.1442,3.3841,-0.2847,1.601
173.wav,-0.4175,-0.1789,0.8353,3.5479,0.2089,1.6845
174.wav,-0.0089,-0.0038,1.9111,4.4439,0.9511,2.22
175.wav,-0.0186,-0.008,0.7595,3.6746,0.3704,1.8333
176.wav,-0.136,-0.0583,0.3244,3.3536,0.0942,1.6477
177.wav,-0.3662,-0.1569,0.322,3.3856,-0.0221,1.6143
178.wav,-0.2002,-0.0858,0.2886,3.3548,0.0442,1.6345
179.wav,-0.112,-0.048,0.2329,3.3242,0.0605,1.6381
180.wav,-0.4582,-0.1964,0.0408,3.2758,-0.2087,1.5397
