filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.1301,-0.0558,1.907,4.4413,0.8885,2.1928
002.wav,-0.0097,-0.0042,1.6552,4.2645,0.8227,2.1302
003.wav,-0.1524,-0.0653,1.5144,4.1632,0.681,2.0489
004.wav,-0.0772,-0.0331,0.7223,3.6588,0.3226,1.8128
005.wav,-0.026,-0.0111,0.6165,3.5811,0.2953,1.785
006.wav,-0.3655,-0.1567,0.3687,3.4257,0.0016,1.6345
007.wav,-0.3396,-0.1455,0.4927,3.5083,0.0766,1.6814
008.wav,-0.404,-0.1731,0.1948,3.3346,-0.1046,1.5807
009.wav,-0.3562,-0.1527,0.3735,3.2226,0.0086,1.5349
010.wav,-0.272,-0.1166,0.2392,3.3348,-0.0164,1.6091
011.wav,-0.3627,-0.1555,0.2228,3.3358,-0.07,1.5902
012.wav,-0.3017,-0.1293,0.2944,3.3812,-0.0037,1.6259
013.wav,-0.0757,-0.0325,0.3825,3.4323,0.1534,1.6999
014.wav,-0.0147,-0.0063,0.2404,3.3442,0.1128,1.669
015.wav,-0.2645,-0.1134,0.7306,3.6533,0.233,1.77
016.wav,-0.2574,-0.1103,0.2752,3.3573,0.0089,1.6235
017.wav,-0.0982,-0.0421,0.1824,3.2409,0.0421,1.5994
018.wav,-0.3631,-0.1556,0.2508,3.3556,-0.0562,1.6
019.wav,-0.1306,-0.056,0.2503,3.3503,0.0598,1.6471
020.wav,-0.1423,-0.061,0.2397,3.3507,0.0487,1.6448
021.wav,-0.2975,-0.1275,1.5458,4.173,0.6242,2.0228
022.wav,-0.1004,-0.043,0.4972,3.516,0.1984,1.7365
023.wav,-0.1281,-0.0549,0.2553,3.4417,0.0636,1.6934
024.wav,-0.1834,-0.0786,1.1528,3.9201,0.4847,1.9207
025.wav,-0.2367,-0.1014,0.3904,3.6002,0.0769,1.7494
026.wav,-0.0189,-0.0081,1.0908,3.8674,0.5359,1.9296
027.wav,-0.101,-0.0433,0.5266,3.5408,0.2128,1.7488
028.wav,-0.209,-0.0896,0.7118,3.6239,0.2514,1.7671
029.wav,-0.0107,-0.0046,0.3563,3.4251,0.1728,1.7103
030.wav,-0.173,-0.0741,0.2484,3.3508,0.0377,1.6383
031.wav,-0.0953,-0.0409,0.1404,3.3053,0.0226,1.6322
032.wav,-0.1205,-0.0516,0.3784,3.4197,0.1289,1.684
033.wav,-0.0228,-0.0098,0.5106,3.5183,0.2439,1.7543
034.wav,-0.0632,-0.0271,0.4746,3.4224,0.2057,1.6977
035.wav,-0.1422,-0.0609,0.7328,3.6457,0.2953,1.7924
036.wav,-0.209,-0.0896,0.69,3.6149,0.2405,1.7626
037.wav,-0.2315,-0.0992,0.1676,3.3079,-0.0319,1.6043
038.wav,-0.0198,-0.0085,0.9901,3.8183,0.4852,1.9049
039.wav,-0.0912,-0.0391,0.8825,3.7323,0.3957,1.8466
040.wav,-0.0713,-0.0306,0.2325,3.3262,0.0806,1.6478
041.wav,-0.0416,-0.0178,0.2998,3.3624,0.1291,1.6723
