filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0592,-0.0254,1.9143,4.4453,0.9276,2.21
002.wav,-0.54,-0.2314,1.5634,4.2121,0.5117,1.9904
003.wav,-0.2511,-0.1076,1.3238,4.067,0.5363,1.9797
004.wav,-0.142,-0.0608,1.7928,4.3494,0.8254,2.1443
005.wav,-0.2846,-0.122,0.4301,3.4386,0.0727,1.6583
006.wav,-0.2588,-0.1109,0.1873,3.3465,-0.0357,1.6178
007.wav,-0.0923,-0.0395,-0.1005,3.2776,-0.0964,1.619
008.wav,-0.1419,-0.0608,0.1523,3.3152,0.0052,1.6272
009.wav,-0.2916,-0.125,1.7284,4.2993,0.7184,2.0871
010.wav,-0.0556,-0.0238,1.6931,4.2908,0.8188,2.1335
011.wav,-0.0732,-0.0314,0.1919,3.3224,0.0593,1.6455
012.wav,-0.356,-0.1526,1.8675,4.4072,0.7558,2.1273
013.wav,-0.3017,-0.1293,0.3154,3.2428,0.0069,1.5568
014.wav,-0.3038,-0.1302,1.336,4.0381,0.5161,1.954
015.wav,-0.1338,-0.0574,0.4801,3.1628,0.1731,1.5527
016.wav,-0.5631,-0.2413,0.145,3.2697,-0.209,1.5142
017.wav,-0.309,-0.1324,1.158,3.9056,0.4245,1.8866
018.wav,-0.1641,-0.0703,-0.0282,3.3707,-0.0962,1.6502
019.wav,-0.104,-0.0446,0.1736,3.3182,0.0348,1.6368
020.wav,-0.4111,-0.1762,0.3786,3.3763,-0.0163,1.6001
021.wav,-0.4024,-0.1725,1.0893,3.8223,0.3434,1.8249
022.wav,-0.3898,-0.1671,0.1788,3.2444,-0.1055,1.5387
023.wav,-0.4169,-0.1787,0.3097,3.3797,-0.0536,1.6005
024.wav,-0.2457,-0.1053,0.7305,3.681,0.2424,1.7878
025.wav,-0.2453,-0.1051,0.3627,3.4324,0.0587,1.6637
026.wav,-0.2005,-0.0859,1.0848,3.9051,0.4422,1.9096
027.wav,-0.2237,-0.0959,0.3182,3.3589,0.0473,1.6315
028.wav,-0.0412,-0.0176,0.2363,3.3531,0.0975,1.6677
029.wav,-0.0568,-0.0243,1.0428,3.8819,0.493,1.9288
030.wav,-0.4984,-0.2136,0.0618,3.3099,-0.2183,1.5482
031.wav,-0.2319,-0.0994,0.7123,3.5494,0.2402,1.725
032.wav,-0.3837,-0.1644,0.2412,3.3409,-0.0712,1.5882
033.wav,-0.108,-0.0463,0.2561,3.3933,0.074,1.6735
034.wav,-0.2407,-0.1032,0.4406,3.5064,0.0999,1.7016
035.wav,-0.3338,-0.143,0.5445,3.539,0.1054,1.698
036.wav,-0.2248,-0.0963,0.1972,3.3319,-0.0138,1.6178
037.wav,-0.3334,-0.1429,0.449,3.5356,0.0578,1.6963
038.wav,-0.356,-0.1526,0.4228,3.4681,0.0334,1.6578
039.wav,-0.1502,-0.0644,0.4337,3.4266,0.1417,1.6811
040.wav,-0.2127,-0.0912,0.0803,3.3971,-0.0662,1.653
041.wav,-0.0519,-0.0223,0.2552,3.3424,0.1016,1.6601
042.wav,-0.2436,-0.1044,-0.3148,3.2908,-0.2792,1.5932
043.wav,-0.0696,-0.0298,0.1978,3.3203,0.0641,1.6453
044.wav,-0.3689,-0.1581,0.7292,3.5065,0.1802,1.6742
