filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0053,-0.0023,1.8084,4.3604,0.9016,2.1791
002.wav,-0.0118,-0.0051,1.9127,4.4449,0.9504,2.2199
003.wav,-0.0072,-0.0031,0.5632,3.5705,0.278,1.7837
004.wav,-0.02,-0.0086,0.5094,3.5112,0.2447,1.7513
005.wav,-0.0037,-0.0016,1.2284,3.989,0.6124,1.9937
006.wav,-0.0021,-0.0009,1.5643,4.1715,0.7811,2.0853
007.wav,-0.0058,-0.0025,0.1399,2.717,0.0671,1.3573
008.wav,-0.0126,-0.0054,0.5802,3.5495,0.2838,1.772
009.wav,-0.0076,-0.0032,0.2742,3.373,0.1333,1.6849
010.wav,-0.0085,-0.0037,1.5174,4.1239,0.7544,2.0601
011.wav,-0.007,-0.003,0.3896,3.4832,0.1913,1.7401
012.wav,-0.0279,-0.012,0.8698,3.7514,0.421,1.8697
013.wav,-0.0241,-0.0103,0.7492,3.6593,0.3625,1.8245
014.wav,-0.0116,-0.005,0.4637,3.3031,0.2261,1.6491
015.wav,-0.0067,-0.0029,0.6678,3.7935,0.3305,1.8953
016.wav,-0.0145,-0.0062,0.7887,3.6821,0.3871,1.8379
017.wav,-0.0013,-0.0006,0.9946,3.8342,0.4966,1.9168
018.wav,-0.0117,-0.005,0.1967,3.3232,0.0925,1.6591
019.wav,-0.0087,-0.0037,0.1845,3.3145,0.0879,1.6554
020.wav,-0.0058,-0.0025,-0.0292,2.984,-0.0175,1.4908
021.wav,-0.0123,-0.0053,1.6821,4.2702,0.8349,2.1325
022.wav,-0.0203,-0.0087,0.849,3.6906,0.4143,1.841
023.wav,-0.0268,-0.0115,0.2379,3.3598,0.1056,1.6742
024.wav,-0.0333,-0.0143,0.8972,3.7322,0.432,1.859
025.wav,-0.0424,-0.0182,0.2583,3.3562,0.108,1.669
026.wav,-0.0059,-0.0025,0.278,3.3663,0.1361,1.6819
027.wav,-0.0036,-0.0016,0.1084,3.256,0.0524,1.6272
028.wav,-0.007,-0.003,1.0536,3.8564,0.5233,1.9267
029.wav,-0.0081,-0.0035,0.3122,3.3863,0.152,1.6914
030.wav,-0.0303,-0.013,0.4157,3.4611,0.1927,1.7241
031.wav,-0.0073,-0.0031,0.204,3.3245,0.0983,1.6607
032.wav,-0.0105,-0.0045,0.6392,3.5946,0.3143,1.795
033.wav,-0.0068,-0.0029,0.5534,3.5725,0.2733,1.7848
034.wav,-0.0119,-0.0051,1.6625,4.2426,0.8253,2.1187
035.wav,-0.0103,-0.0044,0.1477,3.248,0.0687,1.6218
036.wav,-0.0057,-0.0025,0.2386,3.3476,0.1164,1.6726
037.wav,-0.0072,-0.0031,0.2228,3.3383,0.1078,1.6676
038.wav,-0.0036,-0.0015,0.4882,3.4823,0.2423,1.7404
039.wav,-0.0026,-0.0011,-0.2855,3.3184,-0.144,1.6586
040.wav,-0.0073,-0.0031,0.1053,3.4548,0.049,1.7258
041.wav,-0.0089,-0.0038,0.477,3.6719,0.234,1.8341
042.wav,-0.0111,-0.0048,0.8569,3.6838,0.4229,1.8395
043.wav,-0.0137,-0.0059,0.254,3.3557,0.1202,1.6749
044.wav,-0.0125,-0.0054,0.6794,3.668,0.3334,1.8313
045.wav,-0.0048,-0.0021,1.1879,3.9195,0.5915,1.9587
046.wav,-0.0119,-0.0051,0.3699,3.3334,0.179,1.6641
047.wav,-0.0046,-0.002,1.2854,4.01,0.6404,2.004
048.wav,-0.0232,-0.0099,0.3768,3.3336,0.1768,1.6618
049.wav,-0.0165,-0.0071,0.4447,3.4423,0.2141,1.7176
050.wav,-0.0048,-0.002,0.042,3.2705,0.0186,1.6342
051.wav,-0.023,-0.0099,0.3487,3.2881,0.1629,1.6391
052.wav,-0.0205,-0.0088,0.1537,3.2776,0.0666,1.6344
053.wav,-0.0077,-0.0033,0.4306,3.5135,0.2115,1.7551
054.wav,-0.0505,-0.0216,0.8337,3.7952,0.3916,1.8868
055.wav,-0.0106,-0.0046,0.9974,3.8657,0.4934,1.9306
056.wav,-0.006,-0.0026,1.2891,3.975,0.6416,1.9862
057.wav,-0.0449,-0.0192,0.1359,3.2823,0.0455,1.6316
058.wav,-0.0166,-0.0071,0.6803,3.6346,0.3319,1.8138
059.wav,-0.043,-0.0184,0.0034,3.2174,-0.0198,1.5995
060.wav,-0.0013,-0.0006,-0.108,3.3555,-0.0547,1.6774
061.wav,-0.0139,-0.006,0.5192,3.5142,0.2526,1.7541
062.wav,-0.0299,-0.0128,0.4121,3.4429,0.1911,1.715
063.wav,-0.0793,-0.034,0.244,3.347,0.0824,1.6565
064.wav,-0.0081,-0.0035,0.2729,3.3647,0.1324,1.6806
065.wav,-0.0135,-0.0058,0.375,3.2442,0.1808,1.6192
066.wav,-0.0233,-0.01,0.2633,3.533,0.12,1.7615
067.wav,-0.0363,-0.0156,0.401,3.3762,0.1823,1.6803
068.wav,-0.0014,-0.0006,0.7498,3.7174,0.3742,1.8584
069.wav,-0.0041,-0.0018,0.7951,3.5606,0.3955,1.7794
070.wav,-0.0073,-0.0031,1.209,3.9606,0.6008,1.9787
071.wav,-0.0115,-0.0049,0.47,3.4522,0.2293,1.7236
072.wav,-0.0534,-0.0229,0.2846,3.2971,0.1156,1.6371
073.wav,-0.0879,-0.0377,0.6362,3.5889,0.2742,1.7756
074.wav,-0.0065,-0.0028,0.5694,3.4705,0.2814,1.7339
075.wav,-0.049,-0.021,0.1778,3.2502,0.0644,1.6146
076.wav,-0.0162,-0.007,0.6778,3.6302,0.3308,1.8116
077.wav,-0.0051,-0.0022,0.2839,3.388,0.1394,1.6929
078.wav,-0.0082,-0.0035,0.5274,3.7288,0.2596,1.8626
079.wav,-0.023,-0.0098,1.8008,4.3521,0.8889,2.1711
080.wav,-0.0527,-0.0226,0.8245,3.7496,0.3859,1.8635
081.wav,-0.0833,-0.0357,0.2574,3.4354,0.087,1.6999
082.wav,-0.0066,-0.0028,0.5205,3.7869,0.2569,1.892
083.wav,-0.0331,-0.0142,0.5573,3.5364,0.2621,1.7611
084.wav,-0.0089,-0.0038,0.7528,3.5426,0.3719,1.7694
085.wav,-0.0019,-0.0008,0.4274,3.6964,0.2127,1.8478
086.wav,-0.0648,-0.0278,0.4891,3.4425,0.2122,1.7074
087.wav,-0.0306,-0.0131,0.7269,3.5608,0.3481,1.7738
088.wav,-0.011,-0.0047,0.2049,3.2643,0.0969,1.6298
