filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0216,-0.0092,1.912,4.4445,0.9452,2.2176
002.wav,-0.2646,-0.1134,0.0398,3.5114,-0.1124,1.699
003.wav,-0.5463,-0.2341,1.1343,3.8923,0.294,1.8291
004.wav,-0.5405,-0.2317,0.2155,3.3127,-0.1625,1.5405
005.wav,-0.3372,-0.1445,0.7093,3.6677,0.1861,1.7616
006.wav,-0.2404,-0.103,0.0099,3.5955,-0.1152,1.7463
007.wav,-0.3217,-0.1379,0.5494,3.4216,0.1139,1.6419
008.wav,-0.4436,-0.1901,0.2288,3.3332,-0.1074,1.5715
009.wav,-0.3584,-0.1536,-0.0106,3.1576,-0.1845,1.502
010.wav,-0.3939,-0.1688,0.0475,3.1747,-0.1732,1.5029
011.wav,-0.343,-0.147,0.3164,3.2669,-0.0133,1.56
012.wav,-0.5576,-0.239,1.1489,3.9003,0.2957,1.8307
013.wav,-0.183,-0.0784,0.3535,3.4039,0.0853,1.6627
014.wav,-0.2427,-0.104,0.2246,3.3012,-0.0091,1.5986
015.wav,-0.3818,-0.1636,0.3573,3.4373,-0.0122,1.6368
016.wav,-0.2233,-0.0957,0.2985,3.3892,0.0376,1.6467
017.wav,-0.3872,-0.1659,0.3308,3.4041,-0.0282,1.6191
018.wav,-0.4401,-0.1886,0.5089,3.5202,0.0344,1.6658
019.wav,-0.27,-0.1157,0.6532,3.6104,0.1916,1.7474
020.wav,-0.385,-0.165,0.4081,3.4545,0.0115,1.6447
021.wav,-0.3852,-0.1651,0.2287,3.323,-0.0782,1.579
022.wav,-0.2783,-0.1193,0.804,3.8165,0.2629,1.8486
023.wav,-0.0887,-0.038,0.6089,3.704,0.2601,1.833
024.wav,-0.1827,-0.0783,0.5486,3.5558,0.1829,1.7387
025.wav,-0.4592,-0.1968,0.8822,3.7917,0.2115,1.7974
026.wav,-0.5251,-0.2251,0.2158,3.3195,-0.1547,1.5472
027.wav,-0.5413,-0.232,0.4486,3.3664,-0.0463,1.5672
028.wav,-0.5357,-0.2296,0.918,3.7791,0.1912,1.7748
029.wav,-0.1947,-0.0835,0.2419,3.3887,0.0236,1.6526
030.wav,-0.2831,-0.1213,0.5312,3.5216,0.124,1.7001
031.wav,-0.5538,-0.2374,0.4971,3.453,-0.0284,1.6078
032.wav,-0.4744,-0.2033,0.9333,3.7957,0.2294,1.7962
033.wav,-0.5851,-0.2507,0.5209,3.5605,-0.0321,1.6549
034.wav,-0.5394,-0.2312,0.8593,3.7674,0.16,1.7681
035.wav,-0.3966,-0.17,0.1082,3.3136,-0.1442,1.5718
036.wav,-0.2393,-0.1025,0.3353,3.4088,0.048,1.6531
037.wav,-0.5538,-0.2373,0.2698,3.3252,-0.142,1.5439
038.wav,-0.5587,-0.2394,0.5079,3.4283,-0.0254,1.5945
039.wav,-0.4609,-0.1975,0.2074,3.3558,-0.1267,1.5792
040.wav,-0.4274,-0.1832,-0.0407,3.3948,-0.2341,1.6058
041.wav,-0.4697,-0.2013,0.6099,3.6435,0.0701,1.7211
042.wav,-0.4599,-0.1971,0.1833,3.5887,-0.1383,1.6958
043.wav,-0.3059,-0.1311,0.3939,3.4677,0.044,1.6683
044.wav,-0.5845,-0.2505,0.147,3.4733,-0.2188,1.6114
045.wav,-0.4961,-0.2126,0.5209,3.4815,0.0124,1.6345
046.wav,-0.4669,-0.2001,0.1913,3.3347,-0.1378,1.5673
047.wav,-0.5131,-0.2199,0.6441,3.5893,0.0655,1.6847
048.wav,-0.5156,-0.221,0.1861,3.2713,-0.1647,1.5251
049.wav,-0.5586,-0.2394,1.3028,4.0023,0.3721,1.8814
050.wav,-0.5757,-0.2467,0.0131,3.2504,-0.2813,1.5018
051.wav,-0.4882,-0.2092,0.5785,3.4783,0.0451,1.6345
052.wav,-0.3818,-0.1636,0.3169,3.3332,-0.0324,1.5848
053.wav,-0.5274,-0.226,0.8969,3.7604,0.1847,1.7672
054.wav,-0.0882,-0.0378,0.3687,3.4536,0.1402,1.7079
055.wav,-0.4669,-0.2001,-0.0842,3.1821,-0.2755,1.491
056.wav,-0.3992,-0.1711,-0.0376,3.1949,-0.2184,1.5119
057.wav,-0.5166,-0.2214,0.2497,3.3954,-0.1334,1.587
058.wav,-0.5618,-0.2408,0.7775,3.7031,0.1079,1.7312
059.wav,-0.3158,-0.1353,-0.2136,3.0688,-0.2647,1.4667
060.wav,-0.4301,-0.1843,0.5833,3.6229,0.0766,1.7193
061.wav,-0.5703,-0.2444,0.2261,3.3095,-0.1721,1.5326
062.wav,-0.5613,-0.2405,1.0166,3.8024,0.2277,1.7809
063.wav,-0.3619,-0.1551,0.5922,3.6327,0.1151,1.7388
064.wav,-0.5585,-0.2394,0.2169,3.3725,-0.1708,1.5666
065.wav,-0.5468,-0.2343,0.5468,3.504,0.0,1.6348
066.wav,-0.4943,-0.2118,0.3088,3.4101,-0.0928,1.5991
067.wav,-0.5421,-0.2323,0.3736,3.4323,-0.0842,1.6
068.wav,-0.539,-0.231,0.5217,3.5641,-0.0086,1.6666
069.wav,-0.5041,-0.216,1.0055,3.8206,0.2507,1.8023
070.wav,-0.4053,-0.1737,0.7378,3.6573,0.1662,1.7418
071.wav,-0.5399,-0.2314,0.3953,3.4451,-0.0723,1.6069
072.wav,-0.5655,-0.2424,1.6112,4.2314,0.5228,1.9945
073.wav,-0.504,-0.216,0.391,3.4449,-0.0565,1.6144
074.wav,-0.3533,-0.1514,0.4323,3.4435,0.0395,1.6461
075.wav,-0.111,-0.0476,1.1428,3.899,0.5159,1.9257
076.wav,-0.3283,-0.1407,0.9418,3.799,0.3067,1.8292
077.wav,-0.2665,-0.1142,0.5176,3.5049,0.1256,1.6953
078.wav,-0.3516,-0.1507,0.3906,3.434,0.0195,1.6417
079.wav,-0.0182,-0.0078,0.3076,3.3848,0.1447,1.6885
