filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0108,-0.0046,1.7799,4.3403,0.8846,2.1678
002.wav,-0.0447,-0.0192,0.6719,3.6197,0.3136,1.8003
003.wav,-0.1452,-0.0622,1.404,4.0867,0.6294,2.0122
004.wav,-0.0119,-0.0051,0.5341,3.6107,0.2611,1.8028
005.wav,-0.1517,-0.065,0.6584,3.5604,0.2534,1.7477
006.wav,-0.01,-0.0043,0.9772,3.8038,0.4836,1.8998
007.wav,-0.0524,-0.0225,0.1185,3.3009,0.033,1.6392
008.wav,-0.0624,-0.0268,0.2016,3.3445,0.0696,1.6589
009.wav,-0.1103,-0.0473,0.5208,3.491,0.2052,1.7219
010.wav,-0.0702,-0.0301,0.4657,3.4881,0.1978,1.729
011.wav,-0.0752,-0.0322,0.8674,3.6801,0.3961,1.8239
012.wav,-0.0587,-0.0252,0.1789,3.3204,0.0601,1.6476
013.wav,-0.159,-0.0682,0.2809,3.3839,0.061,1.6579
014.wav,-0.239,-0.1024,0.2072,3.3144,-0.0159,1.606
015.wav,-0.0198,-0.0085,-0.1346,3.7034,-0.0772,1.8474
016.wav,-0.1341,-0.0575,0.1863,3.3068,0.0261,1.6247
017.wav,-0.2154,-0.0923,0.0004,3.25,-0.1075,1.5788
018.wav,-0.0596,-0.0255,0.3392,3.3453,0.1398,1.6599
019.wav,-0.0403,-0.0173,0.1417,3.2245,0.0507,1.6036
020.wav,-0.2262,-0.0969,0.5605,3.5624,0.1672,1.7328
021.wav,-0.0217,-0.0093,0.5372,3.5324,0.2577,1.7616
022.wav,-0.0083,-0.0036,0.3077,3.3932,0.1497,1.6948
023.wav,-0.0397,-0.017,0.3419,3.377,0.1511,1.68
024.wav,-0.1635,-0.0701,0.4658,3.5011,0.1512,1.7155
025.wav,-0.037,-0.0159,0.7208,3.648,0.3419,1.8161
026.wav,-0.1645,-0.0705,0.3206,3.3736,0.0781,1.6515
027.wav,-0.1956,-0.0838,0.5925,3.5399,0.1984,1.728
028.wav,-0.155,-0.0664,0.7874,3.7029,0.3162,1.8182
029.wav,-0.0317,-0.0136,0.8473,3.7373,0.4078,1.8618
030.wav,-0.0217,-0.0093,1.1825,3.9206,0.5804,1.9557
031.wav,-0.0028,-0.0012,0.2735,3.3666,0.1353,1.6827
032.wav,-0.0072,-0.0031,-0.1462,3.2226,-0.0767,1.6098
033.wav,-0.1246,-0.0534,0.3033,2.9695,0.0893,1.458
034.wav,-0.0518,-0.0222,0.5188,3.5188,0.2335,1.7483
035.wav,-0.1455,-0.0624,0.6005,3.5371,0.2275,1.7374
036.wav,-0.0986,-0.0422,0.1793,3.3161,0.0403,1.6369
037.wav,-0.0238,-0.0102,0.2703,3.4153,0.1232,1.7025
038.wav,-0.0633,-0.0271,0.2749,3.3293,0.1058,1.6511
039.wav,-0.0516,-0.0221,1.0465,3.865,0.4974,1.9214
040.wav,-0.1298,-0.0556,1.2512,3.921,0.5607,1.9327
041.wav,-0.0648,-0.0278,0.7038,3.6675,0.3195,1.8199
042.wav,-0.0465,-0.0199,0.1555,3.2937,0.0545,1.6369
043.wav,-0.0889,-0.0381,0.3735,3.4231,0.1423,1.6925
044.wav,-0.021,-0.009,0.1242,3.3532,0.0516,1.6721
045.wav,-0.0595,-0.0255,0.4038,3.4636,0.1722,1.719
046.wav,-0.0316,-0.0135,0.1799,3.3226,0.0742,1.6546
047.wav,-0.088,-0.0377,0.9516,3.8244,0.4318,1.8933
048.wav,-0.0603,-0.0258,0.3012,3.3241,0.1204,1.6491
049.wav,-0.1199,-0.0514,0.3876,3.4023,0.1338,1.6755
050.wav,-0.0955,-0.0409,0.7626,3.6019,0.3335,1.7805
051.wav,-0.0867,-0.0372,0.183,3.203,0.0482,1.5829
052.wav,-0.0668,-0.0286,0.7784,3.6531,0.3558,1.8122
053.wav,-0.0102,-0.0044,0.5209,3.5335,0.2554,1.7646
054.wav,-0.1635,-0.0701,0.2899,3.378,0.0632,1.6539
055.wav,-0.0162,-0.0069,0.2093,3.3345,0.0966,1.6638
056.wav,-0.0476,-0.0204,0.6378,3.6133,0.2951,1.7964
057.wav,-0.0467,-0.02,0.2266,3.3447,0.09,1.6624
058.wav,-0.0525,-0.0225,0.2288,3.3415,0.0882,1.6595
059.wav,-0.1114,-0.0477,0.6098,3.5876,0.2492,1.7699
060.wav,-0.0271,-0.0116,1.448,4.1179,0.7105,2.0532
061.wav,-0.2089,-0.0895,1.1654,3.931,0.4782,1.9207
062.wav,-0.0726,-0.0311,0.5379,3.517,0.2327,1.7429
063.wav,-0.0304,-0.013,1.4964,4.0799,0.733,2.0334
064.wav,-0.1071,-0.0459,0.5032,3.5139,0.1981,1.734
065.wav,-0.1409,-0.0604,0.1952,3.3098,0.0271,1.6247
066.wav,-0.1676,-0.0718,0.4845,3.4923,0.1584,1.7102
067.wav,-0.0357,-0.0153,0.6074,3.5455,0.2859,1.7651
068.wav,-0.029,-0.0124,0.8093,3.6182,0.3901,1.8029
069.wav,-0.1589,-0.0681,0.3872,3.4346,0.1142,1.6833
070.wav,-0.2395,-0.1027,1.3931,4.0923,0.5768,1.9948
071.wav,-0.0992,-0.0425,1.4174,4.063,0.6591,2.0102
072.wav,-0.0025,-0.0011,0.211,3.3299,0.1043,1.6644
073.wav,-0.0356,-0.0153,1.7865,4.3407,0.8754,2.1627
074.wav,-0.0089,-0.0038,0.8549,3.6476,0.423,1.8219
075.wav,-0.0814,-0.0349,0.2766,3.3713,0.0976,1.6682
076.wav,-0.0067,-0.0029,0.1292,3.5028,0.0613,1.75
077.wav,-0.1538,-0.0659,0.7783,3.682,0.3123,1.8081
078.wav,-0.1513,-0.0648,0.3823,3.4122,0.1155,1.6737
079.wav,-0.0401,-0.0172,0.2964,3.3421,0.1282,1.6625
080.wav,-0.0166,-0.0071,0.6875,3.5552,0.3354,1.774
081.wav,-0.0138,-0.0059,0.5933,3.5808,0.2898,1.7874
082.wav,-0.0344,-0.0147,0.4885,3.4826,0.227,1.734
083.wav,-0.1412,-0.0605,0.3535,3.4215,0.1062,1.6805
084.wav,-0.0116,-0.005,0.2022,3.3297,0.0953,1.6623
085.wav,-0.0178,-0.0076,0.3924,3.3379,0.1873,1.6651
086.wav,-0.0712,-0.0305,0.6749,3.6289,0.3018,1.7992
087.wav,-0.0158,-0.0068,0.0933,3.1861,0.0387,1.5897
088.wav,-0.0639,-0.0274,0.2239,3.3343,0.08,1.6535
089.wav,-0.0504,-0.0216,0.4696,3.4791,0.2096,1.7288
090.wav,-0.0101,-0.0043,0.3569,3.3819,0.1734,1.6888
091.wav,-0.0286,-0.0122,0.5075,3.5262,0.2395,1.757
092.wav,-0.1078,-0.0462,0.6146,3.5865,0.2534,1.7701
093.wav,-0.0102,-0.0044,0.5298,3.5279,0.2598,1.7618
094.wav,-0.0516,-0.0221,0.3034,3.3715,0.1259,1.6747
095.wav,-0.0095,-0.0041,0.6886,3.659,0.3396,1.8274
096.wav,-0.0252,-0.0108,0.9439,3.7925,0.4594,1.8908
097.wav,-0.0184,-0.0079,0.2246,3.3407,0.1031,1.6664
098.wav,-0.0944,-0.0405,1.0168,3.857,0.4612,1.9083
099.wav,-0.0037,-0.0016,0.3295,3.4846,0.1629,1.7415
100.wav,-0.0068,-0.0029,0.6095,3.6004,0.3014,1.7987
101.wav,-0.0027,-0.0012,0.1636,3.3922,0.0804,1.6955
102.wav,-0.0438,-0.0188,0.5509,3.5624,0.2536,1.7718
103.wav,-0.007,-0.003,0.8808,3.7651,0.4369,1.881
104.wav,-0.0045,-0.0019,0.2549,3.3487,0.1252,1.6734
105.wav,-0.1691,-0.0725,0.3371,3.401,0.084,1.6643
106.wav,-0.1282,-0.055,0.1802,3.1826,0.026,1.5638
107.wav,-0.0216,-0.0093,-0.0388,3.1525,-0.0302,1.5716
108.wav,-0.0109,-0.0047,0.2006,3.2411,0.0948,1.6182
109.wav,-0.0026,-0.0011,1.8397,4.3867,0.9185,2.1928
110.wav,-0.0335,-0.0143,1.1179,3.6066,0.5422,1.7961
111.wav,-0.0513,-0.022,0.7298,3.4898,0.3393,1.7339
112.wav,-0.0041,-0.0018,1.799,4.3555,0.8974,2.1769
113.wav,-0.0805,-0.0345,0.6307,3.688,0.2751,1.8267
114.wav,-0.0515,-0.0221,0.6703,3.6076,0.3094,1.7928
115.wav,-0.0903,-0.0387,0.2139,3.3338,0.0618,1.6475
116.wav,-0.2235,-0.0958,0.2365,3.3647,0.0065,1.6345
117.wav,-0.1441,-0.0617,0.1978,3.3121,0.0269,1.6252
118.wav,-0.1015,-0.0435,0.573,3.6223,0.2358,1.7894
119.wav,-0.0049,-0.0021,1.9094,4.4428,0.9522,2.2204
120.wav,-0.0078,-0.0034,1.9079,4.4417,0.95,2.2192
