filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.01,-0.0043,1.9094,4.4428,0.9497,2.2193
002.wav,-0.0019,-0.0008,1.7185,4.2403,0.8583,2.1197
003.wav,-0.0289,-0.0124,0.5273,3.5315,0.2492,1.7596
004.wav,-0.1125,-0.0482,0.1012,3.2819,-0.0056,1.6168
005.wav,-0.0097,-0.0041,0.3948,3.453,0.1926,1.7244
006.wav,-0.0016,-0.0007,0.4469,3.4759,0.2227,1.7376
007.wav,-0.0082,-0.0035,0.2073,3.3044,0.0995,1.6504
008.wav,-0.028,-0.012,0.2121,3.3349,0.092,1.6615
009.wav,-0.0266,-0.0114,0.3968,3.4037,0.1851,1.6961
010.wav,-0.0239,-0.0102,0.3699,3.4189,0.173,1.7043
011.wav,-0.0111,-0.0047,0.2177,3.4293,0.1033,1.7123
012.wav,-0.0121,-0.0052,0.4736,3.509,0.2308,1.7519
013.wav,-0.0066,-0.0028,0.2692,3.3709,0.1313,1.6841
014.wav,-0.0132,-0.0056,0.4341,3.4723,0.2105,1.7333
015.wav,-0.0094,-0.004,0.1646,3.3101,0.0776,1.653
016.wav,-0.0264,-0.0113,1.6685,4.1961,0.821,2.0924
017.wav,-0.0292,-0.0125,1.6248,4.1924,0.7978,2.0899
018.wav,-0.0233,-0.01,1.0302,3.8862,0.5034,1.9381
019.wav,-0.0554,-0.0237,0.2756,3.3753,0.1101,1.6758
020.wav,-0.0266,-0.0114,-0.1198,3.2609,-0.0732,1.6247
021.wav,-0.0565,-0.0242,0.5214,3.581,0.2324,1.7784
022.wav,-0.0308,-0.0132,0.2145,3.3672,0.0918,1.677
023.wav,-0.0347,-0.0149,0.6369,3.6875,0.3011,1.8363
024.wav,-0.0592,-0.0254,0.8816,3.7955,0.4112,1.8851
025.wav,-0.0674,-0.0289,0.7502,3.6013,0.3414,1.7862
026.wav,-0.0159,-0.0068,0.6773,3.6478,0.3307,1.8205
027.wav,-0.0124,-0.0053,0.024,3.4237,0.0058,1.7092
028.wav,-0.0083,-0.0036,0.2287,3.3419,0.1102,1.6692
029.wav,-0.0285,-0.0122,0.3018,3.3866,0.1366,1.6872
030.wav,-0.0278,-0.0119,1.157,3.8904,0.5646,1.9392
031.wav,-0.0097,-0.0042,0.1211,3.3397,0.0557,1.6678
032.wav,-0.0237,-0.0102,0.6411,3.5965,0.3087,1.7932
033.wav,-0.092,-0.0394,0.4883,3.4927,0.1982,1.7266
034.wav,-0.0242,-0.0104,-0.0187,3.2037,-0.0214,1.5967
035.wav,-0.0549,-0.0235,0.0639,3.3846,0.0045,1.6805
036.wav,-0.0438,-0.0188,0.4655,3.5588,0.2109,1.77
037.wav,-0.0562,-0.0241,0.2361,3.2985,0.0899,1.6372
038.wav,-0.0481,-0.0206,-0.3188,3.6471,-0.1835,1.8132
039.wav,-0.0446,-0.0191,1.0896,3.7098,0.5225,1.8453
040.wav,-0.0124,-0.0053,0.8158,3.7731,0.4017,1.8839
041.wav,-0.0095,-0.0041,0.4665,3.3284,0.2285,1.6622
042.wav,-0.1162,-0.0498,0.2916,3.4455,0.0877,1.6979
043.wav,-0.0412,-0.0177,0.2509,3.3706,0.1048,1.6765
044.wav,-0.0298,-0.0128,0.6115,3.6114,0.2909,1.7993
045.wav,-0.0228,-0.0098,0.5388,3.5543,0.258,1.7722
046.wav,-0.0385,-0.0165,0.1865,3.4144,0.074,1.6989
047.wav,-0.0131,-0.0056,0.437,3.3837,0.2119,1.689
048.wav,-0.0297,-0.0127,0.6826,3.7332,0.3265,1.8602
049.wav,-0.0536,-0.023,0.2221,3.3429,0.0843,1.66
050.wav,-0.0113,-0.0049,1.0749,3.8812,0.5318,1.9382
051.wav,-0.0193,-0.0083,1.3902,4.0744,0.6854,2.0331
052.wav,-0.0405,-0.0174,1.0509,3.9055,0.5052,1.9441
053.wav,-0.0371,-0.0159,0.5812,3.5216,0.2721,1.7528
054.wav,-0.0368,-0.0158,1.5032,4.1512,0.7332,2.0677
055.wav,-0.0339,-0.0145,0.253,3.4017,0.1095,1.6936
056.wav,-0.0038,-0.0016,0.1813,3.342,0.0888,1.6702
057.wav,-0.0638,-0.0273,0.3193,3.4062,0.1277,1.6894
058.wav,-0.0231,-0.0099,0.2022,3.345,0.0895,1.6675
059.wav,-0.0492,-0.0211,0.7807,3.7109,0.3657,1.8449
060.wav,-0.0195,-0.0084,0.5429,3.5419,0.2617,1.7668
061.wav,-0.0153,-0.0065,0.2453,3.3499,0.115,1.6717
062.wav,-0.0474,-0.0203,-0.2499,3.1802,-0.1487,1.58
063.wav,-0.0234,-0.01,0.2791,3.4125,0.1279,1.7012
064.wav,-0.0117,-0.005,0.6271,3.7824,0.3077,1.8887
065.wav,-0.0245,-0.0105,0.5328,3.518,0.2542,1.7538
066.wav,-0.14,-0.06,0.1459,3.3793,0.003,1.6597
067.wav,-0.0056,-0.0024,0.207,3.3616,0.1007,1.6796
068.wav,-0.0048,-0.0021,0.1142,3.4564,0.0547,1.7272
069.wav,-0.0401,-0.0172,0.0201,3.299,-0.01,1.6409
070.wav,-0.0832,-0.0357,0.81,3.7037,0.3634,1.834
071.wav,-0.0161,-0.0069,1.132,3.8711,0.558,1.9321
072.wav,-0.0589,-0.0252,0.0574,3.3092,-0.0007,1.642
073.wav,-0.0424,-0.0182,0.4627,3.4663,0.2102,1.724
074.wav,-0.0132,-0.0056,0.5118,3.5366,0.2493,1.7655
075.wav,-0.0071,-0.003,1.2604,4.0112,0.6267,2.0041
076.wav,-0.0248,-0.0106,0.1827,3.4728,0.079,1.7311
077.wav,-0.0037,-0.0016,0.2321,3.3338,0.1142,1.6661
078.wav,-0.0688,-0.0295,0.3554,3.4244,0.1433,1.6975
079.wav,-0.0146,-0.0063,0.434,3.4656,0.2097,1.7296
080.wav,-0.0285,-0.0122,0.3036,3.39,0.1376,1.6889
081.wav,-0.0414,-0.0178,0.2713,3.3709,0.1149,1.6766
082.wav,-0.0034,-0.0014,0.4793,3.4708,0.238,1.7347
083.wav,-0.028,-0.012,0.3212,3.3409,0.1466,1.6645
084.wav,-0.0162,-0.007,0.3329,3.4235,0.1583,1.7083
085.wav,-0.0303,-0.013,0.1178,3.3484,0.0437,1.6677
086.wav,-0.0368,-0.0158,0.3254,3.4661,0.1443,1.7252
087.wav,-0.0214,-0.0092,0.5742,3.5701,0.2764,1.7805
088.wav,-0.0472,-0.0202,0.2102,3.3324,0.0815,1.6561
089.wav,-0.0564,-0.0242,0.5613,3.5626,0.2525,1.7692
090.wav,-0.0441,-0.0189,0.2289,3.2601,0.0924,1.6206
091.wav,-0.0394,-0.0169,0.479,3.6116,0.2198,1.7974
092.wav,-0.0265,-0.0114,0.4088,3.5296,0.1912,1.7591
093.wav,-0.0245,-0.0105,0.1375,3.29,0.0565,1.6398
094.wav,-0.0355,-0.0152,0.2738,3.3329,0.1191,1.6589
095.wav,-0.0171,-0.0073,0.2999,3.3261,0.1414,1.6594
096.wav,-0.0169,-0.0073,1.8758,4.4165,0.9294,2.2046
097.wav,-0.0011,-0.0005,0.3286,3.4374,0.1637,1.7185
