filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0325,-0.0139,1.9143,4.4454,0.9409,2.2158
002.wav,-0.0877,-0.0376,1.0737,3.8817,0.493,1.922
003.wav,-0.466,-0.1997,0.4067,3.4443,-0.0296,1.6223
004.wav,-0.0836,-0.0358,0.2037,3.3075,0.06,1.6359
005.wav,-0.0628,-0.0269,0.8935,3.7402,0.4153,1.8566
006.wav,-0.1617,-0.0693,-0.0167,3.2563,-0.0892,1.5935
007.wav,-0.0487,-0.0209,0.6576,3.5659,0.3044,1.7725
008.wav,-0.1369,-0.0587,0.6446,3.6699,0.2538,1.8056
009.wav,-0.1404,-0.0602,0.2932,3.3902,0.0764,1.665
010.wav,-0.2628,-0.1126,0.5868,3.5871,0.162,1.7372
011.wav,-0.0407,-0.0175,1.7019,4.2787,0.8306,2.1306
012.wav,-0.2272,-0.0974,0.5123,3.5021,0.1425,1.7023
013.wav,-0.0475,-0.0203,1.4968,4.1616,0.7246,2.0706
014.wav,-0.1972,-0.0845,0.2947,3.3821,0.0487,1.6488
015.wav,-0.0536,-0.023,0.5906,3.531,0.2685,1.754
016.wav,-0.0432,-0.0185,1.7898,4.3598,0.8733,2.1706
017.wav,-0.1442,-0.0618,0.1844,3.3363,0.0201,1.6372
018.wav,-0.2024,-0.0868,0.5501,3.5152,0.1738,1.7142
019.wav,-0.1993,-0.0854,0.1129,3.3521,-0.0432,1.6333
020.wav,-0.0509,-0.0218,0.3028,3.3649,0.126,1.6716
021.wav,-0.0415,-0.0178,1.279,3.9836,0.6188,1.9829
022.wav,-0.0237,-0.0101,0.5746,3.5499,0.2754,1.7699
023.wav,-0.2058,-0.0882,0.0759,3.355,-0.065,1.6334
024.wav,-0.1788,-0.0766,-0.0182,3.1255,-0.0985,1.5244
025.wav,-0.0865,-0.0371,0.2927,3.4028,0.1031,1.6829
026.wav,-0.0683,-0.0293,0.2036,3.2964,0.0677,1.6336
027.wav,-0.1059,-0.0454,-0.1041,3.3258,-0.105,1.6402
028.wav,-0.0656,-0.0281,0.4942,3.4915,0.2143,1.7317
029.wav,-0.0518,-0.0222,-0.1243,3.3206,-0.088,1.6492
030.wav,-0.0658,-0.0282,0.3313,3.402,0.1328,1.6869
031.wav,-0.0703,-0.0301,0.5745,3.5495,0.2521,1.7597
032.wav,-0.0787,-0.0337,0.4842,3.5539,0.2027,1.7601
033.wav,-0.0684,-0.0293,1.0371,3.8212,0.4843,1.8959
034.wav,-0.0256,-0.011,0.1257,3.2656,0.0501,1.6273
035.wav,-0.2848,-0.1221,1.3572,4.0764,0.5362,1.9772
036.wav,-0.0644,-0.0276,0.2142,3.4004,0.0749,1.6864
037.wav,-0.02,-0.0086,0.2267,3.3497,0.1033,1.6706
038.wav,-0.0453,-0.0194,0.036,3.1456,-0.0047,1.5631
039.wav,-0.2352,-0.1008,0.583,3.5504,0.1739,1.7248
040.wav,-0.0439,-0.0188,0.3902,3.4907,0.1732,1.7359
041.wav,-0.1249,-0.0535,0.3077,3.3928,0.0914,1.6696
042.wav,-0.1523,-0.0653,0.4908,3.5374,0.1692,1.736
043.wav,-0.044,-0.0189,0.7476,3.6659,0.3518,1.8235
044.wav,-0.0818,-0.035,-0.0577,3.1955,-0.0697,1.5802
045.wav,-0.0278,-0.0119,0.0553,3.2712,0.0137,1.6296
046.wav,-0.0404,-0.0173,0.1789,3.4232,0.0692,1.7029
047.wav,-0.118,-0.0506,0.0702,3.3909,-0.0239,1.6702
048.wav,-0.0483,-0.0207,0.8725,3.7339,0.4121,1.8566
049.wav,-0.1493,-0.064,0.0049,3.3488,-0.0722,1.6424
050.wav,-0.0453,-0.0194,0.1631,3.2879,0.0589,1.6342
051.wav,-0.0579,-0.0248,0.2195,3.4326,0.0808,1.7039
052.wav,-0.0515,-0.0221,0.5643,3.5599,0.2564,1.7689
053.wav,-0.0126,-0.0054,-0.3927,3.1564,-0.2026,1.5755
054.wav,-0.0321,-0.0138,0.1235,3.3645,0.0457,1.6754
055.wav,-0.0755,-0.0324,0.5219,3.5671,0.2232,1.7674
056.wav,-0.0623,-0.0267,0.641,3.5909,0.2894,1.7821
057.wav,-0.2095,-0.0898,0.3029,3.3864,0.0467,1.6483
058.wav,-0.077,-0.033,0.2347,3.355,0.0788,1.661
059.wav,-0.0127,-0.0055,0.5587,3.651,0.273,1.8228
060.wav,-0.0939,-0.0402,0.7135,3.6316,0.3098,1.7957
061.wav,-0.1093,-0.0468,0.2449,3.2435,0.0678,1.5983
062.wav,-0.0434,-0.0186,1.2952,3.8505,0.6259,1.9159
063.wav,-0.1423,-0.061,0.2398,3.3451,0.0487,1.6421
064.wav,-0.0393,-0.0168,1.1504,3.8195,0.5555,1.9013
065.wav,-0.0958,-0.0411,1.3797,4.0767,0.6419,2.0178
066.wav,-0.173,-0.0741,0.6116,3.5774,0.2193,1.7517
067.wav,-0.1906,-0.0817,1.1555,3.8389,0.4825,1.8786
068.wav,-0.0034,-0.0015,0.211,3.3299,0.1038,1.6642
069.wav,-0.0053,-0.0023,1.1179,3.6066,0.5563,1.8022
